n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,18383,969,16090637,5985135,420,1,2.4381,325,252.441
1024,1,19094,1122,15875958,5768745,446,1,2.29596,172,91.7241
1024,1,19219,1109,16192265,5927488,417,1,2.45564,131,90.1809
1024,2,33870,969,13645465,13329170,420,1,2.4381,325,252.441
1024,2,36636,1109,13361655,14489461,417,1,2.45564,131,90.1809
1024,2,36785,1122,15179935,14893310,446,1,2.29596,172,91.7241
1024,4,87751,969,140291692,50496854,420,1,2.4381,325,252.441
1024,4,97794,1109,272871055,57656014,417,1,2.45564,131,90.1809
1024,4,98856,1122,223370898,76436464,446,1,2.29596,172,91.7241
1024,8,288448,969,131840980,111092179,420,1,2.4381,325,252.441
1024,8,326458,1109,132491432,126708069,417,1,2.45564,131,90.1809
1024,8,330562,1122,160602096,128160401,446,1,2.29596,172,91.7241
2048,1,36020,1822,25001422,12055645,840,1,2.4381,748,665.425
2048,1,36335,1835,24695469,12336400,811,1,2.52528,664,548.027
2048,1,37247,2019,48718721,12243311,845,1,2.42367,520,325.383
2048,2,65296,1822,17847633,25360005,840,1,2.4381,748,665.425
2048,2,65698,1835,18021942,25679011,811,1,2.52528,664,548.027
2048,2,69299,2019,17598992,27606349,845,1,2.42367,520,325.383
2048,4,167057,1822,133347076,93290860,840,1,2.4381,748,665.425
2048,4,167885,1835,124255184,94662355,811,1,2.52528,664,548.027
2048,4,181336,2019,234791235,102077779,845,1,2.42367,520,325.383
2048,8,545193,1822,124282059,211338579,840,1,2.4381,748,665.425
2048,8,548160,1835,123640908,210855433,811,1,2.52528,664,548.027
2048,8,598912,2019,139302130,233035905,845,1,2.42367,520,325.383
4096,1,73285,3769,43668407,25919313,1628,1,2.51597,1283,1014.35
4096,1,73927,3955,42908764,25634619,1690,1,2.42367,1145,779.678
4096,1,74724,4172,42531476,24977729,1747,1,2.34459,872,450.32
4096,2,133412,3769,27140660,52923945,1628,1,2.51597,1283,1014.35
4096,2,136871,3955,27141202,53231547,1690,1,2.42367,1145,779.678
4096,2,140910,4172,26595601,56250158,1747,1,2.34459,872,450.32
4096,4,343037,3769,158070814,201524026,1628,1,2.51597,1283,1014.35
4096,4,356605,3955,171988881,200069463,1690,1,2.42367,1145,779.678
4096,4,372338,4172,135757962,215879493,1747,1,2.34459,872,450.32
4096,8,1123311,3769,130438245,410672200,1628,1,2.51597,1283,1014.35
4096,8,1175097,3955,139076363,417974154,1690,1,2.42367,1145,779.678
4096,8,1235104,4172,119515550,442617172,1747,1,2.34459,872,450.32
8192,1,145288,7416,81262939,54305249,3316,1,2.47045,2626,2081.77
8192,1,145769,7559,80674487,54199891,3368,1,2.4323,2399,1716.57
8192,1,146072,7524,81767965,54872087,3317,1,2.4697,2573,1999.37
8192,2,264014,7416,47071063,103966792,3316,1,2.47045,2626,2081.77
8192,2,266320,7524,46835273,107436001,3317,1,2.4697,2573,1999.37
8192,2,266678,7559,46268649,108056912,3368,1,2.4323,2399,1716.57
8192,4,677304,7416,183662399,364310671,3316,1,2.47045,2626,2081.77
8192,4,685294,7524,182698037,369561354,3317,1,2.4697,2573,1999.37
8192,4,687800,7559,200077016,375361995,3368,1,2.4323,2399,1716.57
8192,8,2214229,7416,125860801,747592379,3316,1,2.47045,2626,2081.77
8192,8,2243881,7524,137393445,769803131,3317,1,2.4697,2573,1999.37
8192,8,2254279,7559,139070554,762835470,3368,1,2.4323,2399,1716.57
1024,16,1062034,969,296495370,338757222,420,1,2.4381,325,252.441
1024,16,1209684,1109,277228309,357749105,417,1,2.45564,131,90.1809
1024,16,1224919,1122,265660040,388424151,446,1,2.29596,172,91.7241
1024,32,4098281,969,1586816927,1320836767,420,1,2.4381,325,252.441
1024,32,4680302,1109,1646149851,1346188411,417,1,2.45564,131,90.1809
1024,32,4737737,1122,1711610570,1369440244,446,1,2.29596,172,91.7241
16384,1,291405,15143,161636952,118227755,6787,1,2.41403,4636,3177.92
16384,1,293019,15413,163340953,117524221,6762,1,2.42295,4572,3095.5
16384,1,294261,15441,162700594,120291302,6613,1,2.47754,4522,3101.26
16384,2,533800,15143,87794536,217651138,6787,1,2.41403,4636,3177.92
16384,2,539166,15413,87858600,227627498,6762,1,2.42295,4572,3095.5
16384,2,540187,15441,89067169,221310741,6613,1,2.47754,4522,3101.26
16384,4,1377741,15143,242203673,702705959,6787,1,2.41403,4636,3177.92
16384,4,1396840,15413,165230080,718314002,6762,1,2.42295,4572,3095.5
