n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,19155,1343,14786074,5392412,632,1,1.62025,18,3.01718
1024,1,19273,1323,15609128,5527823,596,1,1.71812,44,7.27289
1024,1,19419,1327,15025622,5502563,579,1,1.76857,35,6.54057
1024,2,40305,1323,12874842,16308085,596,1,1.71812,44,7.27289
1024,2,40443,1327,12915197,16682536,579,1,1.76857,35,6.54057
1024,2,40589,1343,13439157,16839567,632,1,1.62025,18,3.01718
1024,4,113970,1323,127175407,68616417,596,1,1.71812,44,7.27289
1024,4,114183,1327,117227273,66919358,579,1,1.76857,35,6.54057
1024,4,115576,1343,194886412,68046328,632,1,1.62025,18,3.01718
1024,8,388264,1323,127297450,150539080,596,1,1.71812,44,7.27289
1024,8,389007,1327,116604577,152096987,579,1,1.76857,35,6.54057
1024,8,394427,1343,144200843,153170971,632,1,1.62025,18,3.01718
2048,1,38319,2691,21329479,10987338,1267,1,1.61642,37,3.87181
2048,1,38363,2705,21347113,10935764,1272,1,1.61006,37,3.71273
2048,1,38782,2728,21941566,10840620,1232,1,1.66234,33,4.32267
2048,2,81268,2691,16301729,31921459,1267,1,1.61642,37,3.87181
2048,2,81528,2705,16281233,32998317,1272,1,1.61006,37,3.71273
2048,2,82149,2728,16248098,33594201,1232,1,1.66234,33,4.32267
2048,4,231501,2691,130272134,135660884,1267,1,1.61642,37,3.87181
2048,4,232519,2705,108047080,135312621,1272,1,1.61006,37,3.71273
2048,4,234016,2728,123367468,135412457,1232,1,1.66234,33,4.32267
2048,8,790131,2691,142636661,299739647,1267,1,1.61642,37,3.87181
2048,8,794049,2705,145119331,300562271,1272,1,1.61006,37,3.71273
2048,8,799501,2728,119579139,297416200,1232,1,1.66234,33,4.32267
4096,1,76903,5301,37072996,23165902,2422,1,1.69116,51,6.39512
4096,1,77307,5395,37061507,22653678,2446,1,1.67457,55,5.047
4096,1,77546,5460,59527578,23120372,2471,1,1.65763,39,4.06247
4096,2,161264,5301,23715355,66423259,2422,1,1.69116,51,6.39512
4096,2,163069,5395,23955803,67398357,2446,1,1.67457,55,5.047
4096,2,164314,5460,23821332,68365767,2471,1,1.65763,39,4.06247
4096,4,456597,5301,192468919,262288079,2422,1,1.69116,51,6.39512
4096,4,463469,5395,177004206,274309585,2446,1,1.67457,55,5.047
4096,4,468300,5460,210422502,273623228,2471,1,1.65763,39,4.06247
4096,8,1555832,5301,132024654,553580838,2422,1,1.69116,51,6.39512
4096,8,1581890,5395,142441470,558092644,2446,1,1.67457,55,5.047
4096,8,1600077,5460,161543187,572305234,2471,1,1.65763,39,4.06247
8192,1,153222,10622,68672842,47294009,4945,1,1.65662,132,8.72335
8192,1,153458,10558,69232457,47536015,4856,1,1.68699,231,14.9914
8192,1,154950,10882,69290445,48648486,4929,1,1.662,42,4.20306
8192,2,321635,10558,39885079,135978998,4856,1,1.68699,231,14.9914
8192,2,322598,10622,39639740,129500698,4945,1,1.65662,132,8.72335
8192,2,327852,10882,39429560,132901491,4929,1,1.662,42,4.20306
