n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,18383,969,16090637,5985135,420,1,2.4381,325,252.441
1024,1,19037,1195,15298516,5711270,519,1,1.97303,158,52.8972
1024,1,19094,1172,15731995,5767323,490,1,2.0898,226,106.523
1024,1,19273,1323,15609128,5527823,596,1,1.71812,44,7.27289
1024,1,19276,1176,15704904,5974475,471,1,2.1741,142,49.6555
1024,1,32890,18,29260092,11956173,3,1,341.333,1022,231654
1024,1,40808,12,33932533,14194919,1,1024,1024,1024,0
1024,1,47034,12,37882153,16008156,1,1024,1024,1024,0
1024,2,33870,969,13645465,13329170,420,1,2.4381,325,252.441
1024,2,34062,18,20640598,7954959,3,1,341.333,1022,231654
1024,2,37639,1172,13098651,15633215,490,1,2.0898,226,106.523
1024,2,37809,1176,13301639,14880178,471,1,2.1741,142,49.6555
1024,2,37996,1195,13141936,15596937,519,1,1.97303,158,52.8972
1024,2,40305,1323,12874842,16308085,596,1,1.71812,44,7.27289
1024,2,41945,12,23356943,9273578,1,1024,1024,1024,0
1024,2,48209,12,25293071,10386924,1,1024,1024,1024,0
1024,4,102655,1172,124449546,59808410,490,1,2.0898,226,106.523
1024,4,102868,1176,152451359,60212410,471,1,2.1741,142,49.6555
1024,4,104429,1195,178809771,60898015,519,1,1.97303,158,52.8972
1024,4,113970,1323,127175407,68616417,596,1,1.71812,44,7.27289
1024,4,36195,18,186184578,8585645,3,1,341.333,1022,231654
1024,4,44004,12,146954611,5799126,1,1024,1024,1024,0
1024,4,50445,12,234068394,6471757,1,1024,1024,1024,0
1024,4,87751,969,140291692,50496854,420,1,2.4381,325,252.441
1024,8,288448,969,131840980,111092179,420,1,2.4381,325,252.441
1024,8,345055,1172,123310699,134186957,490,1,2.0898,226,106.523
1024,8,345774,1176,116064223,134433357,471,1,2.1741,142,49.6555
1024,8,351886,1195,131076378,136976680,519,1,1.97303,158,52.8972
1024,8,388264,1323,127297450,150539080,596,1,1.71812,44,7.27289
1024,8,40898,18,118872164,7551253,3,1,341.333,1022,231654
1024,8,47888,12,158904217,7137333,1,1024,1024,1024,0
1024,8,54628,12,128955845,6729807,1,1024,1024,1024,0
2048,1,104159,15,75993847,37337264,2,1,1024,2047,1.04653e+06
2048,1,36020,1822,25001422,12055645,840,1,2.4381,748,665.425
2048,1,38266,2428,23240662,11603401,1040,1,1.96923,179,40.7991
2048,1,38275,2411,23535437,11738303,1029,1,1.99028,202,49.1097
2048,1,38319,2691,21329479,10987338,1267,1,1.61642,37,3.87181
2048,1,38345,2435,23380874,11847242,1038,1,1.97303,134,38.2054
2048,1,73027,19,56500827,28019637,4,1,512,2045,783363
2048,1,88887,15,66493812,32683204,2,1,1024,2047,1.04653e+06
2048,2,106394,15,45513835,23638854,2,1,1024,2047,1.04653e+06
2048,2,65296,1822,17847633,25360005,840,1,2.4381,748,665.425
2048,2,75184,19,36030779,17709872,4,1,512,2045,783363
2048,2,76463,2411,17166207,29948589,1029,1,1.99028,202,49.1097
2048,2,76756,2428,17303500,30576176,1040,1,1.96923,179,40.7991
2048,2,76905,2435,17134896,29938231,1038,1,1.97303,134,38.2054
2048,2,81268,2691,16301729,31921459,1267,1,1.61642,37,3.87181
2048,2,91070,15,40556428,21280687,2,1,1024,2047,1.04653e+06
2048,4,110535,15,186720632,12781627,2,1,1024,2047,1.04653e+06
2048,4,167057,1822,133347076,93290860,840,1,2.4381,748,665.425
2048,4,210295,2411,145117395,121552070,1029,1,1.99028,202,49.1097
2048,4,211540,2428,217369355,124363324,1040,1,1.96923,179,40.7991
2048,4,212059,2435,149203442,125626943,1038,1,1.97303,134,38.2054
2048,4,231501,2691,130272134,135660884,1267,1,1.61642,37,3.87181
2048,4,78718,19,134991568,12285842,4,1,512,2045,783363
2048,4,94869,15,164725141,16152850,2,1,1024,2047,1.04653e+06
2048,8,101156,15,133676349,10572249,2,1,1024,2047,1.04653e+06
2048,8,117465,15,124676858,11216931,2,1,1024,2047,1.04653e+06
2048,8,545193,1822,124282059,211338579,840,1,2.4381,748,665.425
2048,8,709200,2411,132132690,269793003,1029,1,1.99028,202,49.1097
2048,8,714000,2428,140064923,269376093,1040,1,1.96923,179,40.7991
2048,8,715889,2435,120811467,275475216,1038,1,1.97303,134,38.2054
2048,8,790131,2691,142636661,299739647,1267,1,1.61642,37,3.87181
2048,8,85067,19,134305334,10617644,4,1,512,2045,783363
4096,1,156995,21,117178037,64417419,6,1,682.667,4091,2.32335e+06
4096,1,192062,16,138958098,75523094,3,1,1365.33,4094,3.72281e+06
4096,1,222084,12,162339780,86858143,1,4096,4096,4096,0
4096,1,73285,3769,43668407,25919313,1628,1,2.51597,1283,1014.35
4096,1,76243,4759,40193826,23924913,2040,1,2.00784,173,41.7499
4096,1,76807,4895,40419085,24740080,2079,1,1.97018,243,38.5907
4096,1,77307,5395,37061507,22653678,2446,1,1.67457,55,5.047
4096,1,77487,4951,40326561,24735847,2029,1,2.01873,79,19.2328
4096,2,133412,3769,27140660,52923945,1628,1,2.51597,1283,1014.35
4096,2,151681,4759,25631396,61041932,2040,1,2.00784,173,41.7499
4096,2,154286,4895,25310656,63102701,2079,1,1.97018,243,38.5907
4096,2,155542,4951,25610944,64083665,2029,1,2.01873,79,19.2328
4096,2,161119,21,68117887,40307963,6,1,682.667,4091,2.32335e+06
4096,2,163069,5395,23955803,67398357,2446,1,1.67457,55,5.047
4096,2,196279,16,80508679,48107820,3,1,1365.33,4094,3.72281e+06
4096,2,226310,12,90458802,53443471,1,4096,4096,4096,0
4096,4,167770,21,147818748,20409955,6,1,682.667,4091,2.32335e+06
4096,4,203483,16,207496890,24228724,3,1,1365.33,4094,3.72281e+06
4096,4,233835,12,243184461,32175444,1,4096,4096,4096,0
4096,4,343037,3769,158070814,201524026,1628,1,2.51597,1283,1014.35
4096,4,415937,4759,181356401,245526786,2040,1,2.00784,173,41.7499
4096,4,425870,4895,258371184,241978434,2079,1,1.97018,243,38.5907
4096,4,429649,4951,110900039,252598098,2029,1,2.01873,79,19.2328
4096,4,463469,5395,177004206,274309585,2446,1,1.67457,55,5.047
4096,8,1123311,3769,130438245,410672200,1628,1,2.51597,1283,1014.35
