n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,47034,12,37882153,16008156,1,1024,1024,1024,0
1024,1,47316,14,37506643,16066587,1,1024,1024,1024,0
1024,1,47486,12,38201172,16309164,1,1024,1024,1024,0
1024,2,48209,12,25293071,10386924,1,1024,1024,1024,0
1024,2,48518,14,25117774,10570516,1,1024,1024,1024,0
1024,2,48656,12,25738055,10740454,1,1024,1024,1024,0
1024,4,50445,12,234068394,6471757,1,1024,1024,1024,0
1024,4,50871,12,134846352,17973587,1,1024,1024,1024,0
1024,4,50883,14,208792290,10776071,1,1024,1024,1024,0
1024,8,54628,12,128955845,6729807,1,1024,1024,1024,0
1024,8,55085,12,128610804,7610806,1,1024,1024,1024,0
1024,8,55503,14,128450551,7363444,1,1024,1024,1024,0
2048,1,103512,14,75897265,37230516,1,2048,2048,2048,0
2048,1,104159,15,75993847,37337264,2,1,1024,2047,1.04653e+06
2048,1,104244,14,76284405,37674385,1,2048,2048,2048,0
2048,2,105741,14,45459802,23630943,1,2048,2048,2048,0
2048,2,106394,15,45513835,23638854,2,1,1024,2047,1.04653e+06
2048,2,106456,14,45859795,24630376,1,2048,2048,2048,0
2048,4,109817,14,210170037,13005477,1,2048,2048,2048,0
2048,4,110535,15,186720632,12781627,2,1,1024,2047,1.04653e+06
2048,4,110549,14,142635939,12269961,1,2048,2048,2048,0
2048,8,116461,14,130463999,11451509,1,2048,2048,2048,0
2048,8,117253,14,222044280,11646958,1,2048,2048,2048,0
2048,8,117465,15,124676858,11216931,2,1,1024,2047,1.04653e+06
4096,1,222084,12,162339780,86858143,1,4096,4096,4096,0
4096,1,223223,13,160245775,87682914,2,1,2048,4095,4.19021e+06
4096,1,224304,12,161968979,86928141,1,4096,4096,4096,0
4096,2,226310,12,90458802,53443471,1,4096,4096,4096,0
4096,2,227458,13,91492566,55039553,2,1,2048,4095,4.19021e+06
4096,2,228531,12,91105370,53916433,1,4096,4096,4096,0
4096,4,233835,12,243184461,32175444,1,4096,4096,4096,0
4096,4,234997,13,281643450,25553528,2,1,2048,4095,4.19021e+06
4096,4,236019,12,233247727,26892812,1,4096,4096,4096,0
4096,8,244715,12,156744370,18843572,1,4096,4096,4096,0
4096,8,245978,13,145203385,18361946,2,1,2048,4095,4.19021e+06
