n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,32890,18,29260092,11956173,3,1,341.333,1022,231654
1024,1,33860,18,29749678,12169549,5,1,204.8,1020,166138
1024,1,34109,19,30009106,12483314,6,1,170.667,1019,143934
1024,2,34062,18,20640598,7954959,3,1,341.333,1022,231654
1024,2,35050,18,20944824,8187341,5,1,204.8,1020,166138
1024,2,35316,19,21261875,8018326,6,1,170.667,1019,143934
1024,4,36195,18,186184578,8585645,3,1,341.333,1022,231654
1024,4,37245,18,205685711,5987967,5,1,204.8,1020,166138
1024,4,37551,19,151225161,9556337,6,1,170.667,1019,143934
1024,8,40898,18,118872164,7551253,3,1,341.333,1022,231654
1024,8,42045,18,122325164,7619894,5,1,204.8,1020,166138
1024,8,42647,19,143030343,7294821,6,1,170.667,1019,143934
2048,1,72390,24,56865586,27335172,9,1,227.556,2040,410619
2048,1,73027,19,56500827,28019637,4,1,512,2045,783363
2048,1,73615,19,57383309,28329160,4,1,512,2045,783363
2048,2,74655,24,35392691,18023453,9,1,227.556,2040,410619
2048,2,75184,19,36030779,17709872,4,1,512,2045,783363
2048,2,75768,19,36721705,17931634,4,1,512,2045,783363
2048,4,78501,24,133392275,10469189,9,1,227.556,2040,410619
2048,4,78718,19,134991568,12285842,4,1,512,2045,783363
2048,4,79385,19,159949880,9987010,4,1,512,2045,783363
2048,8,85067,19,134305334,10617644,4,1,512,2045,783363
2048,8,85703,19,168422097,10041357,4,1,512,2045,783363
2048,8,85872,24,126728450,10495368,9,1,227.556,2040,410619
4096,1,155453,21,117346976,63354655,6,1,682.667,4091,2.32335e+06
4096,1,156318,24,117866743,64478298,9,1,455.111,4088,1.64974e+06
4096,1,156995,21,117178037,64417419,6,1,682.667,4091,2.32335e+06
4096,2,159578,21,67912308,40494169,6,1,682.667,4091,2.32335e+06
4096,2,160517,24,68801964,40447875,9,1,455.111,4088,1.64974e+06
4096,2,161119,21,68117887,40307963,6,1,682.667,4091,2.32335e+06
4096,4,166101,21,153712384,20166154,6,1,682.667,4091,2.32335e+06
4096,4,167201,24,142238430,20647841,9,1,455.111,4088,1.64974e+06
4096,4,167770,21,147818748,20409955,6,1,682.667,4091,2.32335e+06
4096,8,175660,21,169505265,15313698,6,1,682.667,4091,2.32335e+06
4096,8,177365,21,153374050,16092574,6,1,682.667,4091,2.32335e+06
4096,8,177438,24,143934995,16142135,9,1,455.111,4088,1.64974e+06
8192,1,336555,25,254089522,150155819,10,1,819.2,8183,6.02506e+06
8192,1,336819,23,256544334,148976055,8,1,1024,8185,7.3257e+06
8192,1,338212,24,259830651,152100520,7,1,1170.29,8186,8.20337e+06
8192,2,344718,25,142101648,95976228,10,1,819.2,8183,6.02506e+06
8192,2,344939,23,142080515,95477632,8,1,1024,8185,7.3257e+06
8192,2,346352,24,143675864,96609515,7,1,1170.29,8186,8.20337e+06
8192,4,357487,25,258671401,50636635,10,1,819.2,8183,6.02506e+06
8192,4,357693,23,230942171,43998793,8,1,1024,8185,7.3257e+06
8192,4,359133,24,189908939,52666148,7,1,1170.29,8186,8.20337e+06
8192,8,374042,23,168122637,29586117,8,1,1024,8185,7.3257e+06
8192,8,374316,25,165999531,29897758,10,1,819.2,8183,6.02506e+06
8192,8,375738,24,159961462,28441931,7,1,1170.29,8186,8.20337e+06
1024,16,56177,18,273658791,14429795,3,1,341.333,1022,231654
1024,16,57426,18,301441419,14792646,5,1,204.8,1020,166138
1024,16,58812,19,307887395,16111630,6,1,170.667,1019,143934
1024,32,113855,18,1365623503,67325653,3,1,341.333,1022,231654
1024,32,115605,18,1656168472,58870543,5,1,204.8,1020,166138
1024,32,120166,19,1650868345,65527160,6,1,170.667,1019,143934
16384,1,717581,21,575846702,347667604,6,1,2730.67,16379,3.72554e+07
16384,1,718481,23,569793502,349949617,8,1,2048,16377,2.93315e+07
16384,1,718811,27,574483864,347484877,12,1,1365.33,16373,2.04755e+07
16384,2,733584,21,312313557,219615622,6,1,2730.67,16379,3.72554e+07
16384,2,734555,23,312660674,224072450,8,1,2048,16377,2.93315e+07
16384,2,734979,27,310518394,221992219,12,1,1365.33,16373,2.04755e+07
16384,4,758774,21,293248263,96828423,6,1,2730.67,16379,3.72554e+07
16384,4,759929,23,277650938,105059187,8,1,2048,16377,2.93315e+07
16384,4,760610,27,296311644,93985785,12,1,1365.33,16373,2.04755e+07
16384,8,788641,21,198908934,59077669,6,1,2730.67,16379,3.72554e+07
16384,8,790050,23,216622433,60506095,8,1,2048,16377,2.93315e+07
16384,8,791592,27,253044674,60117746,12,1,1365.33,16373,2.04755e+07
2048,16,102079,19,261958337,18625643,4,1,512,2045,783363
2048,16,102763,19,274806148,17563106,4,1,512,2045,783363
2048,16,106956,24,275029657,18658751,9,1,227.556,2040,410619
2048,32,163918,19,1672951635,44789793,4,1,512,2045,783363
2048,32,164623,19,1653950641,45272313,4,1,512,2045,783363
2048,32,184579,24,1685246217,59138584,9,1,227.556,2040,410619
32768,1,1519907,23,1270919187,791417803,8,1,4096,32761,1.17383e+08
32768,1,1529587,21,1335751664,801030943,6,1,5461.33,32763,1.49076e+08
32768,1,1530668,22,1288648128,806466082,7,1,4681.14,32762,1.31422e+08
32768,2,1552000,23,695811642,516017636,8,1,4096,32761,1.17383e+08
