n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,40327,15,33877044,14203960,4,1,256,1021,195075
1024,1,40357,17,33414420,14093696,4,1,256,1021,195075
1024,1,40808,12,33932533,14194919,1,1024,1024,1024,0
1024,2,41522,15,22990025,9161478,4,1,256,1021,195075
1024,2,41567,17,23156647,9367616,4,1,256,1021,195075
1024,2,41945,12,23356943,9273578,1,1024,1024,1024,0
1024,4,43758,15,219256784,6036046,4,1,256,1021,195075
1024,4,43892,17,136449331,24758763,4,1,256,1021,195075
1024,4,44004,12,146954611,5799126,1,1024,1024,1024,0
1024,8,47888,12,158904217,7137333,1,1024,1024,1024,0
1024,8,48253,15,140150577,7400484,4,1,256,1021,195075
1024,8,48805,17,122330075,7626967,4,1,256,1021,195075
2048,1,88788,14,66729740,33007567,1,2048,2048,2048,0
2048,1,88887,15,66493812,32683204,2,1,1024,2047,1.04653e+06
2048,1,89079,15,66827252,32503822,2,1,1024,2047,1.04653e+06
2048,2,90955,14,41139997,21110618,1,2048,2048,2048,0
2048,2,91070,15,40556428,21280687,2,1,1024,2047,1.04653e+06
2048,2,91253,15,40500557,21175736,2,1,1024,2047,1.04653e+06
2048,4,94729,14,130743309,15272641,1,2048,2048,2048,0
2048,4,94869,15,164725141,16152850,2,1,1024,2047,1.04653e+06
2048,4,95086,15,142151662,11145239,2,1,1024,2047,1.04653e+06
2048,8,100753,14,134769885,10203129,1,2048,2048,2048,0
2048,8,101156,15,133676349,10572249,2,1,1024,2047,1.04653e+06
2048,8,101385,15,133361354,10730810,2,1,1024,2047,1.04653e+06
4096,1,189926,14,139725550,75308042,1,4096,4096,4096,0
4096,1,191953,15,141525807,75287547,2,1,2048,4095,4.19021e+06
4096,1,192062,16,138958098,75523094,3,1,1365.33,4094,3.72281e+06
4096,2,194097,14,79809106,47187666,1,4096,4096,4096,0
4096,2,196144,15,81390233,49803106,2,1,2048,4095,4.19021e+06
4096,2,196279,16,80508679,48107820,3,1,1365.33,4094,3.72281e+06
4096,4,201055,14,172482363,25519430,1,4096,4096,4096,0
4096,4,203289,15,185709905,24236238,2,1,2048,4095,4.19021e+06
4096,4,203483,16,207496890,24228724,3,1,1365.33,4094,3.72281e+06
4096,8,210848,14,134710740,17982429,1,4096,4096,4096,0
4096,8,213292,15,158624485,17464399,2,1,2048,4095,4.19021e+06
4096,8,213772,16,137568103,17417978,3,1,1365.33,4094,3.72281e+06
8192,1,409870,16,318272849,176939693,3,1,2730.67,8190,1.49022e+07
8192,1,410643,15,322314494,175945361,2,1,4096,8191,1.6769e+07
8192,1,412473,15,306496262,177751047,2,1,4096,8191,1.6769e+07
8192,2,418112,16,170371927,111709414,3,1,2730.67,8190,1.49022e+07
8192,2,418871,15,171291812,113572893,2,1,4096,8191,1.6769e+07
8192,2,420722,15,170986102,113908652,2,1,4096,8191,1.6769e+07
8192,4,432033,16,221224811,50657910,3,1,2730.67,8190,1.49022e+07
8192,4,432810,15,225311670,49838277,2,1,4096,8191,1.6769e+07
8192,4,434650,15,217046928,50834905,2,1,4096,8191,1.6769e+07
8192,8,450385,16,180580911,32252151,3,1,2730.67,8190,1.49022e+07
8192,8,451104,15,173516316,32002980,2,1,4096,8191,1.6769e+07
8192,8,453015,15,175167265,32692157,2,1,4096,8191,1.6769e+07
1024,16,58752,12,271939250,11952084,1,1024,1024,1024,0
1024,16,61529,15,262866588,13698198,4,1,256,1021,195075
1024,16,63742,17,260371146,14584640,4,1,256,1021,195075
1024,32,110526,15,1678338176,39245805,4,1,256,1021,195075
1024,32,118928,17,1714795982,41981631,4,1,256,1021,195075
1024,32,98277,12,1656413765,33602139,1,1024,1024,1024,0
16384,1,877390,16,690978591,424019261,1,16384,16384,16384,0
