n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,18059,873,16137639,5965360,396,1,2.58586,406,414.354
1024,1,19321,1153,16028448,6061105,443,1,2.31151,217,111.587
1024,1,19637,1209,15899664,5849231,449,1,2.28062,122,54.7943
1024,2,32096,873,13662468,11937949,396,1,2.58586,406,414.354
1024,2,37432,1153,13323898,15066517,443,1,2.31151,217,111.587
1024,2,38560,1209,13527222,16040408,449,1,2.28062,122,54.7943
1024,4,101079,1153,129401065,59175179,443,1,2.31151,217,111.587
1024,4,105156,1209,142594047,61420544,449,1,2.28062,122,54.7943
1024,4,80869,873,114827024,45168840,396,1,2.58586,406,414.354
1024,8,261976,873,140007113,100642900,396,1,2.58586,406,414.354
1024,8,338947,1153,140744231,132376461,443,1,2.31151,217,111.587
1024,8,354304,1209,137865457,137113127,449,1,2.28062,122,54.7943
2048,1,36518,1852,24996831,12177523,797,1,2.56964,667,561.558
2048,1,36541,1913,24816544,11990573,851,1,2.40658,592,416.603
2048,1,37678,2148,24416389,12014592,884,1,2.31674,349,150.081
2048,2,66064,1852,18169119,25451878,797,1,2.56964,667,561.558
2048,2,67170,1913,17966026,25989543,851,1,2.40658,592,416.603
2048,2,71690,2148,17480176,29113598,884,1,2.31674,349,150.081
2048,4,169075,1852,116708291,96794094,797,1,2.56964,667,561.558
2048,4,173724,1913,123316851,99874738,851,1,2.40658,592,416.603
2048,4,190733,2148,133374899,111226905,884,1,2.31674,349,150.081
2048,8,552501,1852,131151163,208433822,797,1,2.56964,667,561.558
2048,8,570208,1913,170189827,217380314,851,1,2.40658,592,416.603
2048,8,634738,2148,135860044,240763014,884,1,2.31674,349,150.081
4096,1,72490,3674,43488886,25830188,1657,1,2.47194,1308,1036.09
4096,1,73420,3844,43060954,25722547,1673,1,2.4483,1241,925.837
4096,1,73427,3853,42947116,25345830,1674,1,2.44683,1290,995.65
4096,2,131419,3674,27521640,53885317,1657,1,2.47194,1308,1036.09
4096,2,134784,3844,27179643,53597643,1673,1,2.4483,1241,925.837
4096,2,134890,3853,27275258,53708144,1674,1,2.44683,1290,995.65
4096,4,336271,3674,163023023,188619352,1657,1,2.47194,1308,1036.09
4096,4,348575,3844,189143041,193878926,1673,1,2.4483,1241,925.837
4096,4,349236,3853,182521580,200467122,1674,1,2.44683,1290,995.65
4096,8,1098024,3674,127529835,395758157,1657,1,2.47194,1308,1036.09
4096,8,1144626,3844,141889023,406773030,1673,1,2.4483,1241,925.837
4096,8,1147008,3853,145385366,408517204,1674,1,2.44683,1290,995.65
8192,1,146189,7691,80352800,54131523,3437,1,2.38347,2477,1787.55
8192,1,146381,7649,81520360,54774758,3352,1,2.44391,2410,1735.38
8192,1,146890,7644,81702803,54289402,3298,1,2.48393,2334,1658.56
8192,2,268560,7649,46488622,108443926,3352,1,2.44391,2410,1735.38
8192,2,268781,7644,46872335,105213549,3298,1,2.48393,2334,1658.56
8192,2,269208,7691,46282132,106630536,3437,1,2.38347,2477,1787.55
8192,4,693776,7644,198787777,370187610,3298,1,2.48393,2334,1658.56
8192,4,694261,7649,130105801,377411084,3352,1,2.44391,2410,1735.38
8192,4,697756,7691,172147561,389004772,3437,1,2.38347,2477,1787.55
8192,8,2276097,7644,152626017,777855383,3298,1,2.48393,2334,1658.56
8192,8,2278382,7649,129202962,778179789,3352,1,2.44391,2410,1735.38
8192,8,2291663,7691,132377647,775585679,3437,1,2.38347,2477,1787.55
1024,16,1257507,1153,262125717,375085457,443,1,2.31151,217,111.587
1024,16,1316982,1209,263133500,427402196,449,1,2.28062,122,54.7943
1024,16,959536,873,261352826,302700412,396,1,2.58586,406,414.354
1024,32,3696257,873,1622225503,1149302314,396,1,2.58586,406,414.354
1024,32,4866351,1153,1687534937,1465120474,443,1,2.31151,217,111.587
1024,32,5100041,1209,1604620813,1627166837,449,1,2.28062,122,54.7943
16384,1,289611,14589,163397230,122523111,6574,1,2.49224,5274,4234.54
16384,1,289744,14600,163379798,120319433,6562,1,2.4968,5315,4307.09
16384,1,289854,14744,163428295,120016800,6665,1,2.45821,5286,4194.59
16384,2,523505,14589,89718941,222835376,6574,1,2.49224,5274,4234.54
16384,2,523711,14600,90669692,220171352,6562,1,2.4968,5315,4307.09
16384,2,526291,14744,90061762,220336608,6665,1,2.45821,5286,4194.59
16384,4,1336992,14589,149581450,702157698,6574,1,2.49224,5274,4234.54
16384,4,1337689,14600,175204957,692152840,6562,1,2.4968,5315,4307.09
16384,4,1348521,14744,226035043,688457911,6665,1,2.45821,5286,4194.59
16384,8,4361398,14589,147301172,1477536419,6574,1,2.49224,5274,4234.54
16384,8,4364063,14600,137649620,1460414915,6562,1,2.4968,5315,4307.09
16384,8,4405331,14744,157117475,1458956825,6665,1,2.45821,5286,4194.59
2048,16,2030455,1852,288011589,588389160,797,1,2.56964,667,561.558
2048,16,2097730,1913,273327987,648537015,851,1,2.40658,592,416.603
2048,16,2347448,2148,295164184,688718936,884,1,2.31674,349,150.081
2048,32,7831686,1852,1710539586,2311927533,797,1,2.56964,667,561.558
2048,32,8091755,1913,1613266639,2481321905,851,1,2.40658,592,416.603
2048,32,9073108,2148,1782691618,2879677438,884,1,2.31674,349,150.081
32768,1,576228,28550,344455456,266232000,13053,1,2.51038,11109,9457.63
32768,1,577664,29080,338805063,263975085,13254,1,2.47231,10467,8270.08
32768,1,582176,29820,334468045,258939937,13264,1,2.47045,10212,7865.66
32768,2,1034885,28550,179653071,435303258,13053,1,2.51038,11109,9457.63
32768,2,1044459,29080,178014884,443761492,13254,1,2.47231,10467,8270.08
32768,2,1059382,29820,177317786,451361218,13264,1,2.47045,10212,7865.66
32768,4,2628484,28550,230404239,1305154559,13053,1,2.51038,11109,9457.63
32768,4,2667219,29080,182587128,1340585320,13254,1,2.47231,10467,8270.08
32768,4,2720498,29820,224460345,1358595825,13264,1,2.47045,10212,7865.66
32768,8,8550131,28550,165480130,2850733028,13053,1,2.51038,11109,9457.63
32768,8,8697744,29080,161286603,2860494152,13254,1,2.47231,10467,8270.08
32768,8,8899305,29820,174090295,2923839839,13264,1,2.47045,10212,7865.66
4096,16,4032015,3674,286211641,1141551732,1657,1,2.47194,1308,1036.09
4096,16,4212386,3844,292894230,1291006925,1673,1,2.4483,1241,925.837
4096,16,4221882,3853,262820664,1248603866,1674,1,2.44683,1290,995.65
4096,32,15543725,3674,1416720585,5103674200,1657,1,2.47194,1308,1036.09
4096,32,16252860,3844,1683994666,4835652787,1673,1,2.4483,1241,925.837
4096,32,16290398,3853,1665624932,4816176655,1674,1,2.44683,1290,995.65
65536,1,1159260,58618,733899268,617631315,26394,1,2.48299,20700,16238.1
65536,1,1160776,59210,703270435,599546171,26675,1,2.45683,19837,14756.9
65536,1,1163702,59870,700063618,596795691,26778,1,2.44738,19735,14547.7
65536,2,2099031,58618,364232999,946300034,26394,1,2.48299,20700,16238.1
65536,2,2109619,59210,365881371,931587081,26675,1,2.45683,19837,14756.9
65536,2,2122202,59870,363246701,989047706,26778,1,2.44738,19735,14547.7
65536,4,5367142,58618,314265292,2649420885,26394,1,2.48299,20700,16238.1
65536,4,5410605,59210,300562661,2659698329,26675,1,2.45683,19837,14756.9
65536,4,5458360,59870,285869624,2683515081,26778,1,2.44738,19735,14547.7
65536,8,17518101,58618,215031973,5728748521,26394,1,2.48299,20700,16238.1
65536,8,17684828,59210,213125442,5819711148,26675,1,2.45683,19837,14756.9
65536,8,17865928,59870,201313270,5819265484,26778,1,2.44738,19735,14547.7
8192,16,8374940,7644,344528951,2342642364,3298,1,2.48393,2334,1658.56
8192,16,8383192,7649,282724669,2751309676,3352,1,2.44391,2410,1735.38
8192,16,8432106,7691,259093451,2379273510,3437,1,2.38347,2477,1787.55
8192,32,32315039,7644,1726107017,9949003698,3298,1,2.48393,2334,1658.56
8192,32,32341991,7649,1630476841,10001999541,3352,1,2.44391,2410,1735.38
8192,32,32526677,7691,1663330423,9587721054,3437,1,2.38347,2477,1787.55
131072,1,2308183,115383,1494266862,1453124361,52723,1,2.48605,42910,34926.3
131072,1,2317822,117278,1527210077,1443287062,52839,1,2.48059,41298,32281
131072,2,4161366,115383,758926360,2052897129,52723,1,2.48605,42910,34926.3
131072,2,4197719,117278,759997738,2012292625,52839,1,2.48059,41298,32281
131072,4,10600820,115383,493919635,5257600180,52723,1,2.48605,42910,34926.3
131072,4,10736792,117278,456853942,5333081926,52839,1,2.48059,41298,32281
131072,8,34531256,115383,306280322,11338500012,52723,1,2.48605,42910,34926.3
131072,8,35047962,117278,281993988,11624761439,52839,1,2.48059,41298,32281
16384,16,16009919,14589,310042256,4461381700,6574,1,2.49224,5274,4234.54
16384,16,16021536,14600,277852997,4433899760,6562,1,2.4968,5315,4307.09
