n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,19088,1312,14680331,5396776,614,1,1.66775,30,5.0199
1024,1,19425,1389,14637568,5458055,635,1,1.6126,31,3.53496
1024,1,19590,1382,14684706,5453343,603,1,1.69818,21,3.79613
1024,2,40044,1312,12565331,16407782,614,1,1.66775,30,5.0199
1024,2,41474,1382,13129506,17047127,603,1,1.69818,21,3.79613
1024,2,41508,1389,12780543,16896589,635,1,1.6126,31,3.53496
1024,4,113266,1312,142278791,66695791,614,1,1.66775,30,5.0199
1024,4,118279,1382,187388343,85541781,603,1,1.69818,21,3.79613
1024,4,118907,1389,195847244,70516418,635,1,1.6126,31,3.53496
1024,8,385627,1312,117202109,150249376,614,1,1.66775,30,5.0199
1024,8,404449,1382,131430708,157046688,603,1,1.69818,21,3.79613
1024,8,406994,1389,120295097,158577079,635,1,1.6126,31,3.53496
2048,1,38578,2698,21823139,10854703,1236,1,1.65696,26,3.41792
2048,1,38753,2749,21658614,10804112,1255,1,1.63187,35,3.70831
2048,1,38856,2720,22035056,11185541,1216,1,1.68421,40,5.08449
2048,2,81531,2698,16297430,34055327,1236,1,1.65696,26,3.41792
2048,2,82032,2720,16488849,33076675,1216,1,1.68421,40,5.08449
2048,2,82482,2749,16327629,33596281,1255,1,1.63187,35,3.70831
2048,4,231865,2698,159429877,139541423,1236,1,1.65696,26,3.41792
2048,4,233361,2720,141377097,139537084,1216,1,1.68421,40,5.08449
2048,4,235625,2749,136693930,139733919,1255,1,1.63187,35,3.70831
2048,8,791419,2698,126239570,301116846,1236,1,1.65696,26,3.41792
2048,8,796982,2720,126179298,295934295,1216,1,1.68421,40,5.08449
2048,8,805672,2749,160491942,298023917,1255,1,1.63187,35,3.70831
4096,1,76766,5308,37042998,22784120,2447,1,1.67389,38,5.02156
4096,1,76985,5325,37171408,22978742,2429,1,1.68629,52,6.78755
4096,1,77534,5418,37019526,22690115,2437,1,1.68076,52,5.52467
4096,2,161333,5308,23690427,64434267,2447,1,1.67389,38,5.02156
4096,2,161712,5325,23943073,64337137,2429,1,1.68629,52,6.78755
4096,2,163557,5418,23837730,70252204,2437,1,1.68076,52,5.52467
4096,4,457239,5308,123786058,266789363,2447,1,1.67389,38,5.02156
4096,4,458393,5325,156246462,266851677,2429,1,1.68629,52,6.78755
4096,4,465115,5418,147047866,272399858,2437,1,1.68076,52,5.52467
4096,8,1558216,5308,128976642,542939710,2447,1,1.67389,38,5.02156
4096,8,1562518,5325,127209363,550425566,2429,1,1.68629,52,6.78755
4096,8,1587961,5418,138185653,561269498,2437,1,1.68076,52,5.52467
8192,1,153535,10629,68701523,48023464,4904,1,1.67047,106,6.94932
8192,1,153747,10659,68602532,48190985,4903,1,1.67081,48,5.2455
8192,1,154098,10794,68364510,47768358,4967,1,1.64929,64,4.50555
8192,2,322848,10629,40386874,133267198,4904,1,1.67047,106,6.94932
8192,2,323482,10659,39510771,132545370,4903,1,1.67081,48,5.2455
8192,2,325975,10794,39320122,130468669,4967,1,1.64929,64,4.50555
8192,4,915381,10629,137220076,508322341,4904,1,1.67047,106,6.94932
8192,4,917549,10659,143382713,495133998,4903,1,1.67081,48,5.2455
8192,4,927552,10794,156841035,495724762,4967,1,1.64929,64,4.50555
8192,8,3120060,10629,152537760,1069068196,4904,1,1.67047,106,6.94932
8192,8,3128188,10659,137859781,1076664580,4903,1,1.67081,48,5.2455
8192,8,3166233,10794,127274594,1086316537,4967,1,1.64929,64,4.50555
1024,16,1434305,1312,265410012,435746420,614,1,1.66775,30,5.0199
1024,16,1507650,1382,267621332,474616919,603,1,1.69818,21,3.79613
1024,16,1516722,1389,299607318,437337767,635,1,1.6126,31,3.53496
1024,32,5547628,1312,1522321667,1888769428,614,1,1.66775,30,5.0199
1024,32,5837558,1382,1633237061,1840387657,603,1,1.69818,21,3.79613
1024,32,5870389,1389,1389832561,2495790196,635,1,1.6126,31,3.53496
16384,1,304914,20982,134510484,101642965,9872,1,1.65964,151,8.05981
16384,1,308451,21547,134767766,100851931,9865,1,1.66082,65,4.89357
16384,1,308841,21651,134165269,100743282,9901,1,1.65478,70,4.52339
16384,2,639917,20982,72397456,263581705,9872,1,1.65964,151,8.05981
16384,2,651363,21547,72758904,265562227,9865,1,1.66082,65,4.89357
16384,2,653332,21651,73158045,274600618,9901,1,1.65478,70,4.52339
16384,4,1811108,20982,224949590,946402775,9872,1,1.65964,151,8.05981
16384,4,1851783,21547,182193560,995929104,9865,1,1.66082,65,4.89357
16384,4,1859508,21651,170804903,984713430,9901,1,1.65478,70,4.52339
16384,8,6166207,20982,159128199,2052597514,9872,1,1.65964,151,8.05981
16384,8,6319738,21547,137015738,2116903952,9865,1,1.66082,65,4.89357
16384,8,6348780,21651,128982768,2136245229,9901,1,1.65478,70,4.52339
2048,16,2946627,2698,257737658,846685248,1236,1,1.65696,26,3.41792
2048,16,2968828,2720,271450990,925513778,1216,1,1.68421,40,5.08449
2048,16,3001479,2749,266890766,856402411,1255,1,1.63187,35,3.70831
2048,32,11401921,2698,1620808165,3458577303,1236,1,1.65696,26,3.41792
2048,32,11491115,2720,1685375647,3280778417,1216,1,1.68421,40,5.08449
2048,32,11616281,2749,1713123654,3432780065,1255,1,1.63187,35,3.70831
32768,1,614688,42866,275731815,211806798,19845,1,1.6512,76,5.17398
32768,1,615314,42642,277459346,215678716,19565,1,1.67483,165,7.00962
32768,1,616569,43037,283035391,214765828,19727,1,1.66107,112,5.45192
32768,2,1294212,42642,145182359,559910624,19565,1,1.67483,165,7.00962
32768,2,1297677,42866,143179126,562120740,19845,1,1.6512,76,5.17398
32768,2,1301618,43037,144278592,574576635,19727,1,1.66107,112,5.45192
32768,4,3670277,42642,174444597,1878868925,19565,1,1.67483,165,7.00962
32768,4,3687645,42866,187639201,1916797933,19845,1,1.6512,76,5.17398
32768,4,3699471,43037,279445809,1904198786,19727,1,1.66107,112,5.45192
32768,8,12513028,42642,195901091,4138679126,19565,1,1.67483,165,7.00962
32768,8,12579599,42866,153266779,4171071838,19845,1,1.6512,76,5.17398
32768,8,12623813,43037,173206150,4183106966,19727,1,1.66107,112,5.45192
4096,16,5798493,5308,266294687,1654238799,2447,1,1.67389,38,5.02156
4096,16,5815502,5325,289050070,1799252817,2429,1,1.68629,52,6.78755
4096,16,5914124,5418,300827255,1683252779,2437,1,1.68076,52,5.52467
4096,32,22432736,5308,1722560379,6495801314,2447,1,1.67389,38,5.02156
4096,32,22501355,5325,1737302775,6583351350,2429,1,1.68629,52,6.78755
4096,32,22889185,5418,1721783642,6591243732,2437,1,1.68076,52,5.52467
65536,1,1232524,85446,581964297,453166349,38990,1,1.68084,100,5.9678
65536,1,1232951,85867,575929855,446646477,39307,1,1.66729,85,5.54443
65536,1,1233920,85792,582329167,457948467,39100,1,1.67611,85,5.37054
65536,2,2592061,85446,295392142,1137762460,38990,1,1.68084,100,5.9678
