n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,18946,1184,15401543,5634826,525,1,1.95048,164,54.3709
1024,1,19425,1389,14637568,5458055,635,1,1.6126,31,3.53496
1024,1,19485,1201,15944829,5863573,459,1,2.23094,141,51.4107
1024,1,19530,1314,15230303,5697424,552,1,1.85507,62,12.671
1024,1,19637,1209,15899664,5849231,449,1,2.28062,122,54.7943
1024,1,33657,23,29776840,11958449,8,1,128,1017,112903
1024,1,40550,12,33549889,14321557,1,1024,1024,1024,0
1024,1,47830,12,38112043,16154131,1,1024,1024,1024,0
1024,2,34914,23,21145529,8254338,8,1,128,1017,112903
1024,2,37782,1184,13194900,15150005,525,1,1.95048,164,54.3709
1024,2,38332,1201,13288945,15294795,459,1,2.23094,141,51.4107
1024,2,38560,1209,13527222,16040408,449,1,2.28062,122,54.7943
1024,2,40280,1314,13012996,16621340,552,1,1.85507,62,12.671
1024,2,41508,1389,12780543,16896589,635,1,1.6126,31,3.53496
1024,2,41704,12,23177594,9688398,1,1024,1024,1024,0
1024,2,49005,12,25375365,10641550,1,1024,1024,1024,0
1024,4,103687,1184,96371881,62759355,525,1,1.95048,164,54.3709
1024,4,104600,1201,148480144,62029866,459,1,2.23094,141,51.4107
1024,4,105156,1209,142594047,61420544,449,1,2.28062,122,54.7943
1024,4,113137,1314,115184371,68747070,552,1,1.85507,62,12.671
1024,4,118907,1389,195847244,70516418,635,1,1.6126,31,3.53496
1024,4,37348,23,120297564,6315120,8,1,128,1017,112903
1024,4,43741,12,155420728,5810050,1,1024,1024,1024,0
1024,4,51241,12,138143473,6279299,1,1024,1024,1024,0
1024,8,349041,1184,136079961,134924740,525,1,1.95048,164,54.3709
1024,8,352294,1201,134285303,137132974,459,1,2.23094,141,51.4107
1024,8,354304,1209,137865457,137113127,449,1,2.28062,122,54.7943
1024,8,384934,1314,129989524,149341998,552,1,1.85507,62,12.671
1024,8,406994,1389,120295097,158577079,635,1,1.6126,31,3.53496
1024,8,43250,23,118716688,7885053,8,1,128,1017,112903
1024,8,47611,12,148026230,7054807,1,1024,1024,1024,0
1024,8,55479,12,119652309,7537014,1,1024,1024,1024,0
2048,1,104110,12,75620141,37574013,1,2048,2048,2048,0
2048,1,36518,1852,24996831,12177523,797,1,2.56964,667,561.558
2048,1,37917,2331,23646816,11872566,1008,1,2.03175,264,83.4137
2048,1,38567,2439,23420808,11706504,1012,1,2.02372,156,39.6378
2048,1,38704,2518,23114764,11715409,1060,1,1.93208,182,36.7539
2048,1,38753,2749,21658614,10804112,1255,1,1.63187,35,3.70831
2048,1,72759,21,56273877,27620387,6,1,341.333,2043,579134
2048,1,87350,16,65679626,33004948,3,1,682.667,2046,929339
2048,2,106308,12,45952664,24753544,1,2048,2048,2048,0
2048,2,66064,1852,18169119,25451878,797,1,2.56964,667,561.558
2048,2,74920,2331,17452417,29976901,1008,1,2.03175,264,83.4137
2048,2,74929,21,35266290,18316769,6,1,341.333,2043,579134
2048,2,77093,2439,17109219,29513864,1012,1,2.02372,156,39.6378
2048,2,78528,2518,17202440,32134235,1060,1,1.93208,182,36.7539
2048,2,82482,2749,16327629,33596281,1255,1,1.63187,35,3.70831
2048,2,89551,16,39842948,20308043,3,1,682.667,2046,929339
2048,4,110281,12,161350410,12594046,1,2048,2048,2048,0
2048,4,169075,1852,116708291,96794094,797,1,2.56964,667,561.558
2048,4,204459,2331,123459739,121851413,1008,1,2.03175,264,83.4137
2048,4,212224,2439,195483718,124703355,1012,1,2.02372,156,39.6378
2048,4,218151,2518,245748695,145981562,1060,1,1.93208,182,36.7539
2048,4,235625,2749,136693930,139733919,1255,1,1.63187,35,3.70831
2048,4,78546,21,147027869,16025153,6,1,341.333,2043,579134
2048,4,93337,16,155162791,16818539,3,1,682.667,2046,929339
2048,8,116554,12,143334761,11181569,1,2048,2048,2048,0
2048,8,552501,1852,131151163,208433822,797,1,2.56964,667,561.558
2048,8,686968,2331,119963406,260868166,1008,1,2.03175,264,83.4137
2048,8,716444,2439,142839422,269851865,1012,1,2.02372,156,39.6378
2048,8,738898,2518,127630743,279270311,1060,1,1.93208,182,36.7539
2048,8,805672,2749,160491942,298023917,1255,1,1.63187,35,3.70831
2048,8,85400,21,145862040,10754438,6,1,341.333,2043,579134
2048,8,99775,16,131350471,10573290,3,1,682.667,2046,929339
4096,1,157070,20,117131933,64146787,5,1,819.2,4092,2.6778e+06
4096,1,192312,14,140230238,76116480,1,4096,4096,4096,0
4096,1,225820,12,162974814,88378391,1,4096,4096,4096,0
4096,1,73427,3853,42947116,25345830,1674,1,2.44683,1290,995.65
4096,1,77534,5418,37019526,22690115,2437,1,1.68076,52,5.52467
4096,1,77795,5035,40010613,25000156,2062,1,1.98642,230,36.8621
4096,1,77849,5003,40182953,24784782,2026,1,2.02172,148,30.733
4096,1,78336,5160,40062397,24129342,2093,1,1.957,204,28.3852
4096,2,134890,3853,27275258,53708144,1674,1,2.44683,1290,995.65
4096,2,156676,5003,25675715,64787158,2026,1,2.02172,148,30.733
4096,2,157162,5035,25622012,65141868,2062,1,1.98642,230,36.8621
4096,2,159561,5160,25490015,63782170,2093,1,1.957,204,28.3852
4096,2,161194,20,69099154,41703407,5,1,819.2,4092,2.6778e+06
4096,2,163557,5418,23837730,70252204,2437,1,1.68076,52,5.52467
4096,2,196511,14,80500774,47861380,1,4096,4096,4096,0
4096,2,230053,12,91865145,55783511,1,4096,4096,4096,0
4096,4,167719,20,194375650,20727997,5,1,819.2,4092,2.6778e+06
4096,4,203607,14,188959785,24315791,1,4096,4096,4096,0
4096,4,237650,12,166300087,27262140,1,4096,4096,4096,0
4096,4,349236,3853,182521580,200467122,1674,1,2.44683,1290,995.65
4096,4,433448,5003,163565636,253420874,2026,1,2.02172,148,30.733
4096,4,435889,5035,180387600,256278053,2062,1,1.98642,230,36.8621
4096,4,445041,5160,161687921,261656700,2093,1,1.957,204,28.3852
4096,4,465115,5418,147047866,272399858,2437,1,1.68076,52,5.52467
4096,8,1147008,3853,145385366,408517204,1674,1,2.44683,1290,995.65
