n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,47830,12,38112043,16154131,1,1024,1024,1024,0
1024,1,48090,12,61790351,16379474,1,1024,1024,1024,0
1024,1,48670,12,39102512,16781973,1,1024,1024,1024,0
1024,2,49005,12,25375365,10641550,1,1024,1024,1024,0
1024,2,49267,12,25621447,10934749,1,1024,1024,1024,0
1024,2,49845,12,25446979,10698921,1,1024,1024,1024,0
1024,4,51241,12,138143473,6279299,1,1024,1024,1024,0
1024,4,51521,12,277630886,6367005,1,1024,1024,1024,0
1024,4,52128,12,147734649,7090756,1,1024,1024,1024,0
1024,8,55479,12,119652309,7537014,1,1024,1024,1024,0
1024,8,55797,12,148134400,7932042,1,1024,1024,1024,0
1024,8,56358,12,140107687,7624351,1,1024,1024,1024,0
2048,1,102870,12,74877219,37235540,1,2048,2048,2048,0
2048,1,104110,12,75620141,37574013,1,2048,2048,2048,0
2048,1,105460,12,77221233,38134244,1,2048,2048,2048,0
2048,2,105046,12,45059188,23299509,1,2048,2048,2048,0
2048,2,106308,12,45952664,24753544,1,2048,2048,2048,0
2048,2,107654,12,46199121,23588784,1,2048,2048,2048,0
2048,4,109030,12,222497413,12293176,1,2048,2048,2048,0
2048,4,110281,12,161350410,12594046,1,2048,2048,2048,0
2048,4,111658,12,123459975,12351737,1,2048,2048,2048,0
2048,8,115293,12,133416356,10736559,1,2048,2048,2048,0
2048,8,116554,12,143334761,11181569,1,2048,2048,2048,0
2048,8,118050,12,133746976,10608018,1,2048,2048,2048,0
4096,1,222720,12,161972390,86899419,1,4096,4096,4096,0
4096,1,223782,14,161559832,85886451,1,4096,4096,4096,0
4096,1,225820,12,162974814,88378391,1,4096,4096,4096,0
4096,2,226948,12,91087997,54734367,1,4096,4096,4096,0
4096,2,228043,14,90949505,54010648,1,4096,4096,4096,0
4096,2,230053,12,91865145,55783511,1,4096,4096,4096,0
4096,4,234486,12,217500843,26089019,1,4096,4096,4096,0
4096,4,235735,14,159545738,26707951,1,4096,4096,4096,0
4096,4,237650,12,166300087,27262140,1,4096,4096,4096,0
4096,8,245311,12,159864880,18528827,1,4096,4096,4096,0
4096,8,246902,14,147173611,18344063,1,4096,4096,4096,0
