n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,32829,17,29342710,11999800,4,1,256,1021,195075
1024,1,33405,21,30009428,12078115,8,1,128,1017,112903
1024,1,33657,23,29776840,11958449,8,1,128,1017,112903
1024,2,33977,17,20897110,8165699,4,1,256,1021,195075
1024,2,34648,21,20601334,7983735,8,1,128,1017,112903
1024,2,34914,23,21145529,8254338,8,1,128,1017,112903
1024,4,36028,17,164224037,5756719,4,1,256,1021,195075
1024,4,36958,21,184735834,10214866,8,1,128,1017,112903
1024,4,37348,23,120297564,6315120,8,1,128,1017,112903
1024,8,40627,17,131355183,6949330,4,1,256,1021,195075
1024,8,42426,21,146873180,7715302,8,1,128,1017,112903
1024,8,43250,23,118716688,7885053,8,1,128,1017,112903
2048,1,72759,21,56273877,27620387,6,1,341.333,2043,579134
2048,1,73146,20,57810292,28104347,7,1,292.571,2042,510083
2048,1,73289,17,56814984,28023175,4,1,512,2045,783363
2048,2,74929,21,35266290,18316769,6,1,341.333,2043,579134
2048,2,75320,20,35558220,18094685,7,1,292.571,2042,510083
2048,2,75398,17,35615092,17811327,4,1,512,2045,783363
2048,4,78546,21,147027869,16025153,6,1,341.333,2043,579134
2048,4,78919,17,145170599,10620237,4,1,512,2045,783363
2048,4,79006,20,146107744,14371429,7,1,292.571,2042,510083
2048,8,84733,17,146226242,10165576,4,1,512,2045,783363
2048,8,85400,21,145862040,10754438,6,1,341.333,2043,579134
2048,8,85562,20,142837188,13364853,7,1,292.571,2042,510083
4096,1,156640,20,116142550,63958932,5,1,819.2,4092,2.6778e+06
4096,1,156729,21,117177871,64729238,6,1,682.667,4091,2.32335e+06
4096,1,157070,20,117131933,64146787,5,1,819.2,4092,2.6778e+06
4096,2,160738,20,67932536,40190233,5,1,819.2,4092,2.6778e+06
4096,2,160874,21,67870980,39864360,6,1,682.667,4091,2.32335e+06
4096,2,161194,20,69099154,41703407,5,1,819.2,4092,2.6778e+06
4096,4,167256,20,166714701,20198182,5,1,819.2,4092,2.6778e+06
4096,4,167362,21,138993927,20521705,6,1,682.667,4091,2.32335e+06
4096,4,167719,20,194375650,20727997,5,1,819.2,4092,2.6778e+06
4096,8,176667,20,138772565,16547238,5,1,819.2,4092,2.6778e+06
4096,8,176938,20,157789560,20795360,5,1,819.2,4092,2.6778e+06
4096,8,177020,21,143952380,16900351,6,1,682.667,4091,2.32335e+06
8192,1,332675,25,263540588,149509553,10,1,819.2,8183,6.02506e+06
8192,1,334726,24,269140649,149267873,9,1,910.222,8184,6.61348e+06
8192,1,339835,25,256117579,150375062,10,1,819.2,8183,6.02506e+06
8192,2,340822,25,141347378,93590319,10,1,819.2,8183,6.02506e+06
8192,2,342852,24,142535747,95194567,9,1,910.222,8184,6.61348e+06
8192,2,347989,25,144651674,97831656,10,1,819.2,8183,6.02506e+06
8192,4,353586,25,242849245,43585603,10,1,819.2,8183,6.02506e+06
8192,4,355553,24,184446772,48908594,9,1,910.222,8184,6.61348e+06
8192,4,360891,25,218484893,50643215,10,1,819.2,8183,6.02506e+06
8192,8,370209,25,154793390,28707942,10,1,819.2,8183,6.02506e+06
8192,8,372089,24,159337029,28992113,9,1,910.222,8184,6.61348e+06
8192,8,377951,25,152604409,29085739,10,1,819.2,8183,6.02506e+06
1024,16,55125,17,260610966,14385578,4,1,256,1021,195075
1024,16,60226,21,278824908,15597325,8,1,128,1017,112903
1024,16,62651,23,281782797,16616684,8,1,128,1017,112903
1024,32,110155,17,1652982049,87188820,4,1,256,1021,195075
1024,32,127877,21,1712986331,89146093,8,1,128,1017,112903
1024,32,136527,23,1699014244,65376758,8,1,128,1017,112903
16384,1,718291,19,574941261,346869308,4,1,4096,16381,5.03071e+07
16384,1,718852,18,603068383,352258335,3,1,5461.33,16382,5.96305e+07
16384,1,720098,22,603608117,351542674,7,1,2340.57,16378,3.28416e+07
16384,2,734331,19,314556096,225305139,4,1,4096,16381,5.03071e+07
16384,2,734850,18,314149297,226118482,3,1,5461.33,16382,5.96305e+07
16384,2,736171,22,312164548,221715781,7,1,2340.57,16378,3.28416e+07
16384,4,759462,19,262163808,97703520,4,1,4096,16381,5.03071e+07
16384,4,760051,18,269139312,99208194,3,1,5461.33,16382,5.96305e+07
16384,4,761527,22,264817186,100729463,7,1,2340.57,16378,3.28416e+07
16384,8,788501,19,210996120,72112368,4,1,4096,16381,5.03071e+07
16384,8,789003,18,215690606,58403365,3,1,5461.33,16382,5.96305e+07
16384,8,791399,22,217586078,58273269,7,1,2340.57,16378,3.28416e+07
2048,16,100228,17,263621095,17571397,4,1,512,2045,783363
2048,16,103442,20,241714377,17437891,7,1,292.571,2042,510083
2048,16,104025,21,269003196,17993772,6,1,341.333,2043,579134
2048,32,155940,17,1653469751,76215698,4,1,512,2045,783363
2048,32,168598,20,1713398408,45613478,7,1,292.571,2042,510083
2048,32,172174,21,1732306886,48302405,6,1,341.333,2043,579134
32768,1,1524849,25,1283692427,809388789,8,1,4096,32761,1.17383e+08
32768,1,1526774,26,1288778160,814106817,11,1,2978.91,32758,8.86794e+07
32768,1,1529939,25,1298604970,811151996,8,1,4096,32761,1.17383e+08
32768,2,1557006,25,695578904,521780272,8,1,4096,32761,1.17383e+08
32768,2,1558950,26,695625090,519814598,11,1,2978.91,32758,8.86794e+07
32768,2,1562098,25,695135476,517460682,8,1,4096,32761,1.17383e+08
32768,4,1608638,25,485761751,184192818,8,1,4096,32761,1.17383e+08
32768,4,1610611,26,449869318,166420178,11,1,2978.91,32758,8.86794e+07
32768,4,1613732,25,412398723,173713040,8,1,4096,32761,1.17383e+08
32768,8,1668666,25,286799067,140578626,8,1,4096,32761,1.17383e+08
32768,8,1670559,26,310164434,121930997,11,1,2978.91,32758,8.86794e+07
32768,8,1674071,25,321565501,122300274,8,1,4096,32761,1.17383e+08
4096,16,194103,21,277713815,36520993,6,1,682.667,4091,2.32335e+06
4096,16,196670,20,282989585,23199919,5,1,819.2,4092,2.6778e+06
4096,16,197203,20,270430892,21848327,5,1,819.2,4092,2.6778e+06
4096,32,262987,20,1672855579,51850766,5,1,819.2,4092,2.6778e+06
4096,32,263450,20,1676916682,51777954,5,1,819.2,4092,2.6778e+06
4096,32,267352,21,1716551132,52015819,6,1,682.667,4091,2.32335e+06
65536,1,3224789,25,2935040342,1837754199,8,1,8192,65529,4.69647e+08
65536,1,3234704,26,2848646383,1860888448,11,1,5957.82,65526,3.54837e+08
65536,1,3236286,24,2904206425,1885342278,9,1,7281.78,65528,4.24078e+08
65536,2,3289190,25,1549525054,1174983295,8,1,8192,65529,4.69647e+08
65536,2,3299082,26,1565193789,1176887305,11,1,5957.82,65526,3.54837e+08
65536,2,3300682,24,1569578543,1188876515,9,1,7281.78,65528,4.24078e+08
65536,4,3394563,25,766989974,389985046,8,1,8192,65529,4.69647e+08
65536,4,3404434,26,761512683,393026363,11,1,5957.82,65526,3.54837e+08
65536,4,3405944,24,752789842,391599415,9,1,7281.78,65528,4.24078e+08
65536,8,3517136,25,463856112,236934195,8,1,8192,65529,4.69647e+08
65536,8,3527978,26,480783449,247164516,11,1,5957.82,65526,3.54837e+08
65536,8,3528931,24,497865765,283279399,9,1,7281.78,65528,4.24078e+08
8192,16,398984,25,289651578,30427267,10,1,819.2,8183,6.02506e+06
8192,16,400083,24,291551682,31690102,9,1,910.222,8184,6.61348e+06
8192,16,407021,25,271251720,33029161,10,1,819.2,8183,6.02506e+06
8192,32,482033,24,1723908662,67008794,9,1,910.222,8184,6.61348e+06
8192,32,483909,25,1701806159,66362189,10,1,819.2,8183,6.02506e+06
8192,32,492276,25,1717397235,67243690,10,1,819.2,8183,6.02506e+06
131072,1,6816831,33,6666289289,4371460506,16,1,8192,131057,1.00639e+09
131072,1,6833950,24,6503640130,4338512510,7,1,18724.6,131066,2.10343e+09
131072,2,6945990,33,3477788793,2690815883,16,1,8192,131057,1.00639e+09
131072,2,6962967,24,7005260137,8657526425,7,1,18724.6,131066,2.10343e+09
131072,4,7162660,33,1487358281,868899263,16,1,8192,131057,1.00639e+09
131072,4,7179036,24,1419370052,842619000,7,1,18724.6,131066,2.10343e+09
131072,8,7420046,33,830618856,535165333,16,1,8192,131057,1.00639e+09
