n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
0,1,4,0,8314428,1840,0,2147483648,0,0,0
0,2,12,0,9394543,9871,0,2147483648,0,0,0
0,4,40,0,128773631,191706,0,2147483648,0,0,0
0,8,144,0,154375208,56892,0,2147483648,0,0,0
0,16,544,0,203427314,55003,0,2147483648,0,0,0
0,32,2112,0,469684043,304422,0,2147483648,0,0,0
1024,1,40372,14,33482476,14038965,1,1024,1024,1024,0
1024,1,40550,12,33549889,14321557,1,1024,1024,1024,0
1024,1,41541,15,34193646,14390439,2,1,512,1023,261121
1024,2,41530,14,23049565,9304585,1,1024,1024,1024,0
1024,2,41704,12,23177594,9688398,1,1024,1024,1024,0
1024,2,42729,15,23400577,9375772,2,1,512,1023,261121
1024,4,43681,14,119374893,6132328,1,1024,1024,1024,0
1024,4,43741,12,155420728,5810050,1,1024,1024,1024,0
1024,4,44978,15,163963687,6108717,2,1,512,1023,261121
1024,8,47611,12,148026230,7054807,1,1024,1024,1024,0
1024,8,47958,14,134412385,8174209,1,1024,1024,1024,0
1024,8,49526,15,144458102,7463507,2,1,512,1023,261121
2048,1,87350,16,65679626,33004948,3,1,682.667,2046,929339
2048,1,87662,14,65825439,32574902,1,2048,2048,2048,0
2048,1,88951,15,66960517,33278684,2,1,1024,2047,1.04653e+06
2048,2,89551,16,39842948,20308043,3,1,682.667,2046,929339
2048,2,89827,14,40115445,20898447,1,2048,2048,2048,0
2048,2,91141,15,40382014,20849082,2,1,1024,2047,1.04653e+06
2048,4,93337,16,155162791,16818539,3,1,682.667,2046,929339
2048,4,93525,14,163832204,19667183,1,2048,2048,2048,0
2048,4,94982,15,181264155,11710899,2,1,1024,2047,1.04653e+06
2048,8,101226,15,135970625,10441202,2,1,1024,2047,1.04653e+06
2048,8,99473,14,131291198,10427797,1,2048,2048,2048,0
2048,8,99775,16,131350471,10573290,3,1,682.667,2046,929339
4096,1,188969,17,137379716,74968234,4,1,1024,4093,3.13959e+06
