n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,19155,1343,14786074,5392412,632,1,1.62025,18,3.01718
1024,1,19273,1323,15609128,5527823,596,1,1.71812,44,7.27289
1024,1,19419,1327,15025622,5502563,579,1,1.76857,35,6.54057
2048,1,38319,2691,21329479,10987338,1267,1,1.61642,37,3.87181
2048,1,38363,2705,21347113,10935764,1272,1,1.61006,37,3.71273
2048,1,38782,2728,21941566,10840620,1232,1,1.66234,33,4.32267
4096,1,76903,5301,37072996,23165902,2422,1,1.69116,51,6.39512
4096,1,77307,5395,37061507,22653678,2446,1,1.67457,55,5.047
4096,1,77546,5460,59527578,23120372,2471,1,1.65763,39,4.06247
8192,1,153222,10622,68672842,47294009,4945,1,1.65662,132,8.72335
8192,1,153458,10558,69232457,47536015,4856,1,1.68699,231,14.9914
8192,1,154950,10882,69290445,48648486,4929,1,1.662,42,4.20306
16384,1,307910,21438,135883886,99426139,9845,1,1.6642,65,5.37916
16384,1,307987,21435,135848076,101950139,9840,1,1.66504,79,5.35162
16384,1,308693,21553,135373297,101471748,9840,1,1.66504,80,5.39085
32768,1,615470,42858,278838792,210488193,19729,1,1.66091,91,5.53335
32768,1,617790,43212,279309247,214801467,19717,1,1.66192,88,5.14654
32768,1,618185,43055,279880886,214647975,19521,1,1.6786,86,5.57305
65536,1,1232181,85973,574493928,446045904,39506,1,1.65889,106,5.21974
65536,1,1233420,85698,577549383,459072866,39103,1,1.67598,156,6.74595
65536,1,1234775,86099,574156358,449297984,39244,1,1.66996,85,5.38481
131072,1,2414895,163293,1225079091,908527004,79422,1,1.65032,334,11.0834
131072,1,2466595,171827,1233821066,920562596,78604,1,1.6675,101,5.56325
131072,1,2468608,171756,1246678735,918235372,78257,1,1.67489,134,5.82269
262144,1,4930470,344086,2528950575,1951667161,157965,1,1.65951,117,5.55779
262144,1,4934518,344384,2558533754,1949370684,157646,1,1.66286,119,5.1989
262144,1,4936370,344100,2536993910,1960581827,157112,1,1.66852,128,5.37445
524288,1,9859790,686602,5292601184,4027722718,314706,1,1.66596,141,5.70531
524288,1,9862215,687215,5301983904,4103673038,314880,1,1.66504,136,5.42143
524288,1,9871004,688436,5341548424,4153382230,314721,1,1.66588,134,5.38515
1048576,1,19733759,1374347,11206755512,8435002117,628407,1,1.66863,184,5.66167
1048576,1,19736097,1375765,11200017914,8571299397,629353,1,1.66612,187,5.6524
1048576,1,19736560,1374652,11280322223,8611275220,628270,1,1.66899,191,5.66962
