n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,18946,1184,15401543,5634826,525,1,1.95048,164,54.3709
1024,1,19425,1389,14637568,5458055,635,1,1.6126,31,3.53496
1024,1,19485,1201,15944829,5863573,459,1,2.23094,141,51.4107
1024,1,19530,1314,15230303,5697424,552,1,1.85507,62,12.671
1024,1,19637,1209,15899664,5849231,449,1,2.28062,122,54.7943
1024,1,33657,23,29776840,11958449,8,1,128,1017,112903
1024,1,40550,12,33549889,14321557,1,1024,1024,1024,0
1024,1,47830,12,38112043,16154131,1,1024,1024,1024,0
2048,1,104110,12,75620141,37574013,1,2048,2048,2048,0
2048,1,36518,1852,24996831,12177523,797,1,2.56964,667,561.558
2048,1,37917,2331,23646816,11872566,1008,1,2.03175,264,83.4137
2048,1,38567,2439,23420808,11706504,1012,1,2.02372,156,39.6378
2048,1,38704,2518,23114764,11715409,1060,1,1.93208,182,36.7539
2048,1,38753,2749,21658614,10804112,1255,1,1.63187,35,3.70831
2048,1,72759,21,56273877,27620387,6,1,341.333,2043,579134
2048,1,87350,16,65679626,33004948,3,1,682.667,2046,929339
4096,1,157070,20,117131933,64146787,5,1,819.2,4092,2.6778e+06
4096,1,192312,14,140230238,76116480,1,4096,4096,4096,0
4096,1,225820,12,162974814,88378391,1,4096,4096,4096,0
4096,1,73427,3853,42947116,25345830,1674,1,2.44683,1290,995.65
4096,1,77534,5418,37019526,22690115,2437,1,1.68076,52,5.52467
4096,1,77795,5035,40010613,25000156,2062,1,1.98642,230,36.8621
4096,1,77849,5003,40182953,24784782,2026,1,2.02172,148,30.733
4096,1,78336,5160,40062397,24129342,2093,1,1.957,204,28.3852
8192,1,146189,7691,80352800,54131523,3437,1,2.38347,2477,1787.55
8192,1,151824,9444,75581113,52261537,4107,1,1.99464,337,58.1183
8192,1,152734,9616,75026234,51833750,4130,1,1.98354,597,100.188
8192,1,153747,10659,68602532,48190985,4903,1,1.67081,48,5.2455
8192,1,154151,9981,73766063,50941060,4245,1,1.9298,234,35.008
8192,1,334726,24,269140649,149267873,9,1,910.222,8184,6.61348e+06
8192,1,410061,15,309515379,177085485,2,1,4096,8191,1.6769e+07
8192,1,484232,14,389122157,205377633,1,8192,8192,8192,0
16384,1,1038362,14,812493145,487763615,1,16384,16384,16384,0
16384,1,289744,14600,163379798,120319433,6562,1,2.4968,5315,4307.09
16384,1,304914,20982,134510484,101642965,9872,1,1.65964,151,8.05981
16384,1,305585,19273,149182929,110152439,8278,1,1.97922,1166,176.893
16384,1,306854,19570,147462888,106972267,8361,1,1.95957,473,64.212
16384,1,307357,19505,148972647,108230011,8227,1,1.99149,317,43.7507
16384,1,718852,18,603068383,352258335,3,1,5461.33,16382,5.96305e+07
16384,1,880730,16,699704057,419271387,3,1,5461.33,16382,5.96305e+07
32768,1,1529939,25,1298604970,811151996,8,1,4096,32761,1.17383e+08
32768,1,1870581,15,1558149886,949162061,2,1,16384,32767,2.68403e+08
32768,1,2200991,15,1835904488,1106323463,2,1,16384,32767,2.68403e+08
32768,1,582176,29820,334468045,258939937,13264,1,2.47045,10212,7865.66
32768,1,612820,38682,318251853,230230707,16446,1,1.99246,1830,226.058
32768,1,613777,38847,307889611,229747799,16445,1,1.99258,1048,98.8713
32768,1,614369,38723,310303236,233293694,16259,1,2.01538,892,109.817
32768,1,615314,42642,277459346,215678716,19565,1,1.67483,165,7.00962
65536,1,1160776,59210,703270435,599546171,26675,1,2.45683,19837,14756.9
65536,1,1231473,78295,659733960,499896976,32871,1,1.99373,2644,237.949
65536,1,1232524,85446,581964297,453166349,38990,1,1.68084,100,5.9678
65536,1,1232658,78446,643952930,494028291,32820,1,1.99683,1316,109.828
65536,1,1235377,78541,655402432,501858630,32513,1,2.01569,632,54.832
65536,1,3224789,25,2935040342,1837754199,8,1,8192,65529,4.69647e+08
65536,1,3961294,16,3594966051,2242899984,1,65536,65536,65536,0
65536,1,4702201,15,4170366788,2603791957,2,1,32768,65535,1.07368e+09
131072,1,2317822,117278,1527210077,1443287062,52839,1,2.48059,41298,32281
131072,1,2464793,157051,1353048877,1030755346,65851,1,1.99043,2754,152.219
131072,1,2465803,157355,1359176507,1022306683,65987,1,1.98633,1380,81.7856
131072,1,2466254,171960,1228956448,938196976,78775,1,1.66388,121,5.72413
131072,1,6833950,24,6503640130,4338512510,7,1,18724.6,131066,2.10343e+09
131072,1,8371054,16,8026918576,5110262588,1,131072,131072,131072,0
131072,1,9929342,14,9256370226,6019142556,1,131072,131072,131072,0
