n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,16,65718,12,319719649,14819863,1,1024,1024,1024,0
1024,16,66317,12,270081211,13019300,1,1024,1024,1024,0
1024,16,68228,14,265801888,13758073,1,1024,1024,1024,0
2048,16,131015,14,308231754,15983719,1,2048,2048,2048,0
2048,16,131765,14,264335564,15599196,1,2048,2048,2048,0
2048,16,132815,15,263577890,16296896,2,1,1024,2047,1.04653e+06
4096,16,261234,12,274709041,19387941,1,4096,4096,4096,0
4096,16,263720,13,279462116,20264269,2,1,2048,4095,4.19021e+06
4096,16,263807,12,297549108,20046230,1,4096,4096,4096,0
8192,16,553939,14,276797855,29674805,1,8192,8192,8192,0
8192,16,554899,14,287298788,45552754,1,8192,8192,8192,0
8192,16,555526,12,294058436,29668336,1,8192,8192,8192,0
16384,16,1163426,14,343452159,54419841,1,16384,16384,16384,0
16384,16,1170694,14,308829426,52452237,1,16384,16384,16384,0
16384,16,1174473,14,310348444,52492540,1,16384,16384,16384,0
32768,16,2470421,14,391860229,113749656,1,32768,32768,32768,0
32768,16,2473656,14,438196724,115498326,1,32768,32768,32768,0
32768,16,2480527,14,431322074,104290670,1,32768,32768,32768,0
65536,16,5225984,14,535745656,224625337,1,65536,65536,65536,0
65536,16,5233625,14,540968642,240696435,1,65536,65536,65536,0
65536,16,5237153,15,558998837,211956236,2,1,32768,65535,1.07368e+09
131072,16,11032132,14,771900962,472557550,1,131072,131072,131072,0
131072,16,11032605,14,984628940,777774865,1,131072,131072,131072,0
131072,16,11055142,16,777081126,434106783,3,1,43690.7,131070,3.81757e+09
262144,16,23260448,14,1375447350,925557223,1,262144,262144,262144,0
262144,16,23265975,15,1376054599,918630506,2,1,131072,262143,1.71796e+10
262144,16,23274143,14,1388457802,928111951,1,262144,262144,262144,0
524288,16,48864332,16,2697222233,2179556225,1,524288,524288,524288,0
524288,16,48876073,14,2708498699,2203977484,1,524288,524288,524288,0
524288,16,48877441,14,2762235435,2249377861,1,524288,524288,524288,0
1048576,16,102313746,16,5649990215,4954701947,1,1048576,1.04858e+06,1048576,0
1048576,16,102345407,16,5610147894,4987899248,1,1048576,1.04858e+06,1048576,0
1048576,16,102398144,16,5616957632,4988908595,1,1048576,1.04858e+06,1048576,0
