n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,33870,969,13645465,13329170,420,1,2.4381,325,252.441
1024,2,36636,1109,13361655,14489461,417,1,2.45564,131,90.1809
1024,2,36785,1122,15179935,14893310,446,1,2.29596,172,91.7241
2048,2,65296,1822,17847633,25360005,840,1,2.4381,748,665.425
2048,2,65698,1835,18021942,25679011,811,1,2.52528,664,548.027
2048,2,69299,2019,17598992,27606349,845,1,2.42367,520,325.383
4096,2,133412,3769,27140660,52923945,1628,1,2.51597,1283,1014.35
4096,2,136871,3955,27141202,53231547,1690,1,2.42367,1145,779.678
4096,2,140910,4172,26595601,56250158,1747,1,2.34459,872,450.32
8192,2,264014,7416,47071063,103966792,3316,1,2.47045,2626,2081.77
8192,2,266320,7524,46835273,107436001,3317,1,2.4697,2573,1999.37
8192,2,266678,7559,46268649,108056912,3368,1,2.4323,2399,1716.57
16384,2,533800,15143,87794536,217651138,6787,1,2.41403,4636,3177.92
16384,2,539166,15413,87858600,227627498,6762,1,2.42295,4572,3095.5
16384,2,540187,15441,89067169,221310741,6613,1,2.47754,4522,3101.26
32768,2,1040527,28846,178415379,443083569,13114,1,2.4987,10752,8818.07
32768,2,1043897,29056,177609864,440776220,13284,1,2.46673,10494,8294
32768,2,1046377,29142,178656801,436641239,13089,1,2.50348,10345,8181.03
65536,2,2089799,58130,367224266,939634222,26214,1,2.50004,21351,17393
65536,2,2098773,58616,368793887,948877658,26423,1,2.48026,20562,16004.6
65536,2,2104344,58901,364879053,951155751,26551,1,2.46831,20522,15865.9
131072,2,4177029,116205,762492270,1958823540,52659,1,2.48907,41977,33464.6
131072,2,4180069,116364,761272481,1944686827,52786,1,2.48308,42229,33786.3
131072,2,4199648,117398,1522774627,4693675622,53032,1,2.47156,40988,31684.3
262144,2,8277535,228412,3344459545,14506013490,106727,1,2.45621,87386,71551.6
262144,2,8402075,234939,1605476616,4580168570,106039,1,2.47215,81528,62686.5
262144,2,8457171,237640,1616180896,4632136577,106031,1,2.47233,79924,60249.1
524288,2,16790570,469119,6767958621,27993257626,211918,1,2.47401,164136,127131
524288,2,16817660,470383,6723093670,28033909123,211288,1,2.48139,164457,128009
524288,2,16849679,472100,6876626118,41123114582,212130,1,2.47154,162078,123839
1048576,2,33454226,931592,7088654388,33921072943,422898,1,2.4795,335865,266746
1048576,2,33575632,937850,14280604745,74572209379,423443,1,2.47631,330756,258360
1048576,2,33595356,938874,14190672460,76711212080,423260,1,2.47738,328703,255274
