n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,34062,18,20640598,7954959,3,1,341.333,1022,231654
1024,2,35050,18,20944824,8187341,5,1,204.8,1020,166138
1024,2,35316,19,21261875,8018326,6,1,170.667,1019,143934
2048,2,74655,24,35392691,18023453,9,1,227.556,2040,410619
2048,2,75184,19,36030779,17709872,4,1,512,2045,783363
2048,2,75768,19,36721705,17931634,4,1,512,2045,783363
4096,2,159578,21,67912308,40494169,6,1,682.667,4091,2.32335e+06
4096,2,160517,24,68801964,40447875,9,1,455.111,4088,1.64974e+06
4096,2,161119,21,68117887,40307963,6,1,682.667,4091,2.32335e+06
8192,2,344718,25,142101648,95976228,10,1,819.2,8183,6.02506e+06
8192,2,344939,23,142080515,95477632,8,1,1024,8185,7.3257e+06
8192,2,346352,24,143675864,96609515,7,1,1170.29,8186,8.20337e+06
16384,2,733584,21,312313557,219615622,6,1,2730.67,16379,3.72554e+07
16384,2,734555,23,312660674,224072450,8,1,2048,16377,2.93315e+07
16384,2,734979,27,310518394,221992219,12,1,1365.33,16373,2.04755e+07
32768,2,1552000,23,695811642,516017636,8,1,4096,32761,1.17383e+08
32768,2,1561679,21,702615720,524706898,6,1,5461.33,32763,1.49076e+08
32768,2,1562829,22,699671175,523756955,7,1,4681.14,32762,1.31422e+08
65536,2,3293431,22,1562730624,1171323280,4,1,16384,65532,8.05175e+08
65536,2,3299125,27,1549635082,1168256825,10,1,6553.6,65527,3.86429e+08
65536,2,3300523,31,1553266642,1173760098,14,1,4681.14,65523,2.84749e+08
131072,2,6959862,29,3496523016,2724445974,12,1,10922.7,131061,1.31211e+09
131072,2,6967050,23,3492787412,2697341092,6,1,21845.3,131067,2.38587e+09
131072,2,6968182,33,3495341733,2722901612,16,1,8192,131057,1.00639e+09
262144,2,14638283,33,7869464827,6367858796,16,1,16384,262129,4.02604e+09
262144,2,14654970,31,15265291544,19350833178,14,1,18724.6,262131,4.55744e+09
262144,2,14662231,36,7847500259,11045877277,19,1,13797.1,262126,3.42596e+09
524288,2,30760701,38,34184336273,28582585485,21,1,24966.1,524268,1.24651e+10
524288,2,30765615,33,17339721228,14158299992,16,1,32768,524273,1.61051e+10
524288,2,30789427,33,35008831338,29905188267,16,1,32768,524273,1.61051e+10
1048576,2,64449941,42,77850367800,99256587901,25,1,41943,1048552,4.22192e+10
1048576,2,64469889,33,78035592896,100354191627,16,1,65536,1048561,6.44225e+10
1048576,2,64491083,40,38745940706,32088408110,23,1,45590.3,1048554,4.57244e+10
