n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,49005,12,25375365,10641550,1,1024,1024,1024,0
1024,2,49267,12,25621447,10934749,1,1024,1024,1024,0
1024,2,49845,12,25446979,10698921,1,1024,1024,1024,0
2048,2,105046,12,45059188,23299509,1,2048,2048,2048,0
2048,2,106308,12,45952664,24753544,1,2048,2048,2048,0
2048,2,107654,12,46199121,23588784,1,2048,2048,2048,0
4096,2,226948,12,91087997,54734367,1,4096,4096,4096,0
4096,2,228043,14,90949505,54010648,1,4096,4096,4096,0
4096,2,230053,12,91865145,55783511,1,4096,4096,4096,0
8192,2,489898,12,195827981,129546238,1,8192,8192,8192,0
8192,2,492286,15,197103313,129346903,2,1,4096,8191,1.6769e+07
8192,2,492550,14,197492088,129803000,1,8192,8192,8192,0
16384,2,1054017,14,439353343,303760791,1,16384,16384,16384,0
16384,2,1054706,14,437575957,298467773,1,16384,16384,16384,0
16384,2,1054867,14,440304346,301175818,1,16384,16384,16384,0
32768,2,2233845,15,990685894,689110312,2,1,16384,32767,2.68403e+08
32768,2,2236109,14,987587095,693244779,1,32768,32768,32768,0
32768,2,2243676,14,992819402,694477681,1,32768,32768,32768,0
65536,2,4747232,14,2207408620,1605761031,1,65536,65536,65536,0
65536,2,4761450,14,2208604328,1616392298,1,65536,65536,65536,0
65536,2,4767777,15,2215517198,1602250492,2,1,32768,65535,1.07368e+09
84498,2,1368822,26,720902536,657186908,2,4,42249,84494,1.78464e+09
131072,2,10039975,14,5007544480,3686312467,1,131072,131072,131072,0
131072,2,10060393,14,4965850282,3643880845,1,131072,131072,131072,0
