n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,4,43758,15,219256784,6036046,4,1,256,1021,195075
1024,4,43892,17,136449331,24758763,4,1,256,1021,195075
1024,4,44004,12,146954611,5799126,1,1024,1024,1024,0
2048,4,94729,14,130743309,15272641,1,2048,2048,2048,0
2048,4,94869,15,164725141,16152850,2,1,1024,2047,1.04653e+06
2048,4,95086,15,142151662,11145239,2,1,1024,2047,1.04653e+06
4096,4,201055,14,172482363,25519430,1,4096,4096,4096,0
4096,4,203289,15,185709905,24236238,2,1,2048,4095,4.19021e+06
4096,4,203483,16,207496890,24228724,3,1,1365.33,4094,3.72281e+06
8192,4,432033,16,221224811,50657910,3,1,2730.67,8190,1.49022e+07
8192,4,432810,15,225311670,49838277,2,1,4096,8191,1.6769e+07
8192,4,434650,15,217046928,50834905,2,1,4096,8191,1.6769e+07
16384,4,921974,16,329101996,116336963,1,16384,16384,16384,0
16384,4,926364,15,300435193,114471915,2,1,8192,16383,6.70925e+07
16384,4,926609,14,417065617,107884039,1,16384,16384,16384,0
32768,4,1959636,17,490912073,240272517,4,1,8192,32765,2.01277e+08
32768,4,1961934,14,489321611,194544524,1,32768,32768,32768,0
32768,4,1963632,17,687096794,209305405,2,1,16384,32767,2.68403e+08
65536,4,4144406,16,875108038,461885223,1,65536,65536,65536,0
65536,4,4146714,18,850903930,455927065,3,1,21845.3,65534,9.5435e+08
65536,4,4153188,17,894995116,480253780,2,1,32768,65535,1.07368e+09
131072,4,8749698,16,1665840354,991099987,1,131072,131072,131072,0
131072,4,8749909,18,1788293100,973246608,3,1,43690.7,131070,3.81757e+09
131072,4,8753991,17,1643343606,985521704,2,1,65536,131071,4.29484e+09
262144,4,18428974,16,3502642794,2300748177,1,262144,262144,262144,0
262144,4,18433693,16,3662904349,2338823920,1,262144,262144,262144,0
262144,4,18438734,18,3613662116,2248463730,3,1,87381.3,262142,1.52706e+10
524288,4,38674503,18,7520555058,5163417151,3,1,174763,524286,6.10833e+10
524288,4,38676333,16,7388783167,5083040813,1,524288,524288,524288,0
524288,4,38683781,18,7390239663,5063949712,3,1,174763,524286,6.10833e+10
1048576,4,81009016,19,16348259857,11792192769,4,1,262144,1048573,2.06157e+11
1048576,4,81017158,19,16554028949,11824396957,4,1,262144,1048573,2.06157e+11
1048576,4,81057090,17,16507699477,11719543702,2,1,524288,1048575,2.74877e+11
