n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,4,101079,1153,129401065,59175179,443,1,2.31151,217,111.587
1024,4,105156,1209,142594047,61420544,449,1,2.28062,122,54.7943
1024,4,80869,873,114827024,45168840,396,1,2.58586,406,414.354
2048,4,169075,1852,116708291,96794094,797,1,2.56964,667,561.558
2048,4,173724,1913,123316851,99874738,851,1,2.40658,592,416.603
2048,4,190733,2148,133374899,111226905,884,1,2.31674,349,150.081
4096,4,336271,3674,163023023,188619352,1657,1,2.47194,1308,1036.09
4096,4,348575,3844,189143041,193878926,1673,1,2.4483,1241,925.837
4096,4,349236,3853,182521580,200467122,1674,1,2.44683,1290,995.65
8192,4,693776,7644,198787777,370187610,3298,1,2.48393,2334,1658.56
8192,4,694261,7649,130105801,377411084,3352,1,2.44391,2410,1735.38
8192,4,697756,7691,172147561,389004772,3437,1,2.38347,2477,1787.55
16384,4,1336992,14589,149581450,702157698,6574,1,2.49224,5274,4234.54
16384,4,1337689,14600,175204957,692152840,6562,1,2.4968,5315,4307.09
16384,4,1348521,14744,226035043,688457911,6665,1,2.45821,5286,4194.59
32768,4,2628484,28550,230404239,1305154559,13053,1,2.51038,11109,9457.63
32768,4,2667219,29080,182587128,1340585320,13254,1,2.47231,10467,8270.08
32768,4,2720498,29820,224460345,1358595825,13264,1,2.47045,10212,7865.66
65536,4,5367142,58618,314265292,2649420885,26394,1,2.48299,20700,16238.1
65536,4,5410605,59210,300562661,2659698329,26675,1,2.45683,19837,14756.9
65536,4,5458360,59870,285869624,2683515081,26778,1,2.44738,19735,14547.7
131072,4,10600820,115383,493919635,5257600180,52723,1,2.48605,42910,34926.3
131072,4,10736792,117278,456853942,5333081926,52839,1,2.48059,41298,32281
