n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,4,113266,1312,142278791,66695791,614,1,1.66775,30,5.0199
1024,4,118279,1382,187388343,85541781,603,1,1.69818,21,3.79613
1024,4,118907,1389,195847244,70516418,635,1,1.6126,31,3.53496
2048,4,231865,2698,159429877,139541423,1236,1,1.65696,26,3.41792
2048,4,233361,2720,141377097,139537084,1216,1,1.68421,40,5.08449
2048,4,235625,2749,136693930,139733919,1255,1,1.63187,35,3.70831
4096,4,457239,5308,123786058,266789363,2447,1,1.67389,38,5.02156
4096,4,458393,5325,156246462,266851677,2429,1,1.68629,52,6.78755
4096,4,465115,5418,147047866,272399858,2437,1,1.68076,52,5.52467
8192,4,915381,10629,137220076,508322341,4904,1,1.67047,106,6.94932
8192,4,917549,10659,143382713,495133998,4903,1,1.67081,48,5.2455
8192,4,927552,10794,156841035,495724762,4967,1,1.64929,64,4.50555
16384,4,1811108,20982,224949590,946402775,9872,1,1.65964,151,8.05981
16384,4,1851783,21547,182193560,995929104,9865,1,1.66082,65,4.89357
16384,4,1859508,21651,170804903,984713430,9901,1,1.65478,70,4.52339
32768,4,3670277,42642,174444597,1878868925,19565,1,1.67483,165,7.00962
32768,4,3687645,42866,187639201,1916797933,19845,1,1.6512,76,5.17398
32768,4,3699471,43037,279445809,1904198786,19727,1,1.66107,112,5.45192
65536,4,7351676,85446,249420301,3755927703,38990,1,1.68084,100,5.9678
65536,4,7377093,85792,312806859,3785253006,39100,1,1.67611,85,5.37054
65536,4,7383298,85867,245021346,3803986601,39307,1,1.66729,85,5.54443
131072,4,14735634,171305,385072029,7446095340,78603,1,1.66752,267,6.27639
131072,4,14783624,171960,449224537,7544799277,78775,1,1.66388,121,5.72413
