n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,4,36028,17,164224037,5756719,4,1,256,1021,195075
1024,4,36958,21,184735834,10214866,8,1,128,1017,112903
1024,4,37348,23,120297564,6315120,8,1,128,1017,112903
2048,4,78546,21,147027869,16025153,6,1,341.333,2043,579134
2048,4,78919,17,145170599,10620237,4,1,512,2045,783363
2048,4,79006,20,146107744,14371429,7,1,292.571,2042,510083
4096,4,167256,20,166714701,20198182,5,1,819.2,4092,2.6778e+06
4096,4,167362,21,138993927,20521705,6,1,682.667,4091,2.32335e+06
4096,4,167719,20,194375650,20727997,5,1,819.2,4092,2.6778e+06
8192,4,353586,25,242849245,43585603,10,1,819.2,8183,6.02506e+06
8192,4,355553,24,184446772,48908594,9,1,910.222,8184,6.61348e+06
8192,4,360891,25,218484893,50643215,10,1,819.2,8183,6.02506e+06
16384,4,759462,19,262163808,97703520,4,1,4096,16381,5.03071e+07
16384,4,760051,18,269139312,99208194,3,1,5461.33,16382,5.96305e+07
16384,4,761527,22,264817186,100729463,7,1,2340.57,16378,3.28416e+07
32768,4,1608638,25,485761751,184192818,8,1,4096,32761,1.17383e+08
32768,4,1610611,26,449869318,166420178,11,1,2978.91,32758,8.86794e+07
32768,4,1613732,25,412398723,173713040,8,1,4096,32761,1.17383e+08
65536,4,3394563,25,766989974,389985046,8,1,8192,65529,4.69647e+08
65536,4,3404434,26,761512683,393026363,11,1,5957.82,65526,3.54837e+08
65536,4,3405944,24,752789842,391599415,9,1,7281.78,65528,4.24078e+08
131072,4,7162660,33,1487358281,868899263,16,1,8192,131057,1.00639e+09
131072,4,7179036,24,1419370052,842619000,7,1,18724.6,131066,2.10343e+09
