n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1024,8,288448,969,131840980,111092179,420,1,2.4381,325,252.441
1024,8,345055,1172,123310699,134186957,490,1,2.0898,226,106.523
1024,8,345774,1176,116064223,134433357,471,1,2.1741,142,49.6555
1024,8,351886,1195,131076378,136976680,519,1,1.97303,158,52.8972
1024,8,388264,1323,127297450,150539080,596,1,1.71812,44,7.27289
1024,8,40898,18,118872164,7551253,3,1,341.333,1022,231654
1024,8,47888,12,158904217,7137333,1,1024,1024,1024,0
1024,8,54628,12,128955845,6729807,1,1024,1024,1024,0
2048,8,101156,15,133676349,10572249,2,1,1024,2047,1.04653e+06
2048,8,117465,15,124676858,11216931,2,1,1024,2047,1.04653e+06
2048,8,545193,1822,124282059,211338579,840,1,2.4381,748,665.425
2048,8,709200,2411,132132690,269793003,1029,1,1.99028,202,49.1097
2048,8,714000,2428,140064923,269376093,1040,1,1.96923,179,40.7991
2048,8,715889,2435,120811467,275475216,1038,1,1.97303,134,38.2054
2048,8,790131,2691,142636661,299739647,1267,1,1.61642,37,3.87181
2048,8,85067,19,134305334,10617644,4,1,512,2045,783363
4096,8,1123311,3769,130438245,410672200,1628,1,2.51597,1283,1014.35
4096,8,1400699,4759,147575370,492974018,2040,1,2.00784,173,41.7499
4096,8,1438469,4895,137818667,507044511,2079,1,1.97018,243,38.5907
4096,8,1452697,4951,143194478,513392270,2029,1,2.01873,79,19.2328
4096,8,1581890,5395,142441470,558092644,2446,1,1.67457,55,5.047
4096,8,177365,21,153374050,16092574,6,1,682.667,4091,2.32335e+06
4096,8,213772,16,137568103,17417978,3,1,1365.33,4094,3.72281e+06
4096,8,244715,12,156744370,18843572,1,4096,4096,4096,0
8192,8,2243881,7524,137393445,769803131,3317,1,2.4697,2573,1999.37
8192,8,2831270,9626,145647738,971258389,4112,1,1.99222,339,59.0437
8192,8,2863442,9746,127019540,974111007,4089,1,2.00342,639,109.79
8192,8,2900007,9875,126880209,996226522,4163,1,1.96781,234,28.3257
8192,8,3189400,10882,143742024,1087469067,4929,1,1.662,42,4.20306
8192,8,374042,23,168122637,29586117,8,1,1024,8185,7.3257e+06
8192,8,453015,15,175167265,32692157,2,1,4096,8191,1.6769e+07
8192,8,526939,14,171591488,35482897,1,8192,8192,8192,0
16384,8,1127756,14,233086280,76622864,1,16384,16384,16384,0
16384,8,4516258,15143,161263582,1519610548,6787,1,2.41403,4636,3177.92
16384,8,5661761,19249,152583669,1904836603,8238,1,1.98883,659,81.1135
16384,8,5742985,19552,158333756,1938055303,8175,1,2.00416,324,41.3062
16384,8,5827806,19862,155705850,1980935258,8198,1,1.99854,173,27.1674
16384,8,6320877,21553,143225254,2123379761,9840,1,1.66504,80,5.39085
16384,8,791592,27,253044674,60117746,12,1,1365.33,16373,2.04755e+07
16384,8,957650,16,247385812,67991851,1,16384,16384,16384,0
32768,8,11526194,39251,166741581,3820809299,16370,1,2.00171,464,47.8875
32768,8,11567912,39395,156734337,3831142850,16496,1,1.98642,351,40.2206
32768,8,11568289,39404,164489688,3859390859,16394,1,1.99878,671,66.2552
32768,8,12575142,42858,160552444,4192674881,19729,1,1.66091,91,5.53335
32768,8,1662667,23,288114838,117948269,8,1,4096,32761,1.17383e+08
32768,8,2032589,17,320650577,144458338,4,1,8192,32765,2.01277e+08
32768,8,2384875,14,351418590,158097939,1,32768,32768,32768,0
32768,8,8691962,29056,175512173,2860684005,13284,1,2.46673,10494,8294
65536,8,17598576,58901,223611046,5765964184,26551,1,2.46831,20522,15865.9
65536,8,22736372,77352,199365479,7544169566,32595,1,2.01062,1811,143.034
65536,8,22870947,77846,203782973,7674774446,32603,1,2.01012,780,69.0648
65536,8,23234610,79156,207732357,7651789109,32965,1,1.98805,2042,161.984
65536,8,25138085,85698,237408186,8286110218,39103,1,1.67598,156,6.74595
65536,8,3528067,27,493887718,226196402,10,1,6553.6,65527,3.86429e+08
65536,8,4294881,16,535821054,285560304,1,65536,65536,65536,0
65536,8,5047652,14,585519647,318897551,1,65536,65536,65536,0
131072,8,10660160,14,1074327894,681267779,1,131072,131072,131072,0
131072,8,34798686,116364,282845843,11543730156,52786,1,2.48308,42229,33786.3
131072,8,45431064,154513,267561129,15053956609,65705,1,1.99486,4651,391.484
131072,8,45453574,154639,285920040,15064780811,65117,1,2.01287,3154,202.006
131072,8,45790753,155877,315882914,15149315651,65146,1,2.01197,1132,84.2963
131072,8,50374917,171756,284192422,16777252009,78257,1,1.67489,134,5.82269
131072,8,7439336,23,829403976,523067711,6,1,21845.3,131067,2.38587e+09
131072,8,9064771,16,944899997,594291204,1,131072,131072,131072,0
262144,8,100921708,344100,382482324,33268143759,157112,1,1.66852,128,5.37445
262144,8,15646656,36,1578551388,1099093855,19,1,13797.1,262126,3.42596e+09
262144,8,19087122,16,1874038398,1314465163,1,262144,262144,262144,0
262144,8,22477489,15,2186871627,1480380784,2,1,131072,262143,1.71796e+10
262144,8,70207310,234939,490278961,23043853160,106039,1,2.47215,81528,62686.5
262144,8,90652388,308365,429418500,29963251247,129921,1,2.01772,6766,459.148
262144,8,91206705,310333,421321393,30447394928,130864,1,2.00318,4112,223.114
262144,8,92284145,314248,410076853,30631411065,131497,1,1.99354,1896,87.9851
524288,8,141020571,472100,968555277,51988147087,212130,1,2.47154,162078,123839
524288,8,182954980,622616,697452386,69147080997,262313,1,1.99871,12900,704.772
524288,8,183876382,626049,753087840,62899341529,261705,1,2.00335,3286,124.235
524288,8,183986874,626389,713447210,62759929058,262586,1,1.99663,5619,202.574
524288,8,201588539,687215,646809367,66780128734,314880,1,1.66504,136,5.42143
524288,8,32802161,33,3557694860,2912249911,16,1,32768,524273,1.61051e+10
524288,8,40046814,16,3937057961,2991502521,1,524288,524288,524288,0
524288,8,47199037,16,6172960399,5545046133,1,524288,524288,524288,0
1048576,8,278588372,931592,1513971250,95533912303,422898,1,2.4795,335865,266746
1048576,8,365413406,1243439,1536000016,127339746765,524177,1,2.00042,21820,988.113
1048576,8,366848945,1248708,1249333606,126202445028,524299,1,1.99996,7983,266.977
1048576,8,366995530,1249194,1632266364,148714171925,524997,1,1.9973,3908,165.829
1048576,8,403127194,1374347,1552887862,175665159376,628407,1,1.66863,184,5.66167
1048576,8,68707837,40,7640614130,6818744903,23,1,45590.3,1048554,4.57244e+10
1048576,8,83906316,17,8492895974,6987579363,2,1,524288,1048575,2.74877e+11
1048576,8,98793109,16,14106837748,14343790210,1,1048576,1.04858e+06,1048576,0
