n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
0,8,144,0,154375208,56892,0,2147483648,0,0,0
1024,8,47611,12,148026230,7054807,1,1024,1024,1024,0
1024,8,47958,14,134412385,8174209,1,1024,1024,1024,0
1024,8,49526,15,144458102,7463507,2,1,512,1023,261121
2048,8,101226,15,135970625,10441202,2,1,1024,2047,1.04653e+06
2048,8,99473,14,131291198,10427797,1,2048,2048,2048,0
2048,8,99775,16,131350471,10573290,3,1,682.667,2046,929339
4096,8,210472,14,144427482,17074345,1,4096,4096,4096,0
4096,8,210690,17,150710069,18026487,4,1,1024,4093,3.13959e+06
4096,8,213381,14,158941648,16871245,1,4096,4096,4096,0
8192,8,447545,14,170954112,31669766,1,8192,8192,8192,0
8192,8,448467,17,165054091,31844281,4,1,2048,8189,1.25706e+07
8192,8,450484,15,154826246,30919362,2,1,4096,8191,1.6769e+07
16384,8,954342,16,227030686,68860483,3,1,5461.33,16382,5.96305e+07
16384,8,956192,18,230902909,67416118,5,1,3276.8,16380,4.29235e+07
16384,8,960949,16,244514750,68173043,3,1,5461.33,16382,5.96305e+07
32768,8,2032693,15,329241846,150158801,2,1,16384,32767,2.68403e+08
32768,8,2036790,15,339334696,142262411,2,1,16384,32767,2.68403e+08
32768,8,2040000,17,381138078,138299820,2,1,16384,32767,2.68403e+08
65536,8,4287540,16,535248385,274342966,1,65536,65536,65536,0
65536,8,4293313,16,543071413,274044602,1,65536,65536,65536,0
65536,8,4298760,17,530857897,270633183,4,1,16384,65533,8.05208e+08
131072,8,9052851,16,927642193,600215053,1,131072,131072,131072,0
131072,8,9065270,18,932368765,595324087,3,1,43690.7,131070,3.81757e+09
