n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,55042,5,249,15483465,27631606,446,1,2.29596,172,91.7241
1024,1,57604,5,291,15454986,27918081,417,1,2.45564,131,90.1809
1024,1,58122,5,521,15478021,28219728,420,1,2.4381,325,252.441
1024,2,56544,5,497,13231925,16112265,446,1,2.29596,172,91.7241
1024,2,59358,5,581,13132959,17055328,417,1,2.45564,131,90.1809
1024,2,61256,5,1041,13102215,18531610,420,1,2.4381,325,252.441
1024,4,62524,5,993,13737381,12430380,446,1,2.29596,172,91.7241
1024,4,66346,5,1161,15291106,15146950,417,1,2.45564,131,90.1809
1024,4,73764,5,2081,13850784,17502787,420,1,2.4381,325,252.441
1024,8,123740,5,4161,20857355,28121469,420,1,2.4381,325,252.441
1024,8,86388,5,1985,18686202,16425495,446,1,2.29596,172,91.7241
1024,8,94242,5,2321,21322541,18413096,417,1,2.45564,131,90.1809
2048,1,130844,6,504,51788140,67032026,845,1,2.42367,520,325.383
2048,1,133326,6,626,23687905,67877316,840,1,2.4381,748,665.425
2048,1,135648,6,624,23576544,69620160,811,1,2.52528,664,548.027
2048,2,133878,6,1007,76708281,38850572,845,1,2.42367,520,325.383
2048,2,137092,6,1251,17242512,40415854,840,1,2.4381,748,665.425
2048,2,139402,6,1247,17697841,40455555,811,1,2.52528,664,548.027
2048,4,145982,6,2013,46393907,27798335,845,1,2.42367,520,325.383
2048,4,152124,6,2501,15575619,31287666,840,1,2.4381,748,665.425
2048,4,154386,6,2493,18725177,31215317,811,1,2.52528,664,548.027
2048,8,194334,6,4025,43715348,39366972,845,1,2.42367,520,325.383
2048,8,212188,6,5001,19925170,39126793,840,1,2.4381,748,665.425
2048,8,214258,6,4985,24349896,39500399,811,1,2.52528,664,548.027
4096,1,262078,6,832,40545856,142214091,1690,1,2.42367,1145,779.678
4096,1,268918,6,804,41104057,144914849,1628,1,2.51597,1283,1014.35
4096,1,285928,7,799,40298807,159857706,1747,1,2.34459,872,450.32
4096,2,267080,6,1663,26331355,78829625,1690,1,2.42367,1145,779.678
4096,2,273752,6,1607,25962630,79758772,1628,1,2.51597,1283,1014.35
4096,2,290734,7,1597,25549755,86610501,1747,1,2.34459,872,450.32
4096,4,287056,6,3325,20206263,54608809,1690,1,2.42367,1145,779.678
4096,4,293056,6,3213,20484858,54371146,1628,1,2.51597,1283,1014.35
4096,4,309922,7,3193,29701604,59386622,1747,1,2.34459,872,450.32
4096,8,366896,6,6649,27203684,64698418,1690,1,2.42367,1145,779.678
4096,8,370208,6,6425,25020633,58609327,1628,1,2.51597,1283,1014.35
4096,8,386602,7,6385,20172603,59705452,1747,1,2.34459,872,450.32
8192,1,524890,6,854,76595706,306312567,3368,1,2.4323,2399,1716.57
8192,1,531662,6,1021,77413780,307313425,3317,1,2.4697,2573,1999.37
8192,1,532546,6,1160,76991520,310195150,3316,1,2.47045,2626,2081.77
8192,2,530024,6,1707,43792096,160991803,3368,1,2.4323,2399,1716.57
8192,2,537798,6,2041,44073549,164232438,3317,1,2.4697,2573,1999.37
8192,2,539516,6,2319,43952392,164803078,3316,1,2.47045,2626,2081.77
8192,4,550528,6,3413,33436221,95224334,3368,1,2.4323,2399,1716.57
8192,4,562310,6,4081,29400588,100146693,3317,1,2.4697,2573,1999.37
8192,4,567364,6,4637,29370202,102616949,3316,1,2.47045,2626,2081.77
8192,8,632480,6,6825,28842059,86649503,3368,1,2.4323,2399,1716.57
8192,8,660294,6,8161,26617517,91213865,3317,1,2.4697,2573,1999.37
8192,8,678692,6,9273,24456035,97447236,3316,1,2.47045,2626,2081.77
1024,16,181732,5,3969,501793395,77086930,446,1,2.29596,172,91.7241
1024,16,205714,5,4641,518305489,89460713,417,1,2.45564,131,90.1809
1024,16,323532,5,8321,496988880,135938779,420,1,2.4381,325,252.441
1024,32,1122476,5,16641,1660043805,396330132,420,1,2.4381,325,252.441
1024,32,562884,5,7937,822349483,201593303,446,1,2.29596,172,91.7241
1024,32,651378,5,9281,1609251250,282397949,417,1,2.45564,131,90.1809
16384,1,1176670,7,1569,154545067,763477824,6762,1,2.42295,4572,3095.5
16384,1,1178626,7,1340,153326951,743617568,6787,1,2.41403,4636,3177.92
16384,1,1193550,7,1794,155185775,771583940,6613,1,2.47754,4522,3101.26
16384,2,1186096,7,3137,82222553,390840201,6762,1,2.42295,4572,3095.5
16384,2,1186678,7,2679,82872865,387646960,6787,1,2.41403,4636,3177.92
16384,2,1204326,7,3587,83223912,398447858,6613,1,2.47754,4522,3101.26
16384,4,1218850,7,5357,47761423,217368251,6787,1,2.41403,4636,3177.92
16384,4,1223764,7,6273,48121302,218674088,6762,1,2.42295,4572,3095.5
16384,4,1247394,7,7173,48106420,224818137,6613,1,2.47754,4522,3101.26
16384,8,1347466,7,10713,33741150,166048778,6787,1,2.41403,4636,3177.92
16384,8,1374364,7,12545,38229707,175185594,6762,1,2.42295,4572,3095.5
16384,8,1419594,7,14345,37627899,185529606,6613,1,2.47754,4522,3101.26
2048,16,387614,6,8049,519786678,143320609,845,1,2.42367,520,325.383
2048,16,452316,6,10001,480863516,169377099,840,1,2.4381,748,665.425
2048,16,453618,6,9969,480149555,167438201,811,1,2.52528,664,548.027
2048,32,1160478,6,16097,1677310557,410728147,845,1,2.42367,520,325.383
2048,32,1410802,6,19937,1517150236,690338902,811,1,2.52528,664,548.027
2048,32,1412572,6,20001,1580227039,588206966,840,1,2.4381,748,665.425
32768,1,2399788,7,1714,315125433,1681265318,13284,1,2.46673,10494,8294
32768,1,2417072,7,1699,320298715,1707736782,13089,1,2.50348,10345,8181.03
32768,1,2422026,7,1839,320959876,1712992752,13114,1,2.4987,10752,8818.07
32768,2,2410084,7,3427,165390365,928229196,13284,1,2.46673,10494,8294
32768,2,2427278,7,3397,168608356,871123923,13089,1,2.50348,10345,8181.03
