n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,28628,3,76,14166307,13501567,632,1,1.62025,18,3.01718
1024,1,37228,4,128,14675714,18129109,579,1,1.76857,35,6.54057
1024,1,41526,5,163,14425102,20473829,596,1,1.71812,44,7.27289
1024,2,29088,3,151,12597692,7826358,632,1,1.62025,18,3.01718
1024,2,38002,4,255,12718012,10529812,579,1,1.76857,35,6.54057
1024,2,42512,5,325,12666498,12282758,596,1,1.71812,44,7.27289
1024,4,30908,3,301,13251749,5395365,632,1,1.62025,18,3.01718
1024,4,41074,4,509,20602129,15963184,579,1,1.76857,35,6.54057
1024,4,46428,5,649,15530101,13518518,596,1,1.71812,44,7.27289
1024,8,38148,3,601,20321901,9389137,632,1,1.62025,18,3.01718
1024,8,53314,4,1017,16829741,9344912,579,1,1.76857,35,6.54057
1024,8,62036,5,1297,19857959,11350650,596,1,1.71812,44,7.27289
2048,1,66386,4,128,20566468,33866193,1272,1,1.61006,37,3.71273
2048,1,69266,4,166,20949009,35978411,1232,1,1.66234,33,4.32267
2048,1,76490,5,168,20499724,40072658,1267,1,1.61642,37,3.87181
2048,2,67160,4,255,15625323,19097524,1272,1,1.61006,37,3.71273
2048,2,70268,4,331,15932807,19678252,1232,1,1.66234,33,4.32267
2048,2,77506,5,335,16099209,23800454,1267,1,1.61642,37,3.87181
2048,4,70232,4,509,14970750,11760509,1272,1,1.61006,37,3.71273
2048,4,74252,4,661,14947335,12918220,1232,1,1.66234,33,4.32267
2048,4,81542,5,669,18533581,14265038,1267,1,1.61642,37,3.87181
2048,8,82472,4,1017,17701191,11684482,1272,1,1.61006,37,3.71273
2048,8,90140,4,1321,17872386,13527736,1232,1,1.66234,33,4.32267
2048,8,97630,5,1337,19330284,18047327,1267,1,1.61642,37,3.87181
4096,1,137476,4,120,63384322,73081876,2471,1,1.65763,39,4.06247
4096,1,138900,4,175,35019272,74413056,2446,1,1.67457,55,5.047
4096,1,161482,5,209,34648826,87743365,2422,1,1.69116,51,6.39512
4096,2,138202,4,239,48317064,38808229,2471,1,1.65763,39,4.06247
4096,2,139956,4,349,22753058,39029805,2446,1,1.67457,55,5.047
4096,2,162744,5,417,23139095,47203276,2422,1,1.69116,51,6.39512
4096,4,141082,4,477,69144649,22120174,2471,1,1.65763,39,4.06247
4096,4,144156,4,697,18712824,23517494,2446,1,1.67457,55,5.047
4096,4,167764,5,833,18534510,28106581,2422,1,1.69116,51,6.39512
4096,8,152554,4,953,46580153,17114539,2471,1,1.65763,39,4.06247
4096,8,160908,4,1393,25226061,21969058,2446,1,1.67457,55,5.047
4096,8,187788,5,1665,23511188,23289181,2422,1,1.69116,51,6.39512
8192,1,275676,4,160,64953238,156212289,4929,1,1.662,42,4.20306
8192,1,314786,5,354,64517843,181297647,4945,1,1.65662,132,8.72335
8192,1,322074,5,387,65175956,189120943,4856,1,1.68699,231,14.9914
8192,2,276642,4,319,37573330,81171128,4929,1,1.662,42,4.20306
8192,2,316918,5,707,37204022,95446715,4945,1,1.65662,132,8.72335
8192,2,324404,5,773,37494628,97242132,4856,1,1.68699,231,14.9914
8192,4,280482,4,637,32607166,42873777,4929,1,1.662,42,4.20306
8192,4,325418,5,1413,30511330,54348795,4945,1,1.65662,132,8.72335
8192,4,333696,5,1545,29345711,56478024,4856,1,1.68699,231,14.9914
8192,8,295794,4,1273,23615205,29922743,4929,1,1.662,42,4.20306
8192,8,359362,5,2825,25283167,43063160,4945,1,1.65662,132,8.72335
8192,8,370808,5,3089,25356927,45618650,4856,1,1.68699,231,14.9914
1024,16,102178,4,2033,515703556,45591355,579,1,1.76857,35,6.54057
1024,16,124356,5,2593,509130265,56759970,596,1,1.71812,44,7.27289
1024,16,67028,3,1201,513819740,32379169,632,1,1.62025,18,3.01718
1024,32,182388,3,2401,1657209044,113514178,632,1,1.62025,18,3.01718
1024,32,297442,4,4065,1574218788,218728142,579,1,1.76857,35,6.54057
1024,32,373412,5,5185,1105342771,116910032,596,1,1.71812,44,7.27289
16384,1,630568,5,303,127453393,390060280,9845,1,1.6642,65,5.37916
16384,1,631422,5,311,127548333,391830299,9840,1,1.66504,79,5.35162
16384,1,632174,5,249,126940510,399053407,9840,1,1.66504,80,5.39085
16384,2,632394,5,605,68954186,199358876,9845,1,1.6642,65,5.37916
16384,2,633296,5,621,69560910,201781596,9840,1,1.66504,79,5.35162
16384,2,633676,5,497,68679604,199372198,9840,1,1.66504,80,5.39085
16384,4,639656,5,993,40984983,103585472,9840,1,1.66504,80,5.39085
16384,4,639670,5,1209,41099749,105179904,9845,1,1.6642,65,5.37916
16384,4,640764,5,1241,45916759,109736332,9840,1,1.66504,79,5.35162
16384,8,663520,5,1985,32263747,65146644,9840,1,1.66504,80,5.39085
16384,8,668718,5,2417,32599974,67836460,9845,1,1.6642,65,5.37916
16384,8,670580,5,2481,33713846,68102836,9840,1,1.66504,79,5.35162
2048,16,131336,4,2033,495023714,49361493,1272,1,1.61006,37,3.71273
2048,16,153596,4,2641,473034428,96996597,1232,1,1.66234,33,4.32267
2048,16,161870,5,2673,507125973,60266219,1267,1,1.61642,37,3.87181
2048,32,326600,4,4065,1406025204,117847200,1272,1,1.61006,37,3.71273
2048,32,407228,4,5281,1657141635,177745614,1232,1,1.66234,33,4.32267
2048,32,418606,5,5345,1654073796,154164959,1267,1,1.61642,37,3.87181
32768,1,1258556,5,307,260869590,863535465,19729,1,1.66091,91,5.53335
32768,1,1258802,5,250,262750378,862448743,19717,1,1.66192,88,5.14654
32768,1,1274520,5,241,259833717,864319010,19521,1,1.6786,86,5.57305
32768,2,1260310,5,499,134366320,427854747,19717,1,1.66192,88,5.14654
32768,2,1260406,5,613,134813961,427446943,19729,1,1.66091,91,5.53335
32768,2,1275974,5,481,135375534,429828924,19521,1,1.6786,86,5.57305
32768,4,1266314,5,997,76540695,212448292,19717,1,1.66192,88,5.14654
32768,4,1267778,5,1225,72283797,211207944,19729,1,1.66091,91,5.53335
32768,4,1281762,5,961,73361857,214644999,19521,1,1.6786,86,5.57305
32768,8,1290274,5,1993,46208989,121656645,19717,1,1.66192,88,5.14654
32768,8,1297210,5,2449,50452894,124865389,19729,1,1.66091,91,5.53335
32768,8,1304858,5,1921,50626840,122348916,19521,1,1.6786,86,5.57305
4096,16,198346,4,1905,543822565,54924805,2471,1,1.65763,39,4.06247
4096,16,227820,4,2785,511139358,65602035,2446,1,1.67457,55,5.047
4096,16,267772,5,3329,503314624,75719046,2422,1,1.69116,51,6.39512
4096,32,381322,4,3809,1727481487,169457611,2471,1,1.65763,39,4.06247
4096,32,495276,4,5569,1697016365,189864388,2446,1,1.67457,55,5.047
4096,32,587484,5,6657,1685009240,217932919,2422,1,1.69116,51,6.39512
