n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,125412,4,370,28109976,49690916,3,1,341.333,1022,231654
1024,1,143684,4,486,32310074,54753066,1,1024,1024,1024,0
1024,1,156488,4,508,35789160,58709901,1,1024,1024,1024,0
1024,1,41526,5,163,14425102,20473829,596,1,1.71812,44,7.27289
1024,1,41946,4,237,14934247,20129855,519,1,1.97303,158,52.8972
1024,1,45376,4,294,14819306,21910043,471,1,2.1741,142,49.6555
1024,1,58122,5,521,15478021,28219728,420,1,2.4381,325,252.441
1024,1,58822,6,394,15201443,29785424,490,1,2.0898,226,106.523
1024,2,127638,4,739,20127373,28981877,3,1,341.333,1022,231654
1024,2,146606,4,971,22400056,33820420,1,1024,1024,1024,0
1024,2,159542,4,1015,23932197,34748392,1,1024,1024,1024,0
1024,2,42512,5,325,12666498,12282758,596,1,1.71812,44,7.27289
1024,2,43374,4,473,12822404,12563089,519,1,1.97303,158,52.8972
1024,2,47146,4,587,12989127,13669559,471,1,2.1741,142,49.6555
1024,2,61196,6,787,12955002,18360445,490,1,2.0898,226,106.523
1024,2,61256,5,1041,13102215,18531610,420,1,2.4381,325,252.441
1024,4,136518,4,1477,21833148,20991616,3,1,341.333,1022,231654
1024,4,158270,4,1941,18599114,24843044,1,1024,1024,1024,0
1024,4,171734,4,2029,26135169,32548038,1,1024,1024,1024,0
1024,4,46428,5,649,15530101,13518518,596,1,1.71812,44,7.27289
1024,4,49062,4,945,21447972,10339244,519,1,1.97303,158,52.8972
1024,4,54202,4,1173,13641432,11560708,471,1,2.1741,142,49.6555
1024,4,70660,6,1573,13475665,15405466,490,1,2.0898,226,106.523
1024,4,73764,5,2081,13850784,17502787,420,1,2.4381,325,252.441
1024,8,108452,6,3145,23306648,22789529,490,1,2.0898,226,106.523
1024,8,123740,5,4161,20857355,28121469,420,1,2.4381,325,252.441
1024,8,171990,4,2953,21823047,25576606,3,1,341.333,1022,231654
1024,8,204878,4,3881,23559269,36479792,1,1024,1024,1024,0
1024,8,220454,4,4057,23112325,33861810,1,1024,1024,1024,0
1024,8,62036,5,1297,19857959,11350650,596,1,1.71812,44,7.27289
1024,8,71766,4,1889,18734699,18700154,519,1,1.97303,158,52.8972
1024,8,82378,4,2345,18369517,17071786,471,1,2.1741,142,49.6555
2048,1,133326,6,626,23687905,67877316,840,1,2.4381,748,665.425
2048,1,302170,4,566,63691717,120452786,2,1,1024,2047,1.04653e+06
2048,1,304186,5,687,54311125,124979685,4,1,512,2045,783363
2048,1,381078,5,623,73022443,151805041,2,1,1024,2047,1.04653e+06
2048,1,76490,5,168,20499724,40072658,1267,1,1.61642,37,3.87181
2048,1,95938,5,301,22216323,48888367,1038,1,1.97303,134,38.2054
2048,1,96078,5,331,22224496,49427568,1040,1,1.96923,179,40.7991
2048,1,97132,5,303,22359028,49652081,1029,1,1.99028,202,49.1097
2048,2,137092,6,1251,17242512,40415854,840,1,2.4381,748,665.425
2048,2,305572,4,1131,38781935,67260865,2,1,1024,2047,1.04653e+06
2048,2,308316,5,1373,33679094,71022831,4,1,512,2045,783363
2048,2,384824,5,1245,43144161,84730085,2,1,1024,2047,1.04653e+06
