n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,156488,4,508,35789160,58709901,1,1024,1024,1024,0
1024,1,157580,4,460,36431415,59510858,1,1024,1024,1024,0
1024,1,180700,5,533,36167122,67730387,1,1024,1024,1024,0
1024,2,159542,4,1015,23932197,34748392,1,1024,1024,1024,0
1024,2,160346,4,919,24067329,35101024,1,1024,1024,1024,0
1024,2,183906,5,1065,24055939,41141408,1,1024,1024,1024,0
1024,4,171386,4,1837,19528172,26190256,1,1024,1024,1024,0
1024,4,171734,4,2029,26135169,32548038,1,1024,1024,1024,0
1024,4,196702,5,2129,19720820,30346953,1,1024,1024,1024,0
1024,8,215498,4,3673,21734281,32207624,1,1024,1024,1024,0
1024,8,220454,4,4057,23112325,33861810,1,1024,1024,1024,0
1024,8,247830,5,4257,20375077,36786889,1,1024,1024,1024,0
2048,1,379854,5,662,73021365,150740800,1,2048,2048,2048,0
2048,1,380388,5,703,72711838,151278027,1,2048,2048,2048,0
2048,1,381078,5,623,73022443,151805041,2,1,1024,2047,1.04653e+06
2048,2,383834,5,1323,43042604,82876905,1,2048,2048,2048,0
2048,2,384614,5,1405,42970477,84669919,1,2048,2048,2048,0
2048,2,384824,5,1245,43144161,84730085,2,1,1024,2047,1.04653e+06
2048,4,399726,5,2645,29933137,55320428,1,2048,2048,2048,0
2048,4,399780,5,2489,30220127,55145168,2,1,1024,2047,1.04653e+06
2048,4,401490,5,2809,29513058,55792107,1,2048,2048,2048,0
2048,8,459548,5,4977,33063283,58244615,2,1,1024,2047,1.04653e+06
2048,8,463238,5,5289,29824584,56697128,1,2048,2048,2048,0
2048,8,468938,5,5617,28108082,58365523,1,2048,2048,2048,0
4096,1,792012,5,843,155246201,333835825,1,4096,4096,4096,0
4096,1,795274,5,943,154756866,333228252,2,1,2048,4095,4.19021e+06
4096,1,796388,5,749,155493925,336173227,1,4096,4096,4096,0
4096,2,797078,5,1685,86648836,180686214,1,4096,4096,4096,0
4096,2,800890,5,1497,85789695,179862064,1,4096,4096,4096,0
4096,2,800940,5,1885,85252976,183720380,2,1,2048,4095,4.19021e+06
4096,4,817314,5,3369,52079115,110050284,1,4096,4096,4096,0
4096,4,818870,5,2993,55165463,120093069,1,4096,4096,4096,0
4096,4,823576,5,3769,51752676,110275999,2,1,2048,4095,4.19021e+06
4096,8,890734,5,5985,42425267,88693578,1,4096,4096,4096,0
4096,8,898202,5,6737,37959669,93015432,1,4096,4096,4096,0
4096,8,914064,5,7537,39489307,96872412,2,1,2048,4095,4.19021e+06
8192,1,1653708,5,1027,346821795,766911624,1,8192,8192,8192,0
8192,1,1668428,5,1061,350263838,771989018,1,8192,8192,8192,0
8192,1,1822022,6,1365,345609777,847407233,1,8192,8192,8192,0
8192,2,1659878,5,2053,184466967,399590415,1,8192,8192,8192,0
8192,2,1674802,5,2121,188726444,406290624,1,8192,8192,8192,0
8192,2,1830222,6,2729,184308577,437314871,1,8192,8192,8192,0
8192,4,1684530,5,4105,111178043,220013148,1,8192,8192,8192,0
8192,4,1700270,5,4241,103811535,219252983,1,8192,8192,8192,0
8192,4,1862990,6,5457,109569111,246656988,1,8192,8192,8192,0
8192,8,1783082,5,8209,66876505,157708934,1,8192,8192,8192,0
8192,8,1802086,5,8481,68131597,161286760,1,8192,8192,8192,0
8192,8,1993998,6,10913,64771996,188860825,1,8192,8192,8192,0
1024,16,391850,4,7345,502154085,138046329,1,1024,1024,1024,0
1024,16,415238,4,8113,491910868,149356629,1,1024,1024,1024,0
1024,16,452230,5,8513,503108027,157611416,1,1024,1024,1024,0
1024,32,1097066,4,14689,1643627055,403054627,1,1024,1024,1024,0
1024,32,1194182,4,16225,1526731981,475831052,1,1024,1024,1024,0
1024,32,1269606,5,17025,1601110597,444435900,1,1024,1024,1024,0
16384,1,3454504,5,1461,789608485,1728661516,1,16384,16384,16384,0
16384,1,3463748,5,1161,794593680,1746704397,1,16384,16384,16384,0
16384,1,3468032,5,1279,788948222,1735429891,1,16384,16384,16384,0
16384,2,3463278,5,2921,418474473,878493679,1,16384,16384,16384,0
16384,2,3470722,5,2321,421335008,874275009,1,16384,16384,16384,0
16384,2,3475714,5,2557,415880624,875912600,1,16384,16384,16384,0
16384,4,3498346,5,5841,221207742,455455408,1,16384,16384,16384,0
16384,4,3498590,5,4641,221042888,450049264,1,16384,16384,16384,0
16384,4,3506414,5,5113,220149029,457936480,1,16384,16384,16384,0
16384,8,3610006,5,9281,133746287,288942378,1,16384,16384,16384,0
16384,8,3629158,5,10225,132186041,295898890,1,16384,16384,16384,0
16384,8,3638562,5,11681,131767109,310413663,1,16384,16384,16384,0
2048,16,698508,5,9953,502132698,191970968,2,1,1024,2047,1.04653e+06
2048,16,717174,5,10577,479512845,209153558,1,2048,2048,2048,0
2048,16,738618,5,11233,501719440,210219232,1,2048,2048,2048,0
2048,32,1654124,5,19905,1703625174,550557392,2,1,1024,2047,1.04653e+06
2048,32,1732694,5,21153,842803868,459758605,1,2048,2048,2048,0
2048,32,1817114,5,22465,1680018064,620480750,1,2048,2048,2048,0
32768,1,7206928,5,1635,1823664843,3771193354,1,32768,32768,32768,0
32768,1,7218044,5,1279,1820343722,3890450225,1,32768,32768,32768,0
32768,1,7971420,6,1578,1790064563,4257766608,1,32768,32768,32768,0
32768,2,7216746,5,3269,937300512,1972210264,1,32768,32768,32768,0
32768,2,7225726,5,2557,940654263,1964099217,1,32768,32768,32768,0
32768,2,7980898,6,3155,939000718,2229283735,1,32768,32768,32768,0
32768,4,7255990,5,6537,485142274,980242284,1,32768,32768,32768,0
32768,4,7256426,5,5113,485273920,957947042,1,32768,32768,32768,0
32768,4,8018778,6,6309,482640170,1105300143,1,32768,32768,32768,0
32768,8,7379170,5,10225,277461424,556665000,1,32768,32768,32768,0
32768,8,7412910,5,13073,267259726,579814844,1,32768,32768,32768,0
