n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,125412,4,370,28109976,49690916,3,1,341.333,1022,231654
1024,1,127610,4,491,28379471,50420992,5,1,204.8,1020,166138
1024,1,150074,5,613,28824463,59716523,6,1,170.667,1019,143934
1024,2,127638,4,739,20127373,28981877,3,1,341.333,1022,231654
1024,2,130562,4,981,20100125,29699302,5,1,204.8,1020,166138
1024,2,153760,5,1225,20211528,35413206,6,1,170.667,1019,143934
1024,4,136518,4,1477,21833148,20991616,3,1,341.333,1022,231654
1024,4,142346,4,1961,23430017,23859504,5,1,204.8,1020,166138
1024,4,168476,5,2449,19075877,28236065,6,1,170.667,1019,143934
1024,8,171990,4,2953,21823047,25576606,3,1,341.333,1022,231654
1024,8,189434,4,3921,19034210,31932640,5,1,204.8,1020,166138
1024,8,227284,5,4897,25346511,38735174,6,1,170.667,1019,143934
2048,1,304186,5,687,54311125,124979685,4,1,512,2045,783363
2048,1,314116,5,679,53782895,127824662,9,1,227.556,2040,410619
2048,1,363494,6,768,55465707,147088273,4,1,512,2045,783363
2048,2,308316,5,1373,33679094,71022831,4,1,512,2045,783363
2048,2,318198,5,1357,33954395,72670823,9,1,227.556,2040,410619
2048,2,368112,6,1535,34140912,83988500,4,1,512,2045,783363
2048,4,324808,5,2745,27080005,48850524,4,1,512,2045,783363
2048,4,334498,5,2713,24873604,48369991,9,1,227.556,2040,410619
2048,4,386552,6,3069,24933790,55639839,4,1,512,2045,783363
2048,8,390720,5,5489,29517375,53098998,4,1,512,2045,783363
2048,8,399642,5,5425,31261009,57126620,9,1,227.556,2040,410619
2048,8,460248,6,6137,26113019,61226993,4,1,512,2045,783363
4096,1,652320,5,866,110952404,280320633,6,1,682.667,4091,2.32335e+06
4096,1,653972,5,819,111915581,281324291,9,1,455.111,4088,1.64974e+06
4096,1,655930,5,845,113770792,280773380,6,1,682.667,4091,2.32335e+06
4096,2,657524,5,1731,63664355,154956643,6,1,682.667,4091,2.32335e+06
4096,2,658894,5,1637,64045209,152156196,9,1,455.111,4088,1.64974e+06
4096,2,661008,5,1689,64119626,151380677,6,1,682.667,4091,2.32335e+06
4096,4,678312,5,3461,43111510,94618372,6,1,682.667,4091,2.32335e+06
4096,4,678554,5,3273,40633150,91597556,9,1,455.111,4088,1.64974e+06
4096,4,681292,5,3377,40557743,93126921,6,1,682.667,4091,2.32335e+06
4096,8,757138,5,6545,34970274,85867973,9,1,455.111,4088,1.64974e+06
4096,8,761408,5,6921,33164491,84858336,6,1,682.667,4091,2.32335e+06
4096,8,762372,5,6753,33615435,83824538,6,1,682.667,4091,2.32335e+06
8192,1,1359862,5,1015,244929770,636352305,8,1,1024,8185,7.3257e+06
8192,1,1546320,6,1075,242543489,724614224,10,1,819.2,8183,6.02506e+06
8192,1,1552690,6,1085,251215418,727973881,7,1,1170.29,8186,8.20337e+06
8192,2,1365960,5,2029,134939265,336826652,8,1,1024,8185,7.3257e+06
8192,2,1552780,6,2149,133865635,376871701,10,1,819.2,8183,6.02506e+06
8192,2,1559210,6,2169,134919087,379963051,7,1,1170.29,8186,8.20337e+06
8192,4,1390324,5,4057,77544160,183934472,8,1,1024,8185,7.3257e+06
8192,4,1578588,6,4297,76971674,207294666,10,1,819.2,8183,6.02506e+06
8192,4,1585258,6,4337,77337356,207384380,7,1,1170.29,8186,8.20337e+06
8192,8,1487724,5,8113,54057663,139674667,8,1,1024,8185,7.3257e+06
8192,8,1681756,6,8593,56024781,156089606,10,1,819.2,8183,6.02506e+06
8192,8,1689386,6,8673,50753646,159125045,7,1,1170.29,8186,8.20337e+06
1024,16,313782,4,5905,483469183,112955096,3,1,341.333,1022,231654
1024,16,377690,4,7841,499585375,140380962,5,1,204.8,1020,166138
1024,16,462404,5,9793,483463619,171808149,6,1,170.667,1019,143934
1024,32,1130522,4,15681,1581790238,441712240,5,1,204.8,1020,166138
1024,32,1402660,5,19585,1665412789,514710696,6,1,170.667,1019,143934
1024,32,880758,4,11809,1655232508,342706060,3,1,341.333,1022,231654
16384,1,2816294,5,1043,547516301,1427637247,12,1,1365.33,16373,2.04755e+07
16384,1,3196902,6,1590,551903238,1636888073,6,1,2730.67,16379,3.72554e+07
16384,1,3202062,6,1420,555964701,1626458795,8,1,2048,16377,2.93315e+07
16384,2,2822560,5,2085,298948273,738203376,12,1,1365.33,16373,2.04755e+07
16384,2,3206452,6,3179,296847529,838344433,6,1,2730.67,16379,3.72554e+07
16384,2,3210592,6,2839,296532066,840801259,8,1,2048,16377,2.93315e+07
16384,4,2847596,5,4169,161099783,373641210,12,1,1365.33,16373,2.04755e+07
