n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,142574,4,486,32021285,54819059,4,1,256,1021,195075
1024,1,143684,4,486,32310074,54753066,1,1024,1024,1024,0
1024,1,162922,5,549,32017669,62899349,4,1,256,1021,195075
1024,2,145496,4,971,22071834,32473771,4,1,256,1021,195075
1024,2,146606,4,971,22400056,33820420,1,1024,1024,1024,0
1024,2,166224,5,1097,21968677,38372482,4,1,256,1021,195075
1024,4,157160,4,1941,18709458,25404598,4,1,256,1021,195075
1024,4,158270,4,1941,18599114,24843044,1,1024,1024,1024,0
1024,4,179404,5,2193,18865720,28930461,4,1,256,1021,195075
1024,8,203768,4,3881,24247616,32554810,4,1,256,1021,195075
1024,8,204878,4,3881,23559269,36479792,1,1024,1024,1024,0
1024,8,232068,5,4385,26766836,43105462,4,1,256,1021,195075
2048,1,302170,4,566,63691717,120452786,2,1,1024,2047,1.04653e+06
2048,1,346316,5,715,63413034,139406552,1,2048,2048,2048,0
2048,1,350522,5,665,64388963,139261113,2,1,1024,2047,1.04653e+06
2048,2,305572,4,1131,38781935,67260865,2,1,1024,2047,1.04653e+06
2048,2,350614,5,1429,38467630,78300330,1,2048,2048,2048,0
2048,2,354520,5,1329,38631245,78140109,2,1,1024,2047,1.04653e+06
2048,4,319156,4,2261,27342341,45177241,2,1,1024,2047,1.04653e+06
2048,4,367778,5,2857,27381906,53052527,1,2048,2048,2048,0
2048,4,370484,5,2657,31068953,51466328,2,1,1024,2047,1.04653e+06
2048,8,373444,4,4521,24412825,46343165,2,1,1024,2047,1.04653e+06
2048,8,434284,5,5313,30691575,54329155,2,1,1024,2047,1.04653e+06
2048,8,436378,5,5713,28960898,57212406,1,2048,2048,2048,0
4096,1,703016,5,837,133270492,303755996,1,4096,4096,4096,0
4096,1,723624,5,1071,134110335,310823995,3,1,1365.33,4094,3.72281e+06
4096,1,729902,5,765,134504495,310910537,2,1,2048,4095,4.19021e+06
4096,2,708046,5,1673,76319040,161826070,1,4096,4096,4096,0
4096,2,730058,5,2141,75365679,167409167,3,1,1365.33,4094,3.72281e+06
4096,2,734500,5,1529,76069643,172038801,2,1,2048,4095,4.19021e+06
4096,4,728138,5,3345,46401178,99321536,1,4096,4096,4096,0
4096,4,752864,5,3057,46350520,98254026,2,1,2048,4095,4.19021e+06
4096,4,755766,5,4281,46953952,103408549,3,1,1365.33,4094,3.72281e+06
4096,8,808450,5,6689,35927119,86549433,1,4096,4096,4096,0
4096,8,826264,5,6113,35845213,85484490,2,1,2048,4095,4.19021e+06
4096,8,858542,5,8561,34504736,99404974,3,1,1365.33,4094,3.72281e+06
8192,1,1512912,5,1009,296701880,705654603,3,1,2730.67,8190,1.49022e+07
8192,1,1514486,5,867,296517724,704426539,2,1,4096,8191,1.6769e+07
8192,1,1516606,5,1037,296626394,703311961,2,1,4096,8191,1.6769e+07
8192,2,1518974,5,2017,160511388,359856347,3,1,2730.67,8190,1.49022e+07
8192,2,1519696,5,1733,160469546,358347208,2,1,4096,8191,1.6769e+07
8192,2,1522836,5,2073,160384172,362089805,2,1,4096,8191,1.6769e+07
8192,4,1540508,5,3465,90921667,198682895,2,1,4096,8191,1.6769e+07
8192,4,1543194,5,4033,89254190,204142205,3,1,2730.67,8190,1.49022e+07
8192,4,1547728,5,4145,90687850,202073694,2,1,4096,8191,1.6769e+07
8192,8,1623700,5,6929,58128654,142859052,2,1,4096,8191,1.6769e+07
8192,8,1640018,5,8065,65896961,161727864,3,1,2730.67,8190,1.49022e+07
8192,8,1647240,5,8289,62320045,151378410,2,1,4096,8191,1.6769e+07
1024,16,390104,4,7761,525827878,140223525,4,1,256,1021,195075
1024,16,391214,4,7761,534689618,138845681,1,1024,1024,1024,0
1024,16,442612,5,8769,500469079,157872956,4,1,256,1021,195075
1024,32,1135256,4,15521,1637723153,411592401,4,1,256,1021,195075
1024,32,1136366,4,15521,1667498312,412298231,1,1024,1024,1024,0
1024,32,1284564,5,17537,1619729193,468894226,4,1,256,1021,195075
16384,1,3154282,5,1175,669102551,1578805828,2,1,8192,16383,6.70925e+07
16384,1,3516654,6,1545,675348840,1793286738,1,16384,16384,16384,0
16384,1,3532778,6,1545,670078166,1805453442,1,16384,16384,16384,0
16384,2,3161340,5,2349,358788945,804640671,2,1,8192,16383,6.70925e+07
16384,2,3525934,6,3089,359509936,925082424,1,16384,16384,16384,0
16384,2,3542058,6,3089,356485780,916303930,1,16384,16384,16384,0
16384,4,3189544,5,4697,192633399,414603641,2,1,8192,16383,6.70925e+07
16384,4,3563022,6,6177,189511486,471209214,1,16384,16384,16384,0
16384,4,3579146,6,6177,189481704,478101735,1,16384,16384,16384,0
16384,8,3302304,5,9393,113207486,276274284,2,1,8192,16383,6.70925e+07
16384,8,3711310,6,12353,114376817,322352617,1,16384,16384,16384,0
16384,8,3727434,6,12353,111015442,320040015,1,16384,16384,16384,0
2048,16,590500,4,9041,504167060,176461812,2,1,1024,2047,1.04653e+06
2048,16,689372,5,10625,512525971,199161499,2,1,1024,2047,1.04653e+06
2048,16,710666,5,11425,548439034,211846405,1,2048,2048,2048,0
2048,32,1458532,4,18081,1628468166,501342042,2,1,1024,2047,1.04653e+06
2048,32,1709500,5,21249,1607416824,585888644,2,1,1024,2047,1.04653e+06
2048,32,1807594,5,22849,1270236456,538991844,1,2048,2048,2048,0
32768,1,6523938,5,1207,1519662073,3505135379,4,1,8192,32765,2.01277e+08
32768,1,7286406,6,1874,1523296658,3947821979,2,1,16384,32767,2.68403e+08
32768,1,7291132,6,1810,1524644882,3955567333,1,32768,32768,32768,0
32768,2,6531188,5,2413,800986805,1776141573,4,1,8192,32765,2.01277e+08
32768,2,7297660,6,3747,797973753,1994153653,2,1,16384,32767,2.68403e+08
32768,2,7302002,6,3619,803144967,2019994013,1,32768,32768,32768,0
32768,4,6560160,5,4825,414247738,902068111,4,1,8192,32765,2.01277e+08
32768,4,7342644,6,7493,423817710,1014075248,2,1,16384,32767,2.68403e+08
32768,4,7345450,6,7237,415469113,1001436467,1,32768,32768,32768,0
32768,8,6675992,5,9649,235060452,523092813,4,1,8192,32765,2.01277e+08
32768,8,7519178,6,14473,233614333,607131338,1,32768,32768,32768,0
32768,8,7522516,6,14985,234000962,616314459,2,1,16384,32767,2.68403e+08
4096,16,1119752,5,12225,502591285,250751317,2,1,2048,4095,4.19021e+06
4096,16,1129586,5,13377,486580227,259073156,1,4096,4096,4096,0
4096,16,1269534,5,17121,506228680,322195456,3,1,1365.33,4094,3.72281e+06
4096,32,2293480,5,24449,1643198830,705775536,2,1,2048,4095,4.19021e+06
4096,32,2413906,5,26753,1664685831,758706385,1,4096,4096,4096,0
4096,32,2913278,5,34241,1656644985,916644721,3,1,1365.33,4094,3.72281e+06
65536,1,14861962,6,2390,3467814198,8859226930,2,1,32768,65535,1.07368e+09
65536,1,15053882,6,1993,3463760627,8678937960,1,65536,65536,65536,0
65536,1,15061012,6,1778,3468437313,8579855371,3,1,21845.3,65534,9.5435e+08
65536,2,14876312,6,4779,1825273951,4474536002,2,1,32768,65535,1.07368e+09
65536,2,15065850,6,3985,1808538076,4522964771,1,65536,65536,65536,0
65536,2,15071690,6,3555,1802149329,4501319822,3,1,21845.3,65534,9.5435e+08
65536,4,14933680,6,9557,931693412,2193965295,2,1,32768,65535,1.07368e+09
65536,4,15113690,6,7969,931155240,2225905401,1,65536,65536,65536,0
65536,4,15114370,6,7109,926684058,2221190745,3,1,21845.3,65534,9.5435e+08
65536,8,15163088,6,19113,507674284,1255379538,2,1,32768,65535,1.07368e+09
65536,8,15285026,6,14217,503208682,1229820357,3,1,21845.3,65534,9.5435e+08
65536,8,15304986,6,15937,502279032,1243279460,1,65536,65536,65536,0
8192,16,1956356,5,13857,514382098,320143784,2,1,4096,8191,1.6769e+07
8192,16,2027202,5,16129,509329188,351818728,3,1,2730.67,8190,1.49022e+07
8192,16,2045176,5,16577,518609560,358190557,2,1,4096,8191,1.6769e+07
8192,32,3286756,5,27713,1750229032,911602871,2,1,4096,8191,1.6769e+07
8192,32,3575714,5,32257,1648630271,1000870854,3,1,2730.67,8190,1.49022e+07
8192,32,3636696,5,33153,1305018050,870605504,2,1,4096,8191,1.6769e+07
131072,1,31032254,6,2062,7720292853,19665740943,2,1,65536,131071,4.29484e+09
131072,1,31047752,6,2530,7794231662,20179984882,3,1,43690.7,131070,3.81757e+09
131072,1,31049246,6,2379,7725094737,19322419094,1,131072,131072,131072,0
131072,2,31044636,6,4123,4087123040,10318977202,2,1,65536,131071,4.29484e+09
131072,2,31062942,6,5059,4104535761,10248574084,3,1,43690.7,131070,3.81757e+09
131072,2,31063530,6,4757,4060922465,10164972924,1,131072,131072,131072,0
