n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,54272,5,273,15347047,26714823,449,1,2.28062,122,54.7943
1024,1,61086,5,531,15787491,29479505,396,1,2.58586,406,414.354
1024,1,63124,6,396,15519086,32205864,443,1,2.31151,217,111.587
1024,2,55918,5,545,13400020,16459712,449,1,2.28062,122,54.7943
1024,2,64280,5,1061,13440235,18774027,396,1,2.58586,406,414.354
1024,2,65510,6,791,13102006,20252217,443,1,2.31151,217,111.587
1024,4,62474,5,1089,20514776,12760168,449,1,2.28062,122,54.7943
1024,4,75022,6,1581,13760890,16094242,443,1,2.31151,217,111.587
1024,4,77028,5,2121,13595065,17550484,396,1,2.58586,406,414.354
1024,8,113006,6,3161,19874435,23296094,443,1,2.31151,217,111.587
1024,8,127964,5,4241,18422036,28817741,396,1,2.58586,406,414.354
1024,8,88642,5,2177,18204331,16939343,449,1,2.28062,122,54.7943
2048,1,109766,5,395,23130150,56172681,884,1,2.31674,349,150.081
2048,1,131164,6,534,23731593,68407584,851,1,2.40658,592,416.603
2048,1,136720,6,600,23771160,69362205,797,1,2.56964,667,561.558
2048,2,112144,5,789,17227091,32114868,884,1,2.31674,349,150.081
2048,2,134378,6,1067,17308314,38977673,851,1,2.40658,592,416.603
2048,2,140330,6,1199,17790650,40965444,797,1,2.56964,667,561.558
2048,4,121628,5,1577,15758240,22704732,884,1,2.31674,349,150.081
2048,4,147202,6,2133,15904201,28641491,851,1,2.40658,592,416.603
2048,4,154738,6,2397,15899670,30892328,797,1,2.56964,667,561.558
2048,8,159508,5,3153,25386947,29805535,884,1,2.31674,349,150.081
2048,8,198434,6,4265,21700230,35146163,851,1,2.40658,592,416.603
2048,8,212306,6,4793,26241852,40669102,797,1,2.56964,667,561.558
4096,1,229676,5,507,40380934,121722035,1673,1,2.4483,1241,925.837
4096,1,264442,6,720,40905256,145648161,1674,1,2.44683,1290,995.65
4096,1,266560,6,686,40792438,144535396,1657,1,2.47194,1308,1036.09
4096,2,232726,5,1013,26011807,66631685,1673,1,2.4483,1241,925.837
4096,2,268772,6,1439,25899397,78549147,1674,1,2.44683,1290,995.65
4096,2,270686,6,1371,25968666,80432304,1657,1,2.47194,1308,1036.09
4096,4,244898,5,2025,19974118,42794264,1673,1,2.4483,1241,925.837
4096,4,286060,6,2877,20007586,52355079,1674,1,2.44683,1290,995.65
4096,4,287158,6,2741,19980219,52054666,1657,1,2.47194,1308,1036.09
4096,8,293530,5,4049,26956705,42197455,1673,1,2.4483,1241,925.837
4096,8,352982,6,5481,19813851,54095195,1657,1,2.47194,1308,1036.09
4096,8,355148,6,5753,25743526,55773456,1674,1,2.44683,1290,995.65
8192,1,519728,6,982,76362805,305599455,3437,1,2.38347,2477,1787.55
8192,1,531590,6,1062,77408121,306539469,3298,1,2.48393,2334,1658.56
8192,1,593982,7,1105,76886841,345209949,3352,1,2.44391,2410,1735.38
8192,2,525630,6,1963,43794577,159809851,3437,1,2.38347,2477,1787.55
8192,2,537972,6,2123,44899506,163633295,3298,1,2.48393,2334,1658.56
8192,2,600624,7,2209,44461409,181558445,3352,1,2.44391,2410,1735.38
8192,4,549206,6,3925,29175563,96581925,3437,1,2.38347,2477,1787.55
8192,4,563468,6,4245,29036486,100683115,3298,1,2.48393,2334,1658.56
8192,4,627156,7,4417,29079264,113635452,3352,1,2.44391,2410,1735.38
8192,8,643446,6,7849,33242976,92305639,3437,1,2.38347,2477,1787.55
8192,8,665388,6,8489,24495619,92774309,3298,1,2.48393,2334,1658.56
8192,8,733212,7,8833,26829233,100546515,3352,1,2.44391,2410,1735.38
1024,16,193202,5,4353,510217210,110264606,449,1,2.28062,122,54.7943
1024,16,264814,6,6321,494911108,108148517,443,1,2.31151,217,111.587
1024,16,331596,5,8481,534305560,137577666,396,1,2.58586,406,414.354
1024,32,1145900,5,16961,1562541097,490997771,396,1,2.58586,406,414.354
1024,32,611218,5,8705,1606047003,273341193,449,1,2.28062,122,54.7943
1024,32,871790,6,12641,1634795200,543216336,443,1,2.31151,217,111.587
16384,1,1069704,6,981,154218345,680823963,6562,1,2.4968,5315,4307.09
16384,1,1198620,7,1473,156736405,758908600,6665,1,2.45821,5286,4194.59
16384,1,1209072,7,1448,154855790,774722599,6574,1,2.49224,5274,4234.54
16384,2,1075600,6,1961,83573312,346687390,6562,1,2.4968,5315,4307.09
16384,2,1207470,7,2945,83218246,393612821,6665,1,2.45821,5286,4194.59
16384,2,1217772,7,2895,83431855,395958648,6574,1,2.49224,5274,4234.54
16384,4,1099152,6,3921,54247267,187762867,6562,1,2.4968,5315,4307.09
16384,4,1242834,7,5889,48247551,219383425,6665,1,2.45821,5286,4194.59
16384,4,1252536,7,5789,48513725,219719825,6574,1,2.49224,5274,4234.54
16384,8,1193296,6,7841,37650706,138394855,6562,1,2.4968,5315,4307.09
16384,8,1384218,7,11777,33905816,173883563,6665,1,2.45821,5286,4194.59
16384,8,1391520,7,11577,38046169,172298561,6574,1,2.49224,5274,4234.54
2048,16,310916,5,6305,499921715,115047566,884,1,2.31674,349,150.081
2048,16,403234,6,8529,495926147,149783194,851,1,2.40658,592,416.603
2048,16,442450,6,9585,506929353,164000879,797,1,2.56964,667,561.558
2048,32,1222178,6,17057,1609344860,434678667,851,1,2.40658,592,416.603
2048,32,1362770,6,19169,1628631680,468425139,797,1,2.56964,667,561.558
2048,32,916324,5,12609,1703135048,437321144,884,1,2.31674,349,150.081
32768,1,2397306,7,1915,320665425,1686614276,13264,1,2.47045,10212,7865.66
32768,1,2402458,7,1813,319038757,1698398566,13254,1,2.47231,10467,8270.08
32768,1,2435336,7,2161,320569773,1711077348,13053,1,2.51038,11109,9457.63
32768,2,2408808,7,3829,165462867,866069548,13264,1,2.47045,10212,7865.66
32768,2,2413348,7,3625,166228922,868848788,13254,1,2.47231,10467,8270.08
32768,2,2448314,7,4321,167487756,881714927,13053,1,2.51038,11109,9457.63
32768,4,2454780,7,7657,88182625,441970179,13264,1,2.47045,10212,7865.66
32768,4,2456872,7,7249,94566985,443582201,13254,1,2.47231,10467,8270.08
32768,4,2500190,7,8641,99351982,449688933,13053,1,2.51038,11109,9457.63
32768,8,2630896,7,14497,53372653,302855839,13254,1,2.47231,10467,8270.08
32768,8,2638596,7,15313,58781155,308569858,13264,1,2.47045,10212,7865.66
32768,8,2707622,7,17281,56999778,323379504,13053,1,2.51038,11109,9457.63
4096,16,487946,5,8097,532184855,134611828,1673,1,2.4483,1241,925.837
4096,16,616150,6,10961,486221535,195358792,1657,1,2.47194,1308,1036.09
4096,16,631372,6,11505,502495755,203643895,1674,1,2.44683,1290,995.65
4096,32,1265386,5,16193,1611381764,442649586,1673,1,2.4483,1241,925.837
4096,32,1668566,6,21921,1612736360,566427857,1657,1,2.47194,1308,1036.09
4096,32,1736012,6,23009,1704866033,575523158,1674,1,2.44683,1290,995.65
65536,1,4753704,7,2488,657874795,3672804349,26778,1,2.44738,19735,14547.7
65536,1,4813074,7,2471,665729370,3737218585,26394,1,2.48299,20700,16238.1
65536,1,5321468,8,2682,671139534,4102297271,26675,1,2.45683,19837,14756.9
65536,2,4768644,7,4975,343329888,1851489463,26778,1,2.44738,19735,14547.7
65536,2,4827912,7,4941,339708249,1865236879,26394,1,2.48299,20700,16238.1
65536,2,5337574,8,5363,340211685,2091392665,26675,1,2.45683,19837,14756.9
65536,4,4828368,7,9949,174163257,920687154,26778,1,2.44738,19735,14547.7
65536,4,4887228,7,9881,182952251,937043376,26394,1,2.48299,20700,16238.1
65536,4,5401958,8,10725,174342446,1035263817,26675,1,2.45683,19837,14756.9
65536,8,5067192,7,19897,100542539,582004316,26778,1,2.44738,19735,14547.7
65536,8,5124420,7,19761,104723461,587352146,26394,1,2.48299,20700,16238.1
65536,8,5659414,8,21449,94613277,645706285,26675,1,2.45683,19837,14756.9
8192,16,1020278,6,15697,482840072,276590312,3437,1,2.38347,2477,1787.55
8192,16,1072940,6,16977,500040913,303128793,3298,1,2.48393,2334,1658.56
8192,16,1157292,7,17665,529489800,326185856,3352,1,2.44391,2410,1735.38
8192,32,2527350,6,31393,1668146078,833255299,3437,1,2.38347,2477,1787.55
8192,32,2702892,6,33953,1613812248,855708043,3298,1,2.48393,2334,1658.56
8192,32,2853324,7,35329,1657786425,885276710,3352,1,2.44391,2410,1735.38
