n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,33464,4,100,14265992,16513100,635,1,1.6126,31,3.53496
1024,1,34718,4,128,14383576,17161642,614,1,1.66775,30,5.0199
1024,1,35460,4,140,14409519,17665909,603,1,1.69818,21,3.79613
1024,2,34070,4,199,12531118,9483293,635,1,1.6126,31,3.53496
1024,2,35492,4,255,12657193,10401520,614,1,1.66775,30,5.0199
1024,2,36306,4,279,12524644,9994812,603,1,1.69818,21,3.79613
1024,4,36470,4,397,13262326,6755408,635,1,1.6126,31,3.53496
1024,4,38564,4,509,13365550,7184313,614,1,1.66775,30,5.0199
1024,4,39666,4,557,20753258,7710033,603,1,1.69818,21,3.79613
1024,8,46022,4,793,19403731,8761350,635,1,1.6126,31,3.53496
1024,8,50804,4,1017,21785435,9130786,614,1,1.66775,30,5.0199
1024,8,53058,4,1113,16737801,9594008,603,1,1.69818,21,3.79613
2048,1,67562,4,123,20700236,34334901,1255,1,1.63187,35,3.70831
2048,1,68802,4,98,20351917,35317209,1236,1,1.65696,26,3.41792
2048,1,70342,4,138,21242993,36484671,1216,1,1.68421,40,5.08449
2048,2,68306,4,245,15755156,19057170,1255,1,1.63187,35,3.70831
2048,2,69396,4,195,15762856,19438556,1236,1,1.65696,26,3.41792
2048,2,71176,4,275,15979128,20022429,1216,1,1.68421,40,5.08449
2048,4,71258,4,489,14799104,12064226,1255,1,1.63187,35,3.70831
2048,4,71748,4,389,15193119,11679206,1236,1,1.65696,26,3.41792
2048,4,74488,4,549,15130151,12392219,1216,1,1.68421,40,5.08449
2048,8,81108,4,777,22391134,13472355,1236,1,1.65696,26,3.41792
2048,8,83018,4,977,23888900,11529241,1255,1,1.63187,35,3.70831
2048,8,87688,4,1097,17524724,12360514,1216,1,1.68421,40,5.08449
4096,1,138900,4,172,34795342,73198860,2447,1,1.67389,38,5.02156
4096,1,140004,4,160,35387728,75633943,2437,1,1.68076,52,5.52467
4096,1,160868,5,213,35247496,86723363,2429,1,1.68629,52,6.78755
4096,2,139938,4,343,22720900,38765829,2447,1,1.67389,38,5.02156
4096,2,140970,4,319,22952628,39987840,2437,1,1.68076,52,5.52467
4096,2,162154,5,425,22739115,46600017,2429,1,1.68629,52,6.78755
4096,4,144066,4,685,18626540,23203198,2447,1,1.67389,38,5.02156
4096,4,144810,4,637,18791970,24935771,2437,1,1.68076,52,5.52467
4096,4,167270,5,849,18527776,27650851,2429,1,1.68629,52,6.78755
4096,8,160122,4,1273,25343765,18989415,2437,1,1.68076,52,5.52467
4096,8,160530,4,1369,19407167,19499519,2447,1,1.67389,38,5.02156
4096,8,187678,5,1697,21111640,22930466,2429,1,1.68629,52,6.78755
8192,1,272072,4,148,64905057,155417077,4967,1,1.64929,64,4.50555
8192,1,277076,4,152,65224454,156883003,4903,1,1.67081,48,5.2455
8192,1,277394,4,206,64928818,157044956,4904,1,1.67047,106,6.94932
8192,2,272966,4,295,37520217,79560520,4967,1,1.64929,64,4.50555
8192,2,277994,4,303,37343155,79975783,4903,1,1.67081,48,5.2455
8192,2,278636,4,411,37496030,79698704,4904,1,1.67047,106,6.94932
8192,4,276518,4,589,25294605,42861893,4967,1,1.64929,64,4.50555
8192,4,281642,4,605,25321165,44057802,4903,1,1.67081,48,5.2455
8192,4,283580,4,821,25458194,44393764,4904,1,1.67047,106,6.94932
8192,8,290678,4,1177,31167139,33770758,4967,1,1.64929,64,4.50555
8192,8,296186,4,1209,30403355,30580114,4903,1,1.67081,48,5.2455
8192,8,303308,4,1641,27486242,33717912,4904,1,1.67047,106,6.94932
1024,16,106530,4,2225,496406972,40395897,603,1,1.69818,21,3.79613
1024,16,84134,4,1585,517902872,38063821,635,1,1.6126,31,3.53496
1024,16,99668,4,2033,494014897,44740254,614,1,1.66775,30,5.0199
1024,32,236390,4,3169,1513169842,177936960,635,1,1.6126,31,3.53496
1024,32,294932,4,4065,1611895346,143941096,614,1,1.66775,30,5.0199
1024,32,320226,4,4449,1561765102,200852704,603,1,1.69818,21,3.79613
16384,1,547896,4,176,125666464,331351877,9901,1,1.65478,70,4.52339
16384,1,628898,5,244,128819133,388228055,9865,1,1.66082,65,4.89357
16384,1,630058,5,335,126596013,396706665,9872,1,1.65964,151,8.05981
16384,2,548958,4,351,68404885,170748400,9901,1,1.65478,70,4.52339
16384,2,630370,5,487,68612152,197922224,9865,1,1.66082,65,4.89357
16384,2,632076,5,669,68168189,199418083,9872,1,1.65964,151,8.05981
16384,4,553182,4,701,40452295,87230837,9901,1,1.65478,70,4.52339
16384,4,636230,5,973,40894404,104019761,9865,1,1.66082,65,4.89357
16384,4,640120,5,1337,40759298,105023934,9872,1,1.65964,151,8.05981
16384,8,570030,4,1401,32487769,55624330,9901,1,1.65478,70,4.52339
16384,8,659614,5,1945,33310263,67857574,9865,1,1.66082,65,4.89357
16384,8,672240,5,2673,29535508,68778459,9872,1,1.65964,151,8.05981
2048,16,118452,4,1553,495620091,33130084,1236,1,1.65696,26,3.41792
2048,16,129962,4,1953,486113787,49664579,1255,1,1.63187,35,3.70831
2048,16,140392,4,2193,489882823,52794228,1216,1,1.68421,40,5.08449
2048,32,267636,4,3105,1583769199,340931677,1236,1,1.65696,26,3.41792
2048,32,317546,4,3905,1641619744,127363345,1255,1,1.63187,35,3.70831
2048,32,351016,4,4385,1596585245,224451938,1216,1,1.68421,40,5.08449
32768,1,1248130,5,252,258355955,857256147,19845,1,1.6512,76,5.17398
32768,1,1258904,5,303,260826138,862685157,19727,1,1.66107,112,5.45192
32768,1,1273650,5,296,264495168,861103166,19565,1,1.67483,165,7.00962
32768,2,1249650,5,503,133798420,422803265,19845,1,1.6512,76,5.17398
