n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,127990,4,402,28548081,50386190,8,1,128,1017,112903
1024,1,158368,4,414,35973567,59646368,1,1024,1024,1024,0
1024,1,164416,5,693,31889217,63412813,1,1024,1024,1024,0
1024,1,33464,4,100,14265992,16513100,635,1,1.6126,31,3.53496
1024,1,39266,4,218,14583190,18907413,552,1,1.85507,62,12.671
1024,1,48216,5,289,15022746,23832087,525,1,1.95048,164,54.3709
1024,1,53656,5,289,15427715,26701429,459,1,2.23094,141,51.4107
1024,1,54272,5,273,15347047,26714823,449,1,2.28062,122,54.7943
1024,2,130408,4,803,20214454,30240838,8,1,128,1017,112903
1024,2,160858,4,827,23962293,34938643,1,1024,1024,1024,0
1024,2,168582,5,1385,22323271,38655724,1,1024,1024,1024,0
1024,2,34070,4,199,12531118,9483293,635,1,1.6126,31,3.53496
1024,2,40580,4,435,12850373,11435021,552,1,1.85507,62,12.671
1024,2,49958,5,577,12590260,14161689,525,1,1.95048,164,54.3709
1024,2,55398,5,577,12914192,16104250,459,1,2.23094,141,51.4107
1024,2,55918,5,545,13400020,16459712,449,1,2.28062,122,54.7943
1024,4,140056,4,1605,22408123,22219055,8,1,128,1017,112903
1024,4,170794,4,1653,22148891,27026981,1,1024,1024,1024,0
1024,4,185218,5,2769,21370665,31694698,1,1024,1024,1024,0
1024,4,36470,4,397,13262326,6755408,635,1,1.6126,31,3.53496
1024,4,45812,4,869,21409206,14948538,552,1,1.85507,62,12.671
1024,4,56898,5,1153,20246584,11999170,525,1,1.95048,164,54.3709
1024,4,62338,5,1153,13894066,12979752,459,1,2.23094,141,51.4107
1024,4,62474,5,1089,20514776,12760168,449,1,2.28062,122,54.7943
1024,8,178600,4,3209,19269231,27334242,8,1,128,1017,112903
1024,8,210490,4,3305,20125194,30004150,1,1024,1024,1024,0
1024,8,251706,5,5537,19653881,43245734,1,1024,1024,1024,0
1024,8,46022,4,793,19403731,8761350,635,1,1.6126,31,3.53496
1024,8,66692,4,1737,21469505,16019602,552,1,1.85507,62,12.671
1024,8,84602,5,2305,17353623,21864172,525,1,1.95048,164,54.3709
1024,8,88642,5,2177,18204331,16939343,449,1,2.28062,122,54.7943
1024,8,90042,5,2305,17080269,17699651,459,1,2.23094,141,51.4107
2048,1,136720,6,600,23771160,69362205,797,1,2.56964,667,561.558
2048,1,314270,5,825,54063861,127765038,6,1,341.333,2043,579134
2048,1,345664,5,687,62352078,138755527,3,1,682.667,2046,929339
2048,1,381708,5,741,72685023,151176002,1,2048,2048,2048,0
2048,1,67562,4,123,20700236,34334901,1255,1,1.63187,35,3.70831
2048,1,85090,4,266,22402178,42874386,1012,1,2.02372,156,39.6378
2048,1,94182,5,317,22192557,49336879,1060,1,1.93208,182,36.7539
2048,1,99114,5,351,22713712,51287427,1008,1,2.03175,264,83.4137
2048,2,101228,5,701,16817063,29409915,1008,1,2.03175,264,83.4137
2048,2,140330,6,1199,17790650,40965444,797,1,2.56964,667,561.558
2048,2,319228,5,1649,33599386,75203843,6,1,341.333,2043,579134
2048,2,349794,5,1373,38084537,77228177,3,1,682.667,2046,929339
2048,2,386162,5,1481,42832021,85180693,1,2048,2048,2048,0
2048,2,68306,4,245,15755156,19057170,1255,1,1.63187,35,3.70831
2048,2,86692,4,531,16825847,24166054,1012,1,2.02372,156,39.6378
2048,2,96092,5,633,16440158,28184188,1060,1,1.93208,182,36.7539
2048,4,103704,5,1265,15293173,18913741,1060,1,1.93208,182,36.7539
2048,4,109656,5,1401,15566437,20643889,1008,1,2.03175,264,83.4137
