n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,158368,4,414,35973567,59646368,1,1024,1024,1024,0
1024,1,159096,4,418,65165443,60043715,1,1024,1024,1024,0
1024,1,182832,5,601,36523841,69472512,1,1024,1024,1024,0
1024,2,160858,4,827,23962293,34938643,1,1024,1024,1024,0
1024,2,161610,4,835,49749302,34889681,1,1024,1024,1024,0
1024,2,186446,5,1201,24166051,41293898,1,1024,1024,1024,0
1024,4,170794,4,1653,22148891,27026981,1,1024,1024,1024,0
1024,4,171642,4,1669,49175735,25842353,1,1024,1024,1024,0
1024,4,200874,5,2401,20143076,31598607,1,1024,1024,1024,0
1024,8,210490,4,3305,20125194,30004150,1,1024,1024,1024,0
1024,8,211722,4,3337,60316046,37624270,1,1024,1024,1024,0
1024,8,258530,5,4801,23058084,39711271,1,1024,1024,1024,0
2048,1,336596,4,498,73481756,131700610,1,2048,2048,2048,0
2048,1,379012,5,671,72901496,148362505,1,2048,2048,2048,0
2048,1,381708,5,741,72685023,151176002,1,2048,2048,2048,0
2048,2,339590,4,995,42918451,72250698,1,2048,2048,2048,0
2048,2,383046,5,1341,42372098,84125301,1,2048,2048,2048,0
2048,2,386162,5,1481,42832021,85180693,1,2048,2048,2048,0
2048,4,351542,4,1989,29890321,47295256,1,2048,2048,2048,0
2048,4,399154,5,2681,29786015,54717398,1,2048,2048,2048,0
2048,4,403950,5,2961,29913177,57432534,1,2048,2048,2048,0
2048,8,399302,4,3977,25616744,45610024,1,2048,2048,2048,0
2048,8,463530,5,5361,34854295,60867368,1,2048,2048,2048,0
2048,8,475046,5,5921,35990430,66694532,1,2048,2048,2048,0
4096,1,794092,5,839,153652110,333492684,1,4096,4096,4096,0
4096,1,795040,5,807,155311753,335954954,1,4096,4096,4096,0
4096,1,796096,5,905,153603932,332786368,1,4096,4096,4096,0
4096,2,799134,5,1677,85147782,179610459,1,4096,4096,4096,0
4096,2,799890,5,1613,86281282,179058071,1,4096,4096,4096,0
4096,2,801534,5,1809,84752376,177813485,1,4096,4096,4096,0
4096,4,819262,5,3225,51872331,106039385,1,4096,4096,4096,0
4096,4,819274,5,3353,54722045,106085299,1,4096,4096,4096,0
4096,4,823258,5,3617,52046169,109310755,1,4096,4096,4096,0
4096,8,896694,5,6449,37790984,90915585,1,4096,4096,4096,0
4096,8,899778,5,6705,44127241,95217360,1,4096,4096,4096,0
4096,8,910098,5,7233,37572017,96019462,1,4096,4096,4096,0
8192,1,1657448,5,1067,347308915,770782393,1,8192,8192,8192,0
8192,1,1662184,5,950,346120930,765248633,2,1,4096,8191,1.6769e+07
8192,1,1665612,5,827,346136178,761837389,1,8192,8192,8192,0
8192,2,1663858,5,2133,185084022,404933085,1,8192,8192,8192,0
8192,2,1667892,5,1899,185638701,393547939,2,1,4096,8191,1.6769e+07
8192,2,1670582,5,1653,212858173,393758376,1,8192,8192,8192,0
8192,4,1689470,5,4265,109771032,217879663,1,8192,8192,8192,0
8192,4,1690434,5,3305,103503098,214261747,1,8192,8192,8192,0
8192,4,1690696,5,3797,103216034,213954467,2,1,4096,8191,1.6769e+07
8192,8,1769786,5,6609,97308957,149520923,1,8192,8192,8192,0
8192,8,1781856,5,7593,68235017,155782416,2,1,4096,8191,1.6769e+07
8192,8,1791862,5,8529,65532049,160880820,1,8192,8192,8192,0
1024,16,369178,4,6609,513644109,130519672,1,1024,1024,1024,0
1024,16,371946,4,6673,536277204,129564288,1,1024,1024,1024,0
1024,16,489042,5,9601,527746408,170610952,1,1024,1024,1024,0
1024,32,1003738,4,13217,1665996559,388178850,1,1024,1024,1024,0
1024,32,1012650,4,13345,1673434624,373982407,1,1024,1024,1024,0
1024,32,1410866,5,19201,1626398449,488638969,1,1024,1024,1024,0
16384,1,3469888,5,1173,788606231,1737206381,1,16384,16384,16384,0
16384,1,3471552,5,1253,794615105,1725895753,1,16384,16384,16384,0
16384,1,3849072,6,1476,814693211,1939849491,1,16384,16384,16384,0
16384,2,3476934,5,2345,415153217,886614067,1,16384,16384,16384,0
16384,2,3479078,5,2505,418990211,884932689,1,16384,16384,16384,0
16384,2,3857938,6,2951,441061913,982504530,1,16384,16384,16384,0
16384,4,3505090,5,4689,218855562,447356203,1,16384,16384,16384,0
16384,4,3509154,5,5009,224179375,452487707,1,16384,16384,16384,0
16384,4,3893370,6,5901,242368173,513096553,1,16384,16384,16384,0
16384,8,3617658,5,9377,127547342,292916545,1,16384,16384,16384,0
16384,8,3629402,5,10017,129816525,294091375,1,16384,16384,16384,0
16384,8,4035034,6,11801,156800351,330085149,1,16384,16384,16384,0
2048,16,590246,4,7953,510932315,162566704,1,2048,2048,2048,0
2048,16,720922,5,10721,490973889,207339719,1,2048,2048,2048,0
