n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,125826,4,376,28054284,49309913,4,1,256,1021,195075
1024,1,127990,4,402,28548081,50386190,8,1,128,1017,112903
1024,1,150062,5,433,27710297,58423918,8,1,128,1017,112903
1024,2,128088,4,751,19935073,28988089,4,1,256,1021,195075
1024,2,130408,4,803,20214454,30240838,8,1,128,1017,112903
1024,2,152668,5,865,19984897,34506821,8,1,128,1017,112903
1024,4,137112,4,1501,17625275,20960864,4,1,256,1021,195075
1024,4,140056,4,1605,22408123,22219055,8,1,128,1017,112903
1024,4,163064,5,1729,17485729,24953985,8,1,128,1017,112903
1024,8,173160,4,3001,27287416,28432407,4,1,256,1021,195075
1024,8,178600,4,3209,19269231,27334242,8,1,128,1017,112903
1024,8,204592,5,3457,22427747,30630221,8,1,128,1017,112903
2048,1,314270,5,825,54063861,127765038,6,1,341.333,2043,579134
2048,1,315382,5,537,53999027,128188437,4,1,512,2045,783363
2048,1,315824,5,739,54869760,129087020,7,1,292.571,2042,510083
2048,2,318612,5,1073,33858404,72081230,4,1,512,2045,783363
2048,2,319228,5,1649,33599386,75203843,6,1,341.333,2043,579134
2048,2,320266,5,1477,33800291,73641094,7,1,292.571,2042,510083
2048,4,331504,5,2145,29649592,46713359,4,1,512,2045,783363
2048,4,338006,5,2953,25041548,50164781,7,1,292.571,2042,510083
2048,4,339032,5,3297,25029522,53067946,6,1,341.333,2043,579134
2048,8,383016,5,4289,26067555,46615983,4,1,512,2045,783363
2048,8,408910,5,5905,31475042,61267512,7,1,292.571,2042,510083
2048,8,418192,5,6593,29546923,60523886,6,1,341.333,2043,579134
4096,1,645364,5,821,111613449,280933914,5,1,819.2,4092,2.6778e+06
4096,1,649236,5,859,111346037,282229607,5,1,819.2,4092,2.6778e+06
4096,1,654434,5,867,112021186,282516708,6,1,682.667,4091,2.32335e+06
4096,2,650298,5,1641,63683561,150532523,5,1,819.2,4092,2.6778e+06
4096,2,654398,5,1717,64474555,152968079,5,1,819.2,4092,2.6778e+06
4096,2,659644,5,1733,63792388,153259608,6,1,682.667,4091,2.32335e+06
4096,4,670006,5,3281,40364225,91839703,5,1,819.2,4092,2.6778e+06
4096,4,675018,5,3433,41016954,93187533,5,1,819.2,4092,2.6778e+06
4096,4,680456,5,3465,40811614,94481374,6,1,682.667,4091,2.32335e+06
4096,8,748782,5,6561,31141382,82499421,5,1,819.2,4092,2.6778e+06
4096,8,757442,5,6865,37636858,87045726,5,1,819.2,4092,2.6778e+06
4096,8,763648,5,6929,36227283,85688254,6,1,682.667,4091,2.32335e+06
8192,1,1351176,5,922,242157820,634060182,10,1,819.2,8183,6.02506e+06
8192,1,1535936,6,1216,244008507,730627409,9,1,910.222,8184,6.61348e+06
8192,1,1554422,6,1298,246607220,737977702,10,1,819.2,8183,6.02506e+06
8192,2,1356716,5,1843,133373833,329807407,10,1,819.2,8183,6.02506e+06
8192,2,1543242,6,2431,134183151,377544502,9,1,910.222,8184,6.61348e+06
8192,2,1562220,6,2595,135223772,389352955,10,1,819.2,8183,6.02506e+06
8192,4,1378848,5,3685,76636506,181649884,10,1,819.2,8183,6.02506e+06
8192,4,1572434,6,4861,76748819,208790747,9,1,910.222,8184,6.61348e+06
8192,4,1593380,6,5189,77771514,213777889,10,1,819.2,8183,6.02506e+06
8192,8,1467320,5,7369,54343470,136806383,10,1,819.2,8183,6.02506e+06
8192,8,1689138,6,9721,50164874,161401100,9,1,910.222,8184,6.61348e+06
8192,8,1717956,6,10377,51077527,168958363,10,1,819.2,8183,6.02506e+06
1024,16,317256,4,6001,495793795,115186177,4,1,256,1021,195075
1024,16,332680,4,6417,504586502,119719244,8,1,128,1017,112903
1024,16,370592,5,6913,508593548,133496043,8,1,128,1017,112903
1024,32,1034368,5,13825,1686626191,385040700,8,1,128,1017,112903
1024,32,893448,4,12001,1738053897,377347004,4,1,256,1021,195075
1024,32,948808,4,12833,1668645508,365741558,8,1,128,1017,112903
16384,1,2813474,5,1067,547048233,1429736989,4,1,4096,16381,5.03071e+07
16384,1,2817338,5,926,552189237,1445328868,3,1,5461.33,16382,5.96305e+07
