n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
0,1,6,0,2,8239530,4545,0,2147483648,0,0,0
0,2,16,0,3,9557879,12851,0,2147483648,0,0,0
0,4,48,0,5,12045341,32858,0,2147483648,0,0,0
0,8,160,0,9,16880449,65093,0,2147483648,0,0,0
0,16,576,0,17,259471741,100720,0,2147483648,0,0,0
0,32,2176,0,33,460590477,360321,0,2147483648,0,0,0
1024,1,143032,4,452,31788700,54855821,1,1024,1024,1024,0
1024,1,145174,4,396,32311090,54921218,2,1,512,1023,261121
1024,1,164416,5,693,31889217,63412813,1,1024,1024,1024,0
1024,2,145750,4,903,22141505,32786080,1,1024,1024,1024,0
1024,2,147556,4,791,22552389,32198917,2,1,512,1023,261121
1024,2,168582,5,1385,22323271,38655724,1,1024,1024,1024,0
1024,4,156598,4,1805,18476358,24204714,1,1024,1024,1024,0
1024,4,157060,4,1581,24923341,25669210,2,1,512,1023,261121
1024,4,185218,5,2769,21370665,31694698,1,1024,1024,1024,0
1024,8,195028,4,3161,25791887,33070621,2,1,512,1023,261121
1024,8,199942,4,3609,24066232,35032941,1,1024,1024,1024,0
1024,8,251706,5,5537,19653881,43245734,1,1024,1024,1024,0
2048,1,345664,5,687,62352078,138755527,3,1,682.667,2046,929339
2048,1,346428,5,697,63375989,140352751,1,2048,2048,2048,0
2048,1,349762,5,679,63621541,139602184,2,1,1024,2047,1.04653e+06
2048,2,349794,5,1373,38084537,77228177,3,1,682.667,2046,929339
2048,2,350618,5,1393,37981461,77798188,1,2048,2048,2048,0
2048,2,353844,5,1357,38247719,77526689,2,1,1024,2047,1.04653e+06
2048,4,366286,5,2745,28595012,53037102,3,1,682.667,2046,929339
2048,4,367350,5,2785,33730975,58006527,1,2048,2048,2048,0
2048,4,370144,5,2713,34602188,52474462,2,1,1024,2047,1.04653e+06
2048,8,432198,5,5489,28445999,58284086,3,1,682.667,2046,929339
2048,8,434222,5,5569,31713738,59036463,1,2048,2048,2048,0
2048,8,435288,5,5425,27330728,54794001,2,1,1024,2047,1.04653e+06
4096,1,720472,5,869,133585357,307938814,1,4096,4096,4096,0
4096,1,722554,5,803,132097396,311322444,4,1,1024,4093,3.13959e+06
4096,1,725252,5,679,132409643,313928448,1,4096,4096,4096,0
