n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,125412,4,370,28109976,49690916,3,1,341.333,1022,231654
1024,1,143684,4,486,32310074,54753066,1,1024,1024,1024,0
1024,1,156488,4,508,35789160,58709901,1,1024,1024,1024,0
1024,1,41526,5,163,14425102,20473829,596,1,1.71812,44,7.27289
1024,1,41946,4,237,14934247,20129855,519,1,1.97303,158,52.8972
1024,1,45376,4,294,14819306,21910043,471,1,2.1741,142,49.6555
1024,1,58122,5,521,15478021,28219728,420,1,2.4381,325,252.441
1024,1,58822,6,394,15201443,29785424,490,1,2.0898,226,106.523
2048,1,133326,6,626,23687905,67877316,840,1,2.4381,748,665.425
2048,1,302170,4,566,63691717,120452786,2,1,1024,2047,1.04653e+06
2048,1,304186,5,687,54311125,124979685,4,1,512,2045,783363
2048,1,381078,5,623,73022443,151805041,2,1,1024,2047,1.04653e+06
2048,1,76490,5,168,20499724,40072658,1267,1,1.61642,37,3.87181
2048,1,95938,5,301,22216323,48888367,1038,1,1.97303,134,38.2054
2048,1,96078,5,331,22224496,49427568,1040,1,1.96923,179,40.7991
2048,1,97132,5,303,22359028,49652081,1029,1,1.99028,202,49.1097
4096,1,138900,4,175,35019272,74413056,2446,1,1.67457,55,5.047
4096,1,190308,5,361,37939121,103130108,2079,1,1.97018,243,38.5907
4096,1,193756,5,213,38385416,105403046,2029,1,2.01873,79,19.2328
4096,1,194698,5,309,37977719,104175412,2040,1,2.00784,173,41.7499
4096,1,268918,6,804,41104057,144914849,1628,1,2.51597,1283,1014.35
4096,1,655930,5,845,113770792,280773380,6,1,682.667,4091,2.32335e+06
4096,1,723624,5,1071,134110335,310823995,3,1,1365.33,4094,3.72281e+06
4096,1,792012,5,843,155246201,333835825,1,4096,4096,4096,0
8192,1,1359862,5,1015,244929770,636352305,8,1,1024,8185,7.3257e+06
8192,1,1516606,5,1037,296626394,703311961,2,1,4096,8191,1.6769e+07
8192,1,1822022,6,1365,345609777,847407233,1,8192,8192,8192,0
8192,1,275676,4,160,64953238,156212289,4929,1,1.662,42,4.20306
8192,1,379456,5,371,70639717,219437437,4163,1,1.96781,234,28.3257
8192,1,387246,5,437,70978466,223815161,4112,1,1.99222,339,59.0437
8192,1,438402,6,565,71216059,257933826,4089,1,2.00342,639,109.79
8192,1,531662,6,1021,77413780,307313425,3317,1,2.4697,2573,1999.37
16384,1,1178626,7,1340,153326951,743617568,6787,1,2.41403,4636,3177.92
16384,1,2816294,5,1043,547516301,1427637247,12,1,1365.33,16373,2.04755e+07
16384,1,3463748,5,1161,794593680,1746704397,1,16384,16384,16384,0
16384,1,3532778,6,1545,670078166,1805453442,1,16384,16384,16384,0
16384,1,632174,5,249,126940510,399053407,9840,1,1.66504,80,5.39085
16384,1,769710,5,367,140494039,475527221,8198,1,1.99854,173,27.1674
16384,1,870694,6,650,141577113,546630144,8238,1,1.98883,659,81.1135
16384,1,874026,6,641,141247102,552396277,8175,1,2.00416,324,41.3062
32768,1,1258556,5,307,260869590,863535465,19729,1,1.66091,91,5.53335
32768,1,1731644,6,673,288324785,1163246974,16496,1,1.98642,351,40.2206
32768,1,1743134,6,688,293577604,1210770399,16394,1,1.99878,671,66.2552
