n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,1,142574,4,486,32021285,54819059,4,1,256,1021,195075
1024,1,143684,4,486,32310074,54753066,1,1024,1024,1024,0
1024,1,162922,5,549,32017669,62899349,4,1,256,1021,195075
2048,1,302170,4,566,63691717,120452786,2,1,1024,2047,1.04653e+06
2048,1,346316,5,715,63413034,139406552,1,2048,2048,2048,0
2048,1,350522,5,665,64388963,139261113,2,1,1024,2047,1.04653e+06
4096,1,703016,5,837,133270492,303755996,1,4096,4096,4096,0
4096,1,723624,5,1071,134110335,310823995,3,1,1365.33,4094,3.72281e+06
4096,1,729902,5,765,134504495,310910537,2,1,2048,4095,4.19021e+06
8192,1,1512912,5,1009,296701880,705654603,3,1,2730.67,8190,1.49022e+07
8192,1,1514486,5,867,296517724,704426539,2,1,4096,8191,1.6769e+07
8192,1,1516606,5,1037,296626394,703311961,2,1,4096,8191,1.6769e+07
16384,1,3154282,5,1175,669102551,1578805828,2,1,8192,16383,6.70925e+07
16384,1,3516654,6,1545,675348840,1793286738,1,16384,16384,16384,0
16384,1,3532778,6,1545,670078166,1805453442,1,16384,16384,16384,0
32768,1,6523938,5,1207,1519662073,3505135379,4,1,8192,32765,2.01277e+08
32768,1,7286406,6,1874,1523296658,3947821979,2,1,16384,32767,2.68403e+08
32768,1,7291132,6,1810,1524644882,3955567333,1,32768,32768,32768,0
65536,1,14861962,6,2390,3467814198,8859226930,2,1,32768,65535,1.07368e+09
65536,1,15053882,6,1993,3463760627,8678937960,1,65536,65536,65536,0
65536,1,15061012,6,1778,3468437313,8579855371,3,1,21845.3,65534,9.5435e+08
131072,1,31032254,6,2062,7720292853,19665740943,2,1,65536,131071,4.29484e+09
131072,1,31047752,6,2530,7794231662,20179984882,3,1,43690.7,131070,3.81757e+09
131072,1,31049246,6,2379,7725094737,19322419094,1,131072,131072,131072,0
262144,1,63968376,6,2684,17187126924,43139221243,1,262144,262144,262144,0
262144,1,63977468,6,2630,17286561378,45703442216,3,1,87381.3,262142,1.52706e+10
262144,1,70161756,7,3351,17438303870,50735015177,1,262144,262144,262144,0
524288,1,131572332,6,2772,38346390028,94959552921,1,524288,524288,524288,0
524288,1,143352334,7,4550,38307556486,104087882525,3,1,174763,524286,6.10833e+10
524288,1,144049868,7,3939,38391832605,103759770223,3,1,174763,524286,6.10833e+10
1048576,1,295314138,7,5791,85042812283,227466810435,2,1,524288,1048575,2.74877e+11
1048576,1,295496502,7,5067,84531194432,227918755047,4,1,262144,1048573,2.06157e+11
1048576,1,295537840,7,4934,82987414721,223238507522,4,1,262144,1048573,2.06157e+11
