n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
0,1,6,0,2,8239530,4545,0,2147483648,0,0,0
1024,1,143032,4,452,31788700,54855821,1,1024,1024,1024,0
1024,1,145174,4,396,32311090,54921218,2,1,512,1023,261121
1024,1,164416,5,693,31889217,63412813,1,1024,1024,1024,0
2048,1,345664,5,687,62352078,138755527,3,1,682.667,2046,929339
2048,1,346428,5,697,63375989,140352751,1,2048,2048,2048,0
2048,1,349762,5,679,63621541,139602184,2,1,1024,2047,1.04653e+06
4096,1,720472,5,869,133585357,307938814,1,4096,4096,4096,0
4096,1,722554,5,803,132097396,311322444,4,1,1024,4093,3.13959e+06
4096,1,725252,5,679,132409643,313928448,1,4096,4096,4096,0
8192,1,1507978,5,831,292258730,699323483,4,1,2048,8189,1.25706e+07
8192,1,1509452,5,1017,293071693,694610556,1,8192,8192,8192,0
8192,1,1514902,5,1081,298240593,696639922,2,1,4096,8191,1.6769e+07
16384,1,3150128,5,1251,668965545,1590652392,3,1,5461.33,16382,5.96305e+07
16384,1,3504552,6,1582,662440755,1764561951,5,1,3276.8,16380,4.29235e+07
16384,1,3506148,6,1258,671941563,1773258122,3,1,5461.33,16382,5.96305e+07
32768,1,7263034,6,2066,1520600217,3959002885,2,1,16384,32767,2.68403e+08
32768,1,7296214,6,1820,1515372230,3712463141,2,1,16384,32767,2.68403e+08
32768,1,7296766,6,1778,1567168281,4007579713,2,1,16384,32767,2.68403e+08
65536,1,15038188,6,2166,3452947409,8921279781,1,65536,65536,65536,0
65536,1,15055662,6,2123,3422613962,8912118654,1,65536,65536,65536,0
65536,1,15058870,6,2236,3416276164,8522597881,4,1,16384,65533,8.05208e+08
131072,1,31023812,6,2270,7719917616,20391721717,1,131072,131072,131072,0
131072,1,34020396,7,3081,7734991177,21446417532,3,1,43690.7,131070,3.81757e+09
