n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,29088,3,151,12597692,7826358,632,1,1.62025,18,3.01718
1024,2,38002,4,255,12718012,10529812,579,1,1.76857,35,6.54057
1024,2,42512,5,325,12666498,12282758,596,1,1.71812,44,7.27289
2048,2,67160,4,255,15625323,19097524,1272,1,1.61006,37,3.71273
2048,2,70268,4,331,15932807,19678252,1232,1,1.66234,33,4.32267
2048,2,77506,5,335,16099209,23800454,1267,1,1.61642,37,3.87181
4096,2,138202,4,239,48317064,38808229,2471,1,1.65763,39,4.06247
4096,2,139956,4,349,22753058,39029805,2446,1,1.67457,55,5.047
4096,2,162744,5,417,23139095,47203276,2422,1,1.69116,51,6.39512
8192,2,276642,4,319,37573330,81171128,4929,1,1.662,42,4.20306
8192,2,316918,5,707,37204022,95446715,4945,1,1.65662,132,8.72335
8192,2,324404,5,773,37494628,97242132,4856,1,1.68699,231,14.9914
16384,2,632394,5,605,68954186,199358876,9845,1,1.6642,65,5.37916
16384,2,633296,5,621,69560910,201781596,9840,1,1.66504,79,5.35162
16384,2,633676,5,497,68679604,199372198,9840,1,1.66504,80,5.39085
32768,2,1260310,5,499,134366320,427854747,19717,1,1.66192,88,5.14654
32768,2,1260406,5,613,134813961,427446943,19729,1,1.66091,91,5.53335
32768,2,1275974,5,481,135375534,429828924,19521,1,1.6786,86,5.57305
65536,2,2511288,5,585,273868344,933800051,39506,1,1.65889,106,5.21974
65536,2,2535068,5,611,275346914,948557765,39244,1,1.66996,85,5.38481
65536,2,2550242,5,701,276971555,946821559,39103,1,1.67598,156,6.74595
131072,2,5019164,5,909,567905604,2002946082,79422,1,1.65032,334,11.0834
131072,2,5058504,5,661,575907626,2044676750,78604,1,1.6675,101,5.56325
131072,2,5085966,5,785,577183223,2039866124,78257,1,1.67489,134,5.82269
262144,2,10054474,5,729,1198875553,4401316258,157965,1,1.65951,117,5.55779
262144,2,10071188,5,769,1205124106,4358520329,157646,1,1.66286,119,5.1989
262144,2,10115692,5,623,1212611654,4446018688,157112,1,1.66852,128,5.37445
524288,2,20184224,5,785,2495377702,9471754638,314880,1,1.66504,136,5.42143
524288,2,20197046,5,737,2514072579,9467861775,314721,1,1.66588,134,5.38515
524288,2,20199872,5,725,2520459751,9528136329,314706,1,1.66596,141,5.70531
1048576,2,40475022,5,805,5264888005,20313210973,628407,1,1.66863,184,5.66167
1048576,2,40490444,5,835,5259377681,20315715153,628270,1,1.66899,191,5.66962
1048576,2,45446754,6,1037,5261411038,23133697401,629353,1,1.66612,187,5.6524
