n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,2,160858,4,827,23962293,34938643,1,1024,1024,1024,0
1024,2,161610,4,835,49749302,34889681,1,1024,1024,1024,0
1024,2,186446,5,1201,24166051,41293898,1,1024,1024,1024,0
2048,2,339590,4,995,42918451,72250698,1,2048,2048,2048,0
2048,2,383046,5,1341,42372098,84125301,1,2048,2048,2048,0
2048,2,386162,5,1481,42832021,85180693,1,2048,2048,2048,0
4096,2,799134,5,1677,85147782,179610459,1,4096,4096,4096,0
4096,2,799890,5,1613,86281282,179058071,1,4096,4096,4096,0
4096,2,801534,5,1809,84752376,177813485,1,4096,4096,4096,0
8192,2,1663858,5,2133,185084022,404933085,1,8192,8192,8192,0
8192,2,1667892,5,1899,185638701,393547939,2,1,4096,8191,1.6769e+07
8192,2,1670582,5,1653,212858173,393758376,1,8192,8192,8192,0
16384,2,3476934,5,2345,415153217,886614067,1,16384,16384,16384,0
16384,2,3479078,5,2505,418990211,884932689,1,16384,16384,16384,0
16384,2,3857938,6,2951,441061913,982504530,1,16384,16384,16384,0
32768,2,7209250,5,3061,927579714,1933494649,1,32768,32768,32768,0
32768,2,7983652,6,2903,935958343,2217812150,2,1,16384,32767,2.68403e+08
32768,2,8002050,6,3373,934440820,2221736290,1,32768,32768,32768,0
65536,2,15001644,5,2981,2130105017,4460035507,2,1,32768,65535,1.07368e+09
65536,2,16523942,6,4571,2114814541,4876691015,1,65536,65536,65536,0
65536,2,16556638,6,4425,2117953174,4784391478,1,65536,65536,65536,0
84498,2,10609476,6,2431,678567670,3568689472,2,4,42249,84494,1.78464e+09
131072,2,34152802,6,5983,4805621195,11140823479,1,131072,131072,131072,0
131072,2,34182486,6,4167,4775566166,11286104025,1,131072,131072,131072,0
