n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,32,1097066,4,14689,1643627055,403054627,1,1024,1024,1024,0
1024,32,1194182,4,16225,1526731981,475831052,1,1024,1024,1024,0
1024,32,1269606,5,17025,1601110597,444435900,1,1024,1024,1024,0
2048,32,1654124,5,19905,1703625174,550557392,2,1,1024,2047,1.04653e+06
2048,32,1732694,5,21153,842803868,459758605,1,2048,2048,2048,0
2048,32,1817114,5,22465,1680018064,620480750,1,2048,2048,2048,0
4096,32,2327230,5,23937,1629933231,734716315,1,4096,4096,4096,0
4096,32,2515178,5,26945,1631177256,795456541,1,4096,4096,4096,0
4096,32,2723040,5,30145,1621463645,847076396,2,1,2048,4095,4.19021e+06
8192,32,3753338,5,32833,1670096717,1064320800,1,8192,8192,8192,0
8192,32,3837622,5,33921,1743516576,1072786321,1,8192,8192,8192,0
8192,32,4613262,6,43649,1681097853,1318921492,1,8192,8192,8192,0
16384,32,5837542,5,37121,1674097149,1328077293,1,16384,16384,16384,0
16384,32,6083254,5,40897,1680108896,1447945750,1,16384,16384,16384,0
16384,32,6442098,5,46721,1695818313,1591140516,1,16384,16384,16384,0
32768,32,10550526,5,52289,1688842415,2054042910,1,32768,32768,32768,0
32768,32,11198458,6,50465,1711130354,2064604803,1,32768,32768,32768,0
32768,32,9833266,5,40897,1727639369,1715960381,1,32768,32768,32768,0
65536,32,20506554,6,63265,1803294575,2985906387,1,65536,65536,65536,0
65536,32,20859938,6,67841,1217081310,2509108695,1,65536,65536,65536,0
65536,32,20949516,6,69089,1864565230,3175661539,2,1,32768,65535,1.07368e+09
131072,32,38781662,6,72417,2130829351,4183190628,1,131072,131072,131072,0
131072,32,38823258,6,73185,2155808593,4269120169,1,131072,131072,131072,0
131072,32,38941690,6,75905,2131271925,4356744130,3,1,43690.7,131070,3.81757e+09
262144,32,75303386,6,74273,2501143308,5681329134,1,262144,262144,262144,0
262144,32,75712154,6,80257,2581738686,5925753627,1,262144,262144,262144,0
262144,32,83279132,7,105217,2609949138,7404040391,2,1,131072,262143,1.71796e+10
524288,32,165044922,7,109057,3702207130,10338216509,1,524288,524288,524288,0
524288,32,166504190,7,132033,3676415664,11378739720,1,524288,524288,524288,0
524288,32,166858794,7,140545,3749475899,11739451465,1,524288,524288,524288,0
1048576,32,308052618,6,130017,5796510918,17105786096,1,1048576,1.04858e+06,1048576,0
1048576,32,334182110,7,148737,5593289653,18337638628,1,1048576,1.04858e+06,1048576,0
1048576,32,335406290,7,164033,5851861718,19304163734,1,1048576,1.04858e+06,1048576,0
