n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,32,1145900,5,16961,1562541097,490997771,396,1,2.58586,406,414.354
1024,32,611218,5,8705,1606047003,273341193,449,1,2.28062,122,54.7943
1024,32,871790,6,12641,1634795200,543216336,443,1,2.31151,217,111.587
2048,32,1222178,6,17057,1609344860,434678667,851,1,2.40658,592,416.603
2048,32,1362770,6,19169,1628631680,468425139,797,1,2.56964,667,561.558
2048,32,916324,5,12609,1703135048,437321144,884,1,2.31674,349,150.081
4096,32,1265386,5,16193,1611381764,442649586,1673,1,2.4483,1241,925.837
4096,32,1668566,6,21921,1612736360,566427857,1657,1,2.47194,1308,1036.09
4096,32,1736012,6,23009,1704866033,575523158,1674,1,2.44683,1290,995.65
8192,32,2527350,6,31393,1668146078,833255299,3437,1,2.38347,2477,1787.55
8192,32,2702892,6,33953,1613812248,855708043,3298,1,2.48393,2334,1658.56
8192,32,2853324,7,35329,1657786425,885276710,3352,1,2.44391,2410,1735.38
16384,32,3075280,6,31361,1626044374,872346843,6562,1,2.4968,5315,4307.09
16384,32,4170192,7,46305,1595689346,1246228097,6574,1,2.49224,5274,4234.54
16384,32,4210890,7,47105,1656868933,1257410175,6665,1,2.45821,5286,4194.59
32768,32,6110368,7,57985,1632141445,1604498119,13254,1,2.47231,10467,8270.08
32768,32,6313908,7,61249,1630078045,1701109928,13264,1,2.47045,10212,7865.66
32768,32,6855254,7,69121,1732789704,1842817269,13053,1,2.51038,11109,9457.63
65536,32,10807414,8,85793,1726065595,2539726323,26675,1,2.45683,19837,14756.9
65536,32,9842664,7,79585,864142575,1933870878,26778,1,2.44738,19735,14547.7
65536,32,9867252,7,79041,1672338429,2313768676,26394,1,2.48299,20700,16238.1
131072,32,17624146,8,108001,1683840810,3635150858,52839,1,2.48059,41298,32281
131072,32,17765914,8,109409,1703231711,3658866184,52723,1,2.48605,42910,34926.3
