n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,32,1034368,5,13825,1686626191,385040700,8,1,128,1017,112903
1024,32,893448,4,12001,1738053897,377347004,4,1,256,1021,195075
1024,32,948808,4,12833,1668645508,365741558,8,1,128,1017,112903
2048,32,1412472,5,17153,1647129851,493847417,4,1,512,2045,783363
2048,32,1826206,5,23617,1643488446,637330112,7,1,292.571,2042,510083
2048,32,2000608,5,26369,1663366480,677548726,6,1,341.333,2043,579134
4096,32,2323518,5,26241,1651191219,734753914,5,1,819.2,4092,2.6778e+06
4096,32,2405138,5,27457,1654776938,765488033,5,1,819.2,4092,2.6778e+06
4096,32,2426704,5,27713,1697025422,774142811,6,1,682.667,4091,2.32335e+06
8192,32,3235976,5,29473,1658211432,915005038,10,1,819.2,8183,6.02506e+06
8192,32,4022322,6,38881,1681867115,1163099675,9,1,910.222,8184,6.61348e+06
8192,32,4208580,6,41505,1670796100,1232958545,10,1,819.2,8183,6.02506e+06
16384,32,4710322,5,29601,1230832982,895647684,3,1,5461.33,16382,5.96305e+07
16384,32,4994944,5,34113,1616943603,1193767092,4,1,4096,16381,5.03071e+07
16384,32,5887338,6,42017,1685227587,1435067776,7,1,2340.57,16378,3.28416e+07
32768,32,10063260,6,54625,1702001838,2102230021,8,1,4096,32761,1.17383e+08
32768,32,10142844,6,55617,1695562311,2145340247,8,1,4096,32761,1.17383e+08
32768,32,8238070,5,37825,1677433159,1531707366,11,1,2978.91,32758,8.86794e+07
65536,32,17267290,6,57985,1738583053,2669376796,11,1,5957.82,65526,3.54837e+08
65536,32,17331006,6,59105,1730636163,2649669028,9,1,7281.78,65528,4.24078e+08
65536,32,17695404,6,64993,1763271633,2841129210,8,1,8192,65529,4.69647e+08
131072,32,31674452,6,59937,1856659082,3373463972,16,1,8192,131057,1.00639e+09
131072,32,36598942,7,88257,1885636760,4542484161,7,1,18724.6,131066,2.10343e+09
