n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,8,123740,5,4161,20857355,28121469,420,1,2.4381,325,252.441
1024,8,86388,5,1985,18686202,16425495,446,1,2.29596,172,91.7241
1024,8,94242,5,2321,21322541,18413096,417,1,2.45564,131,90.1809
2048,8,194334,6,4025,43715348,39366972,845,1,2.42367,520,325.383
2048,8,212188,6,5001,19925170,39126793,840,1,2.4381,748,665.425
2048,8,214258,6,4985,24349896,39500399,811,1,2.52528,664,548.027
4096,8,366896,6,6649,27203684,64698418,1690,1,2.42367,1145,779.678
4096,8,370208,6,6425,25020633,58609327,1628,1,2.51597,1283,1014.35
4096,8,386602,7,6385,20172603,59705452,1747,1,2.34459,872,450.32
8192,8,632480,6,6825,28842059,86649503,3368,1,2.4323,2399,1716.57
8192,8,660294,6,8161,26617517,91213865,3317,1,2.4697,2573,1999.37
8192,8,678692,6,9273,24456035,97447236,3316,1,2.47045,2626,2081.77
16384,8,1347466,7,10713,33741150,166048778,6787,1,2.41403,4636,3177.92
16384,8,1374364,7,12545,38229707,175185594,6762,1,2.42295,4572,3095.5
16384,8,1419594,7,14345,37627899,185529606,6613,1,2.47754,4522,3101.26
32768,8,2615752,7,13705,58321506,300641658,13284,1,2.46673,10494,8294
32768,8,2631146,7,13585,53894351,298889507,13089,1,2.50348,10345,8181.03
32768,8,2653740,7,14705,57762842,306699050,13114,1,2.4987,10752,8818.07
65536,8,5041374,7,15697,97154016,553891924,26551,1,2.46831,20522,15865.9
65536,8,5744014,8,24217,98042220,668861693,26423,1,2.48026,20562,16004.6
65536,8,5767936,8,23297,102742521,663115073,26214,1,2.50004,21351,17393
131072,8,11166032,8,26657,186645970,1311190392,52786,1,2.48308,42229,33786.3
131072,8,11173950,8,26761,183723687,1315810942,52659,1,2.48907,41977,33464.6
131072,8,12348916,9,34689,190123763,1484533660,53032,1,2.47156,40988,31684.3
262144,8,21873146,8,31745,371528003,2686147180,106039,1,2.47215,81528,62686.5
262144,8,21889282,8,34385,369481555,2693090474,106031,1,2.47233,79924,60249.1
262144,8,21990950,8,34633,374897742,2716651714,106727,1,2.45621,87386,71551.6
524288,8,43381456,8,37161,762984759,5676569129,211918,1,2.47401,164136,127131
524288,8,47839224,9,43769,759986586,6269310376,212130,1,2.47154,162078,123839
524288,8,48153084,9,54097,781177612,6422298740,211288,1,2.48139,164457,128009
1048576,8,95415670,9,54793,1589166409,13641035268,423443,1,2.47631,330756,258360
1048576,8,95614632,9,68833,1589456350,13958142424,423260,1,2.47738,328703,255274
1048576,8,95669056,9,59089,1644116231,13746839419,422898,1,2.4795,335865,266746
