n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,8,171990,4,2953,21823047,25576606,3,1,341.333,1022,231654
1024,8,189434,4,3921,19034210,31932640,5,1,204.8,1020,166138
1024,8,227284,5,4897,25346511,38735174,6,1,170.667,1019,143934
2048,8,390720,5,5489,29517375,53098998,4,1,512,2045,783363
2048,8,399642,5,5425,31261009,57126620,9,1,227.556,2040,410619
2048,8,460248,6,6137,26113019,61226993,4,1,512,2045,783363
4096,8,757138,5,6545,34970274,85867973,9,1,455.111,4088,1.64974e+06
4096,8,761408,5,6921,33164491,84858336,6,1,682.667,4091,2.32335e+06
4096,8,762372,5,6753,33615435,83824538,6,1,682.667,4091,2.32335e+06
8192,8,1487724,5,8113,54057663,139674667,8,1,1024,8185,7.3257e+06
8192,8,1681756,6,8593,56024781,156089606,10,1,819.2,8183,6.02506e+06
8192,8,1689386,6,8673,50753646,159125045,7,1,1170.29,8186,8.20337e+06
16384,8,2947684,5,8337,97920782,247475339,12,1,1365.33,16373,2.04755e+07
16384,8,3380968,6,11353,99367811,291227967,8,1,2048,16377,2.93315e+07
16384,8,3397228,6,12713,96357360,300567094,6,1,2730.67,16379,3.72554e+07
32768,8,6804524,6,17401,199461640,586194530,8,1,4096,32761,1.17383e+08
32768,8,6814286,6,14169,196067127,561552307,7,1,4681.14,32762,1.31422e+08
32768,8,6837952,6,15369,196103536,588858812,6,1,5461.33,32763,1.49076e+08
65536,8,13632864,6,16745,417255289,1135538137,4,1,16384,65532,8.05175e+08
65536,8,13818240,6,16425,463111099,1158146361,10,1,6553.6,65527,3.86429e+08
65536,8,15401968,7,19497,419362061,1288389289,14,1,4681.14,65523,2.84749e+08
131072,8,28158808,6,17145,916124205,2432045127,16,1,8192,131057,1.00639e+09
131072,8,31270320,7,19585,913505460,2700163520,6,1,21845.3,131067,2.38587e+09
131072,8,31275572,7,19921,905979992,2700204233,12,1,10922.7,131061,1.31211e+09
262144,8,57636904,6,23849,2049065861,5220112343,14,1,18724.6,262131,4.55744e+09
262144,8,62561738,7,32145,2011375283,5811026759,19,1,13797.1,262126,3.42596e+09
262144,8,63820032,7,23537,2007119249,5770489484,16,1,16384,262129,4.02604e+09
524288,8,130273240,7,29921,4486968986,12972822554,16,1,32768,524273,1.61051e+10
524288,8,130497988,7,36249,4472536733,12881556964,16,1,32768,524273,1.61051e+10
524288,8,142805510,8,38233,4500978718,14258025117,21,1,24966.1,524268,1.24651e+10
1048576,8,266512014,7,40825,9995186625,29147605607,25,1,41943,1048552,4.22192e+10
1048576,8,266654098,7,41281,10034043476,29274267544,23,1,45590.3,1048554,4.57244e+10
1048576,8,291009812,8,37977,9957235877,32072159782,16,1,65536,1048561,6.44225e+10
