n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,8,46022,4,793,19403731,8761350,635,1,1.6126,31,3.53496
1024,8,50804,4,1017,21785435,9130786,614,1,1.66775,30,5.0199
1024,8,53058,4,1113,16737801,9594008,603,1,1.69818,21,3.79613
2048,8,81108,4,777,22391134,13472355,1236,1,1.65696,26,3.41792
2048,8,83018,4,977,23888900,11529241,1255,1,1.63187,35,3.70831
2048,8,87688,4,1097,17524724,12360514,1216,1,1.68421,40,5.08449
4096,8,160122,4,1273,25343765,18989415,2437,1,1.68076,52,5.52467
4096,8,160530,4,1369,19407167,19499519,2447,1,1.67389,38,5.02156
4096,8,187678,5,1697,21111640,22930466,2429,1,1.68629,52,6.78755
8192,8,290678,4,1177,31167139,33770758,4967,1,1.64929,64,4.50555
8192,8,296186,4,1209,30403355,30580114,4903,1,1.67081,48,5.2455
8192,8,303308,4,1641,27486242,33717912,4904,1,1.67047,106,6.94932
16384,8,570030,4,1401,32487769,55624330,9901,1,1.65478,70,4.52339
16384,8,659614,5,1945,33310263,67857574,9865,1,1.66082,65,4.89357
16384,8,672240,5,2673,29535508,68778459,9872,1,1.65964,151,8.05981
32768,8,1279854,5,2009,52191603,125130753,19845,1,1.6512,76,5.17398
32768,8,1297054,5,2417,45634964,124642036,19727,1,1.66107,112,5.45192
32768,8,1310918,5,2361,47285596,125149963,19565,1,1.67483,165,7.00962
65536,8,2565846,5,2393,81173168,246174832,39307,1,1.66729,85,5.54443
65536,8,2582572,5,2593,83044660,248489070,39100,1,1.67611,85,5.37054
65536,8,2593516,5,2585,77802228,249031169,38990,1,1.68084,100,5.9678
131072,8,5086042,5,2521,155128443,516544678,78775,1,1.66388,121,5.72413
131072,8,5749722,6,4017,151965068,596807451,78603,1,1.66752,267,6.27639
