n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1024,8,178600,4,3209,19269231,27334242,8,1,128,1017,112903
1024,8,210490,4,3305,20125194,30004150,1,1024,1024,1024,0
1024,8,251706,5,5537,19653881,43245734,1,1024,1024,1024,0
1024,8,46022,4,793,19403731,8761350,635,1,1.6126,31,3.53496
1024,8,66692,4,1737,21469505,16019602,552,1,1.85507,62,12.671
1024,8,84602,5,2305,17353623,21864172,525,1,1.95048,164,54.3709
1024,8,88642,5,2177,18204331,16939343,449,1,2.28062,122,54.7943
1024,8,90042,5,2305,17080269,17699651,459,1,2.23094,141,51.4107
2048,8,118564,4,2121,17875390,19332545,1012,1,2.02372,156,39.6378
2048,8,134096,5,2529,17960679,22349084,1060,1,1.93208,182,36.7539
2048,8,143312,5,2801,19559092,24449187,1008,1,2.03175,264,83.4137
2048,8,212306,6,4793,26241852,40669102,797,1,2.56964,667,561.558
2048,8,418192,5,6593,29546923,60523886,6,1,341.333,2043,579134
2048,8,432198,5,5489,28445999,58284086,3,1,682.667,2046,929339
2048,8,475046,5,5921,35990430,66694532,1,2048,2048,2048,0
2048,8,83018,4,977,23888900,11529241,1255,1,1.63187,35,3.70831
4096,8,160122,4,1273,25343765,18989415,2437,1,1.68076,52,5.52467
4096,8,235302,5,2897,22711061,35402138,2093,1,1.957,204,28.3852
4096,8,235432,5,2561,24735287,35016144,2026,1,2.02172,148,30.733
4096,8,240992,5,3121,19732305,34664180,2062,1,1.98642,230,36.8621
4096,8,355148,6,5753,25743526,55773456,1674,1,2.44683,1290,995.65
4096,8,757442,5,6865,37636858,87045726,5,1,819.2,4092,2.6778e+06
4096,8,829938,5,6945,39884668,88612125,1,4096,4096,4096,0
4096,8,896694,5,6449,37790984,90915585,1,4096,4096,4096,0
8192,8,1651080,5,8641,57350549,153631865,2,1,4096,8191,1.6769e+07
8192,8,1689138,6,9721,50164874,161401100,9,1,910.222,8184,6.61348e+06
8192,8,1769786,5,6609,97308957,149520923,1,8192,8192,8192,0
8192,8,296186,4,1209,30403355,30580114,4903,1,1.67081,48,5.2455
8192,8,428654,5,3377,27297678,50266251,4245,1,1.9298,234,35.008
8192,8,450998,5,4017,29211790,56554275,4107,1,1.99464,337,58.1183
8192,8,501436,6,4217,31281796,64136812,4130,1,1.98354,597,100.188
8192,8,643446,6,7849,33242976,92305639,3437,1,2.38347,2477,1787.55
16384,8,1083212,7,7113,34537917,124830774,8278,1,1.97922,1166,176.893
16384,8,1193296,6,7841,37650706,138394855,6562,1,2.4968,5315,4307.09
16384,8,2933986,5,7401,93935823,239479893,3,1,5461.33,16382,5.96305e+07
16384,8,3307726,5,10001,113988366,278587964,3,1,5461.33,16382,5.96305e+07
16384,8,3629402,5,10017,129816525,294091375,1,16384,16384,16384,0
16384,8,672240,5,2673,29535508,68778459,9872,1,1.65964,151,8.05981
16384,8,817562,5,3041,31595724,83283369,8227,1,1.99149,317,43.7507
16384,8,945102,6,5433,35254422,105158267,8361,1,1.95957,473,64.212
32768,8,1310918,5,2361,47285596,125149963,19565,1,1.67483,165,7.00962
32768,8,1862490,6,6297,53181300,197421512,16259,1,2.01538,892,109.817
32768,8,1885776,6,8809,50472362,205552637,16446,1,1.99246,1830,226.058
32768,8,2051198,7,6969,53270279,217938920,16445,1,1.99258,1048,98.8713
32768,8,2638596,7,15313,58781155,308569858,13264,1,2.47045,10212,7865.66
32768,8,6785436,6,13657,200559828,563764248,8,1,4096,32761,1.17383e+08
32768,8,7525520,6,14553,232179096,604829147,2,1,16384,32767,2.68403e+08
32768,8,8157868,6,11609,265712633,620939741,2,1,16384,32767,2.68403e+08
65536,8,13795500,6,16249,414070636,1167576862,8,1,8192,65529,4.69647e+08
65536,8,15180528,5,11921,586717286,1195143058,2,1,32768,65535,1.07368e+09
65536,8,15323146,6,16977,503604488,1254358265,1,65536,65536,65536,0
65536,8,2593516,5,2585,77802228,249031169,38990,1,1.68084,100,5.9678
65536,8,3601634,6,5577,88167331,361859960,32513,1,2.01569,632,54.832
65536,8,4048162,7,10281,86443834,426425982,32871,1,1.99373,2644,237.949
65536,8,4061640,7,10865,86291812,432132726,32820,1,1.99683,1316,109.828
65536,8,5659414,8,21449,94613277,645706285,26675,1,2.45683,19837,14756.9
131072,8,11143666,8,27001,181660587,1314015398,52839,1,2.48059,41298,32281
131072,8,31303150,7,22065,910344071,2696130299,7,1,18724.6,131066,2.10343e+09
131072,8,31309818,6,18153,1107260104,2601194983,1,131072,131072,131072,0
131072,8,34432542,6,16665,1299467730,2780714615,1,131072,131072,131072,0
131072,8,5086042,5,2521,155128443,516544678,78775,1,1.66388,121,5.72413
131072,8,7855118,7,8681,166539011,853448223,65987,1,1.98633,1380,81.7856
131072,8,7895470,7,9921,166456870,856442175,65851,1,1.99043,2754,152.219
