n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
18772,1,2800253,1229,1855249583,600059370,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1855249583,600059370,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1867868108,588870476,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1868742269,601371272,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1872346214,600003442,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1878078742,608276735,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1878860588,602023221,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1879524704,601181921,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1881208434,601548815,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1881910048,602373677,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1882103790,601058607,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1882288759,601288862,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1882979149,600472746,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1884442267,600083285,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1886578900,600971025,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1887234091,606281689,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1887932103,601260526,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1888572530,601666584,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1889111255,586794375,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1890747615,601257439,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1892987293,600122426,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1893964514,600812859,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1894429227,600560670,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1895370946,600590592,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1897919066,600600440,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1898291575,601835261,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1908104295,599690980,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1908354243,601681921,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1908384254,600661980,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1910331482,585146854,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1915155933,585581773,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1921792021,589029554,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1935841123,585281964,290,1,64.731,17903,1.10105e+06
18772,1,2800253,1229,1973487372,586612893,290,1,64.731,17903,1.10105e+06
18772,2,2834510,1229,1011864806,373846958,290,1,64.731,17903,1.10105e+06
18772,2,2834510,1229,1011864806,373846958,290,1,64.731,17903,1.10105e+06
18772,2,2834530,1229,979421158,331753498,290,1,64.731,17903,1.10105e+06
18772,2,2834537,1229,981562499,333548888,290,1,64.731,17903,1.10105e+06
18772,2,2834545,1229,990700266,337882574,290,1,64.731,17903,1.10105e+06
18772,2,2834550,1229,1027031197,345367624,290,1,64.731,17903,1.10105e+06
18772,2,2834551,1229,1010291941,336956175,290,1,64.731,17903,1.10105e+06
18772,2,2834559,1229,995816020,345024565,290,1,64.731,17903,1.10105e+06
18772,2,2834573,1229,986374652,327715328,290,1,64.731,17903,1.10105e+06
18772,2,2834576,1229,1007528064,330757057,290,1,64.731,17903,1.10105e+06
18772,2,2834576,1229,1013831138,350851540,290,1,64.731,17903,1.10105e+06
18772,2,2834580,1229,998262151,327146301,290,1,64.731,17903,1.10105e+06
18772,2,2834583,1229,1020796995,358280411,290,1,64.731,17903,1.10105e+06
18772,2,2834583,1229,933271946,365548828,290,1,64.731,17903,1.10105e+06
18772,2,2834588,1229,1001458957,357554921,290,1,64.731,17903,1.10105e+06
18772,2,2834600,1229,1009827902,341829844,290,1,64.731,17903,1.10105e+06
18772,2,2834604,1229,986636511,330254852,290,1,64.731,17903,1.10105e+06
18772,2,2834605,1229,989685869,325807265,290,1,64.731,17903,1.10105e+06
18772,2,2834608,1229,1014465756,351860961,290,1,64.731,17903,1.10105e+06
18772,2,2834609,1229,995438828,348809420,290,1,64.731,17903,1.10105e+06
18772,2,2834611,1229,1010168535,330245464,290,1,64.731,17903,1.10105e+06
18772,2,2834612,1229,1000095579,342567846,290,1,64.731,17903,1.10105e+06
18772,2,2834612,1229,1011123877,359173123,290,1,64.731,17903,1.10105e+06
18772,2,2834617,1229,985718306,355562857,290,1,64.731,17903,1.10105e+06
18772,2,2834618,1229,980418156,342089589,290,1,64.731,17903,1.10105e+06
18772,2,2834627,1229,1032204250,402837267,290,1,64.731,17903,1.10105e+06
18772,2,2834630,1229,1013316686,363677761,290,1,64.731,17903,1.10105e+06
18772,2,2834632,1229,1010600638,331352957,290,1,64.731,17903,1.10105e+06
18772,2,2834636,1229,1006751935,326202264,290,1,64.731,17903,1.10105e+06
18772,2,2834637,1229,977879936,333083121,290,1,64.731,17903,1.10105e+06
18772,2,2834638,1229,976626862,346237903,290,1,64.731,17903,1.10105e+06
18772,2,2834638,1229,986446987,336590422,290,1,64.731,17903,1.10105e+06
18772,2,2834638,1229,987699602,357172411,290,1,64.731,17903,1.10105e+06
18772,2,2834648,1229,1011390402,335242046,290,1,64.731,17903,1.10105e+06
18772,4,2926431,1229,637401469,258095673,290,1,64.731,17903,1.10105e+06
18772,4,2926431,1229,637401469,258095673,290,1,64.731,17903,1.10105e+06
18772,4,2926520,1229,611168756,254557253,290,1,64.731,17903,1.10105e+06
18772,4,2926529,1229,628249381,246970550,290,1,64.731,17903,1.10105e+06
18772,4,2926533,1229,610362294,224456684,290,1,64.731,17903,1.10105e+06
18772,4,2926540,1229,669939468,255303083,290,1,64.731,17903,1.10105e+06
18772,4,2926548,1229,604602210,225232426,290,1,64.731,17903,1.10105e+06
18772,4,2926557,1229,648368717,248560222,290,1,64.731,17903,1.10105e+06
18772,4,2926559,1229,599302884,245544725,290,1,64.731,17903,1.10105e+06
18772,4,2926562,1229,613453541,256120227,290,1,64.731,17903,1.10105e+06
18772,4,2926563,1229,616207004,251277514,290,1,64.731,17903,1.10105e+06
18772,4,2926566,1229,633083365,261655420,290,1,64.731,17903,1.10105e+06
18772,4,2926567,1229,598712007,228392124,290,1,64.731,17903,1.10105e+06
18772,4,2926571,1229,627773797,255219764,290,1,64.731,17903,1.10105e+06
18772,4,2926574,1229,609865338,235215120,290,1,64.731,17903,1.10105e+06
18772,4,2926578,1229,601667100,231995567,290,1,64.731,17903,1.10105e+06
18772,4,2926579,1229,651141280,271228371,290,1,64.731,17903,1.10105e+06
18772,4,2926586,1229,645497589,239451789,290,1,64.731,17903,1.10105e+06
18772,4,2926590,1229,654795354,249557072,290,1,64.731,17903,1.10105e+06
18772,4,2926595,1229,631359868,255287981,290,1,64.731,17903,1.10105e+06
