n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1379917,1,28307109,3708,27338245675,11989368665,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27338245675,11989368665,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27338896846,12018482427,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27342699252,11991787622,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27353564475,11989915504,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27355299377,11989931953,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27356561435,11992177095,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27356654666,12060624136,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27359594449,12008240077,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27361304847,11990922204,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27363384352,12042274008,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27364432038,12000110253,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27365460628,12030028387,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27367574157,12062219376,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27367630769,11989593810,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27369485897,11996376319,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27369510288,12013833324,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27369626018,11997536851,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27371548515,12029591423,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27372854022,12003168988,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27374797812,12007188380,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27381308258,11994234562,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27383660890,12001683158,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27401300771,12008956210,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27404946772,12027356539,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27410169035,12012460494,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27411932817,11995848956,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27444635103,12026622085,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27585841049,11989396603,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27595919977,12004164061,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27819325551,11992143811,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,27953632591,12047107996,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,28410694766,12911762159,424,2,3254.52,1351137,4.29678e+09
1379917,1,28307109,3708,28580727771,12043694275,424,2,3254.52,1351137,4.29678e+09
1379917,2,29055030,3708,14148552539,6727597870,424,2,3254.52,1351137,4.29678e+09
1379917,2,29055030,3708,14148552539,6727597870,424,2,3254.52,1351137,4.29678e+09
1379917,2,29115963,3708,14243366575,6803686959,424,2,3254.52,1351137,4.29678e+09
1379917,2,29170533,3708,14355306493,6826789228,424,2,3254.52,1351137,4.29678e+09
1379917,2,29176890,3708,14432142526,6849818027,424,2,3254.52,1351137,4.29678e+09
1379917,2,29184495,3708,14360940684,6894666438,424,2,3254.52,1351137,4.29678e+09
1379917,2,29214520,3708,14316029882,6863207946,424,2,3254.52,1351137,4.29678e+09
1379917,2,29223204,3708,14359214210,6866554364,424,2,3254.52,1351137,4.29678e+09
1379917,2,29228898,3708,14418378503,6872375671,424,2,3254.52,1351137,4.29678e+09
1379917,2,29233737,3708,14467687080,6906120639,424,2,3254.52,1351137,4.29678e+09
1379917,2,29235672,3708,14440442413,6961011205,424,2,3254.52,1351137,4.29678e+09
1379917,2,29237743,3708,14480156643,6935632765,424,2,3254.52,1351137,4.29678e+09
1379917,2,29240315,3708,14350135419,6872216253,424,2,3254.52,1351137,4.29678e+09
1379917,2,29242297,3708,14398520896,6874979361,424,2,3254.52,1351137,4.29678e+09
1379917,2,29242393,3708,14465900126,6962023683,424,2,3254.52,1351137,4.29678e+09
1379917,2,29242621,3708,14436052284,6874445713,424,2,3254.52,1351137,4.29678e+09
1379917,2,29243264,3708,14406378565,6901580064,424,2,3254.52,1351137,4.29678e+09
1379917,2,29243340,3708,14414785427,6924001924,424,2,3254.52,1351137,4.29678e+09
1379917,2,29243383,3708,14462471217,6940755504,424,2,3254.52,1351137,4.29678e+09
1379917,2,29243557,3708,14418191726,6929408258,424,2,3254.52,1351137,4.29678e+09
1379917,2,29244961,3708,14386619942,6922916056,424,2,3254.52,1351137,4.29678e+09
1379917,2,29245272,3708,14471287506,6942957423,424,2,3254.52,1351137,4.29678e+09
1379917,2,29245597,3708,14392984482,6914602036,424,2,3254.52,1351137,4.29678e+09
1379917,2,29245777,3708,14393148886,6925336368,424,2,3254.52,1351137,4.29678e+09
1379917,2,29247294,3708,14417276247,6924350619,424,2,3254.52,1351137,4.29678e+09
1379917,2,29247535,3708,14424247138,6907395151,424,2,3254.52,1351137,4.29678e+09
1379917,2,29247965,3708,14427058704,6921626619,424,2,3254.52,1351137,4.29678e+09
