n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
18772,16,4188717,1229,630453938,755763190,290,1,64.731,17903,1.10105e+06
18772,16,4240485,1229,485107302,519224627,290,1,64.731,17903,1.10105e+06
18772,16,4240637,1229,439314949,481113653,290,1,64.731,17903,1.10105e+06
18772,16,4240861,1229,441724753,513957054,290,1,64.731,17903,1.10105e+06
18772,16,4240879,1229,472340922,486956664,290,1,64.731,17903,1.10105e+06
18772,16,4240939,1229,459674627,479687082,290,1,64.731,17903,1.10105e+06
18772,16,4240961,1229,427687046,529543933,290,1,64.731,17903,1.10105e+06
18772,16,4240976,1229,477361748,479285354,290,1,64.731,17903,1.10105e+06
18772,16,4241055,1229,420914745,473690962,290,1,64.731,17903,1.10105e+06
18772,16,4241056,1229,458137796,475211413,290,1,64.731,17903,1.10105e+06
18772,16,4241067,1229,478880295,549251405,290,1,64.731,17903,1.10105e+06
18772,16,4241104,1229,450351190,503033028,290,1,64.731,17903,1.10105e+06
18772,16,4241106,1229,435702672,489722771,290,1,64.731,17903,1.10105e+06
18772,16,4241120,1229,478299124,525772054,290,1,64.731,17903,1.10105e+06
18772,16,4241148,1229,474659610,497650687,290,1,64.731,17903,1.10105e+06
18772,16,4241174,1229,502929766,570287921,290,1,64.731,17903,1.10105e+06
18772,16,4241188,1229,430550156,481756734,290,1,64.731,17903,1.10105e+06
18772,16,4241189,1229,449083914,491599518,290,1,64.731,17903,1.10105e+06
18772,16,4241198,1229,412202157,484900310,290,1,64.731,17903,1.10105e+06
18772,16,4241208,1229,435912891,506540717,290,1,64.731,17903,1.10105e+06
18772,16,4241222,1229,436950437,515694999,290,1,64.731,17903,1.10105e+06
18772,16,4241232,1229,444620826,514797776,290,1,64.731,17903,1.10105e+06
18772,16,4241233,1229,429919204,553590971,290,1,64.731,17903,1.10105e+06
18772,16,4241242,1229,437590202,477658689,290,1,64.731,17903,1.10105e+06
18772,16,4241334,1229,447747107,488500855,290,1,64.731,17903,1.10105e+06
18772,16,4241373,1229,427877683,510890962,290,1,64.731,17903,1.10105e+06
18772,16,4241373,1229,463903570,489262905,290,1,64.731,17903,1.10105e+06
18772,16,4241414,1229,424157593,525899856,290,1,64.731,17903,1.10105e+06
18772,16,4241418,1229,434219275,486423447,290,1,64.731,17903,1.10105e+06
18772,16,4241427,1229,461695901,522458830,290,1,64.731,17903,1.10105e+06
18772,16,4241519,1229,479871005,492867211,290,1,64.731,17903,1.10105e+06
18772,16,4241635,1229,425094466,495808643,290,1,64.731,17903,1.10105e+06
18772,16,4241688,1229,439902192,491800712,290,1,64.731,17903,1.10105e+06
