n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
4039,4,898422,14,230501011,76412292,1,4039,4039,4039,0
4039,4,898444,14,235798149,77968060,1,4039,4039,4039,0
4039,4,898450,14,231190621,78561628,1,4039,4039,4039,0
4039,4,898452,14,239965631,75512584,1,4039,4039,4039,0
4039,4,898456,14,254432033,77495317,1,4039,4039,4039,0
4039,4,898458,14,230922841,75617204,1,4039,4039,4039,0
4039,4,898459,14,234387962,83204121,1,4039,4039,4039,0
4039,4,898461,14,228376047,81391276,1,4039,4039,4039,0
4039,4,898463,14,233639489,75865622,1,4039,4039,4039,0
4039,4,898463,14,233875272,78993238,1,4039,4039,4039,0
4039,4,898464,14,224305287,77150227,1,4039,4039,4039,0
4039,4,898467,14,225966658,88241407,1,4039,4039,4039,0
4039,4,898470,14,227163843,85027025,1,4039,4039,4039,0
4039,4,898473,14,239039353,74738436,1,4039,4039,4039,0
4039,4,898473,14,251240248,81019425,1,4039,4039,4039,0
4039,4,898475,14,220709177,76928673,1,4039,4039,4039,0
4039,4,898477,14,236925653,88148792,1,4039,4039,4039,0
4039,4,898481,14,223831076,88147512,1,4039,4039,4039,0
4039,4,898483,14,231669809,79105055,1,4039,4039,4039,0
4039,4,898485,14,228076675,79256467,1,4039,4039,4039,0
4039,4,898485,14,233516251,86158764,1,4039,4039,4039,0
4039,4,898487,14,222042900,88466671,1,4039,4039,4039,0
4039,4,898488,14,229528733,73657555,1,4039,4039,4039,0
4039,4,898494,14,229739632,79820369,1,4039,4039,4039,0
4039,4,898497,14,235345495,80051013,1,4039,4039,4039,0
4039,4,898502,14,215156309,78087777,1,4039,4039,4039,0
4039,4,898503,14,222345257,77783901,1,4039,4039,4039,0
4039,4,898505,14,230765118,77342056,1,4039,4039,4039,0
4039,4,898509,14,225101709,87331140,1,4039,4039,4039,0
4039,4,898510,14,224513754,86211966,1,4039,4039,4039,0
4039,4,898513,14,232570208,80802771,1,4039,4039,4039,0
4039,4,898519,14,228716856,80685765,1,4039,4039,4039,0
4039,4,898534,14,234365985,87439321,1,4039,4039,4039,0
