n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
1379917,8,30714457,3708,3712169022,2256305213,424,2,3254.52,1351137,4.29678e+09
1379917,8,30965361,3708,3778298458,2274023797,424,2,3254.52,1351137,4.29678e+09
1379917,8,31111946,3708,3813109229,2316973220,424,2,3254.52,1351137,4.29678e+09
1379917,8,31151710,3708,3809518295,2333964551,424,2,3254.52,1351137,4.29678e+09
1379917,8,31175370,3708,3823167767,2328393449,424,2,3254.52,1351137,4.29678e+09
1379917,8,31215729,3708,4397710753,2915501578,424,2,3254.52,1351137,4.29678e+09
1379917,8,31232604,3708,3830117456,2342560734,424,2,3254.52,1351137,4.29678e+09
1379917,8,31267807,3708,3838693464,2343974181,424,2,3254.52,1351137,4.29678e+09
1379917,8,31283888,3708,3842693908,2357606612,424,2,3254.52,1351137,4.29678e+09
1379917,8,31295497,3708,3872816872,2373462454,424,2,3254.52,1351137,4.29678e+09
1379917,8,31298068,3708,3841781653,2446193706,424,2,3254.52,1351137,4.29678e+09
1379917,8,31311191,3708,3848670146,2350392276,424,2,3254.52,1351137,4.29678e+09
1379917,8,31314171,3708,3881403768,2435996504,424,2,3254.52,1351137,4.29678e+09
1379917,8,31315299,3708,3848250974,2370192632,424,2,3254.52,1351137,4.29678e+09
1379917,8,31317719,3708,3896011714,2415468706,424,2,3254.52,1351137,4.29678e+09
1379917,8,31321977,3708,3847909367,2354516941,424,2,3254.52,1351137,4.29678e+09
1379917,8,31323232,3708,3836439886,2362746012,424,2,3254.52,1351137,4.29678e+09
1379917,8,31329731,3708,3862944427,2401435587,424,2,3254.52,1351137,4.29678e+09
1379917,8,31341797,3708,3956174761,2451835839,424,2,3254.52,1351137,4.29678e+09
1379917,8,31346324,3708,3869377498,2381218823,424,2,3254.52,1351137,4.29678e+09
1379917,8,31354704,3708,3842146428,2364608091,424,2,3254.52,1351137,4.29678e+09
1379917,8,31355642,3708,3864861415,2352829751,424,2,3254.52,1351137,4.29678e+09
1379917,8,31355988,3708,3850547441,2377447274,424,2,3254.52,1351137,4.29678e+09
1379917,8,31357491,3708,3853185390,2364058405,424,2,3254.52,1351137,4.29678e+09
1379917,8,31357529,3708,3881506445,2371666775,424,2,3254.52,1351137,4.29678e+09
1379917,8,31359708,3708,3858816976,2366674340,424,2,3254.52,1351137,4.29678e+09
1379917,8,31359943,3708,3859766660,2370903098,424,2,3254.52,1351137,4.29678e+09
1379917,8,31367201,3708,3873027618,2372753220,424,2,3254.52,1351137,4.29678e+09
1379917,8,31370153,3708,3898050239,2388444864,424,2,3254.52,1351137,4.29678e+09
1379917,8,31370300,3708,3864120242,2382592640,424,2,3254.52,1351137,4.29678e+09
1379917,8,31370335,3708,3866615289,2382582971,424,2,3254.52,1351137,4.29678e+09
1379917,8,31371739,3708,3856744804,2370651712,424,2,3254.52,1351137,4.29678e+09
1379917,8,31372064,3708,3867879629,2393830066,424,2,3254.52,1351137,4.29678e+09
