n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
18772,1,5924752,4,3807,2730457334,2583642675,290,1,64.731,17903,1.10105e+06
18772,1,5924752,4,3807,2730457334,2583642675,290,1,64.731,17903,1.10105e+06
18772,1,5924752,4,3807,2734373196,2586926253,290,1,64.731,17903,1.10105e+06
18772,1,5924752,4,3807,2736102663,2590163069,290,1,64.731,17903,1.10105e+06
18772,2,5947600,4,7613,1388589801,1378185696,290,1,64.731,17903,1.10105e+06
18772,2,5947600,4,7613,1388589801,1378185696,290,1,64.731,17903,1.10105e+06
18772,2,5947600,4,7613,1406034215,1423519845,290,1,64.731,17903,1.10105e+06
18772,2,5947600,4,7613,1416078425,1356162516,290,1,64.731,17903,1.10105e+06
18772,4,6038968,4,15225,674629563,779303567,290,1,64.731,17903,1.10105e+06
18772,4,6038968,4,15225,674629563,779303567,290,1,64.731,17903,1.10105e+06
18772,4,6038968,4,15225,695320940,777083327,290,1,64.731,17903,1.10105e+06
18772,4,6038968,4,15225,710534748,774886939,290,1,64.731,17903,1.10105e+06
18772,8,6404392,4,30449,358459883,584016245,290,1,64.731,17903,1.10105e+06
18772,8,6404392,4,30449,358459883,584016245,290,1,64.731,17903,1.10105e+06
18772,8,6404392,4,30449,361378681,570932621,290,1,64.731,17903,1.10105e+06
18772,8,6404392,4,30449,442164051,589443565,290,1,64.731,17903,1.10105e+06
18772,16,7865992,4,60897,721631420,1346244083,290,1,64.731,17903,1.10105e+06
18772,16,7865992,4,60897,721631420,1346244083,290,1,64.731,17903,1.10105e+06
18772,16,7865992,4,60897,736309095,1334032930,290,1,64.731,17903,1.10105e+06
18772,16,7865992,4,60897,738560324,1328069369,290,1,64.731,17903,1.10105e+06
18772,32,13712200,4,121793,1737045941,3566039782,290,1,64.731,17903,1.10105e+06
18772,32,13712200,4,121793,1737045941,3566039782,290,1,64.731,17903,1.10105e+06
18772,32,13712200,4,121793,1756773380,3584535168,290,1,64.731,17903,1.10105e+06
18772,32,13712200,4,121793,1774103378,3626851623,290,1,64.731,17903,1.10105e+06
