n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
4039,1,1913912,3,1347,608966462,805950760,1,4039,4039,4039,0
4039,1,1913912,3,1347,608966462,805950760,1,4039,4039,4039,0
4039,1,1913912,3,1347,609734466,812256199,1,4039,4039,4039,0
4039,1,1913912,3,1347,613187096,804450087,1,4039,4039,4039,0
4039,2,1921998,3,2693,312783357,436051982,1,4039,4039,4039,0
4039,2,1921998,3,2693,312783357,436051982,1,4039,4039,4039,0
4039,2,1921998,3,2693,318993481,433772007,1,4039,4039,4039,0
4039,2,1921998,3,2693,324888835,451496141,1,4039,4039,4039,0
4039,4,1954322,3,5385,166344799,248085168,1,4039,4039,4039,0
4039,4,1954322,3,5385,166344799,248085168,1,4039,4039,4039,0
4039,4,1954322,3,5385,167886809,250997720,1,4039,4039,4039,0
4039,4,1954322,3,5385,174123175,258601713,1,4039,4039,4039,0
4039,8,2083578,3,10769,100136971,192646626,1,4039,4039,4039,0
4039,8,2083578,3,10769,100136971,192646626,1,4039,4039,4039,0
4039,8,2083578,3,10769,102093203,192100276,1,4039,4039,4039,0
4039,8,2083578,3,10769,97798300,197680497,1,4039,4039,4039,0
4039,16,2600522,3,21537,525754845,464016327,1,4039,4039,4039,0
4039,16,2600522,3,21537,525754845,464016327,1,4039,4039,4039,0
4039,16,2600522,3,21537,549736792,467969142,1,4039,4039,4039,0
4039,16,2600522,3,21537,551875573,481656117,1,4039,4039,4039,0
4039,32,4668138,3,43073,1647239847,1269971606,1,4039,4039,4039,0
4039,32,4668138,3,43073,1647239847,1269971606,1,4039,4039,4039,0
4039,32,4668138,3,43073,1658460976,1300920985,1,4039,4039,4039,0
4039,32,4668138,3,43073,1700204579,1259058894,1,4039,4039,4039,0
