n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
1379917,1,211253194,8,44758,38460915838,231726213478,424,2,3254.52,1351137,4.29678e+09
1379917,1,211253194,8,44758,38460915838,231726213478,424,2,3254.52,1351137,4.29678e+09
1379917,1,211253194,8,44758,38649011912,232516702811,424,2,3254.52,1351137,4.29678e+09
1379917,1,211253194,8,44758,38869258470,232863806349,424,2,3254.52,1351137,4.29678e+09
1379917,2,211521756,8,89515,19959711148,138031606745,424,2,3254.52,1351137,4.29678e+09
1379917,2,211521756,8,89515,19959711148,138031606745,424,2,3254.52,1351137,4.29678e+09
1379917,2,211521756,8,89515,20114462836,140242953288,424,2,3254.52,1351137,4.29678e+09
1379917,2,211521756,8,89515,20237029059,139220317854,424,2,3254.52,1351137,4.29678e+09
1379917,4,212595964,8,179029,10335655925,63675663578,424,2,3254.52,1351137,4.29678e+09
1379917,4,212595964,8,179029,10335655925,63675663578,424,2,3254.52,1351137,4.29678e+09
1379917,4,212595964,8,179029,10363401529,63271478394,424,2,3254.52,1351137,4.29678e+09
1379917,4,212595964,8,179029,10366612093,62362189234,424,2,3254.52,1351137,4.29678e+09
1379917,8,216892716,8,358057,5197166009,39210688663,424,2,3254.52,1351137,4.29678e+09
1379917,8,216892716,8,358057,5197166009,39210688663,424,2,3254.52,1351137,4.29678e+09
1379917,8,216892716,8,358057,5211496671,39395208796,424,2,3254.52,1351137,4.29678e+09
1379917,8,216892716,8,358057,5211707112,39318087889,424,2,3254.52,1351137,4.29678e+09
1379917,16,234079564,8,716113,3042457797,30076473897,424,2,3254.52,1351137,4.29678e+09
1379917,16,234079564,8,716113,3042457797,30076473897,424,2,3254.52,1351137,4.29678e+09
1379917,16,234079564,8,716113,3147668120,30836612188,424,2,3254.52,1351137,4.29678e+09
1379917,16,234079564,8,716113,3178391533,30886423332,424,2,3254.52,1351137,4.29678e+09
1379917,32,302826636,8,1432225,3074813306,56583874603,424,2,3254.52,1351137,4.29678e+09
1379917,32,302826636,8,1432225,3074813306,56583874603,424,2,3254.52,1351137,4.29678e+09
1379917,32,302826636,8,1432225,3123006389,56651877968,424,2,3254.52,1351137,4.29678e+09
1379917,32,302826636,8,1432225,3169687219,55158860832,424,2,3254.52,1351137,4.29678e+09
